,31/12/2020,31/03/2021,30/06/2021,30/09/2021,31/12/2021,31/03/2022,30/06/2022,30/09/2022,31/12/2022,31/03/2023,30/06/2023,30/09/2023,31/12/2023,31/03/2024,30/06/2024,30/09/2024,31/12/2024
NVDA,-3.51,2.25,49.85,3.57,41.97,-7.23,-44.44,-19.92,20.39,90.07,52.29,2.83,13.85,82.46,36.73,-1.7,10.58
AMD,11.86,-14.4,19.66,9.55,39.84,-24.02,-30.06,-17.14,2.23,51.32,16.22,-9.74,43.37,22.44,-10.13,1.15,-26.38
CRM,-11.46,-4.79,15.29,11.03,-6.3,-16.45,-22.27,-12.85,-7.82,50.68,5.75,-4.01,29.77,14.46,-14.64,6.46,22.15
SHOP,10.65,-2.25,31.77,-7.01,1.59,-50.92,-53.78,-13.76,28.84,38.12,34.75,-15.53,42.75,-0.94,-14.41,21.33,32.68
TSLA,64.49,-5.35,1.76,14.09,36.27,1.97,-37.51,18.17,-53.56,68.42,26.18,-4.41,-0.7,-29.25,12.57,32.22,54.36
GOOGL,19.59,17.68,18.39,9.49,8.36,-3.99,-21.65,-12.22,-7.76,17.57,15.4,9.32,6.75,8.05,20.69,-8.95,14.14
META,4.3,7.82,18.06,-2.39,-0.9,-33.89,-27.48,-15.86,-11.31,76.12,35.41,4.61,17.9,37.18,3.84,13.53,2.28
AMZN,3.44,-5,11.19,-4.51,1.5,-2.23,-34.84,6.39,-25.66,22.96,26.21,-2.49,19.52,18.72,7.13,-3.58,17.74
AAPL,14.58,-7.94,12.12,3.31,25.49,-1.67,-21.7,1.08,-5.98,26.91,17.63,-11.73,12.45,-10.93,22.82,10.63,7.48
ASML,32.08,26.58,11.9,7.86,6.85,-16.1,-28.75,-12.72,31.55,24.58,6.47,-18.78,28.58,28.21,5.39,-18.53,-16.82
PANW,45.21,-9.38,15.21,29.09,16.23,11.81,-20.65,-0.52,-14.81,43.14,27.92,-8.25,25.78,-3.65,19.32,0.82,6.47
PLTR,147.89,-1.1,13.18,-8.8,-24.25,-24.6,-33.94,-10.36,-21.03,31.62,81.42,4.37,7.31,34.01,10.08,46.86,103.31
SNOW,12.11,-18.52,5.46,25.07,12.01,-32.36,-39.31,22.22,-15.54,7.49,14.06,-13.19,30.26,-18.79,-16.4,-14.98,34.43
MSFT,5.75,6,14.9,4.07,19.3,-8.33,-16.7,-9.32,2.97,20.22,18.12,-7.28,19.09,11.88,6.23,-3.73,-2.05
