,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
NVDA,15.06,0.39,19.25,29.55,32.51,-8.85,-24.75,-16.23,-7.24,47.57,53.42,34.95,3.44,56.4,39.49,16.83,16.69
AMD,16.22,-0.22,-6.14,26.48,31.5,-11.19,-21.59,-9.04,-22.48,23.29,27.79,4.38,8.57,48.32,-7.97,-5.55,-5.3
CRM,11.09,-8.45,3.52,10.19,10.64,-23.41,-17.9,-4.03,-13.94,15.76,20.85,5.84,4.75,27.49,-7.26,-4.27,24.59
SHOP,5.59,15.1,2.03,21.6,-2.52,-43.81,-47.98,-20.29,0.31,28.85,28.55,7.13,5.4,23.71,-16.04,4.12,40.82
TSLA,44.53,47.12,-13.53,8.42,42.5,-7.13,-12.36,2.31,-32.2,-7.87,14.63,28.46,-7.48,-17.79,-10.55,30.49,41.09
GOOGL,10.41,17.32,18.35,16.5,5.84,-5.69,-13.32,-5.81,-14.3,0.95,19.98,12.39,3.86,6.47,17.84,-0.49,4.31
META,6.3,-1.78,19.15,12.27,-7.82,-24.72,-22.81,-15.98,-27.55,45.03,44.89,22.1,8.08,36.98,8.97,5.85,14.08
AMZN,1.22,-0.67,4.85,3.79,-0.78,-9.72,-19.02,1.01,-21.85,-2.19,18.2,17.34,4.61,19.08,10.05,-0.68,12.13
AAPL,10.23,6.71,0.94,13.63,7.35,6.41,-9.95,3.64,-8.95,3.25,18.09,5.24,0.69,-1.52,2.56,19.75,5.53
ASML,12.58,31.8,18.92,19.17,1.06,-15.7,-16.65,-10.24,4.55,22.59,5.88,-2.31,-0.58,34.33,8.38,-7.01,-19.67
PANW,12.31,27.22,-0.32,18.58,23.12,3.47,-0.92,-2.34,-7.28,5.54,22.79,13.72,12.99,17.98,-5.18,12.53,12.24
PLTR,88.3,53.31,-15.67,5.46,-9.45,-39.6,-25.89,-10.03,-14.76,3.24,45.22,40.14,11.83,19.64,5.67,36.3,89.79
SNOW,19.5,-6.21,-12.84,22.26,22.52,-25.82,-38.72,4.52,-7.85,-3.91,10.88,0.16,3.85,14.68,-23.84,-16.74,14.5
MSFT,2.38,7.9,9.55,14.47,11.43,-7.2,-9.79,-2.71,-9.11,6.29,22.87,5.44,7.71,13.74,4.32,1.22,-0.36
