Date,Close/Last,Volume,Open,High,Low
06/30/2025,$115.35,7107469,$115.09,$116.60,$113.96
06/27/2025,$113.65,6377920,$113.09,$115.06,$111.9101
06/26/2025,$113.07,11368230,$113.76,$113.76,$108.33
06/25/2025,$113.89,9134688,$114.28,$114.50,$112.86
06/24/2025,$114.42,8907543,$112.23,$115.16,$111.85
06/23/2025,$109.98,8834016,$106.195,$110.06,$103.9117
06/20/2025,$106.40,10354900,$107.72,$109.12,$105.73
06/18/2025,$105.97,5960442,$106.52,$107.7002,$105.30
06/17/2025,$106.53,4910867,$107.30,$108.54,$106.34
06/16/2025,$108.37,7266556,$107.96,$109.48,$107.01
06/13/2025,$105.34,7979447,$105.53,$107.01,$104.66
06/12/2025,$109.21,8669282,$113.25,$113.57,$108.87
06/11/2025,$114.13,14078070,$111.625,$117.3599,$111.29
06/10/2025,$110.26,6548526,$108.36,$110.61,$107.35
06/09/2025,$107.80,7738770,$110.42,$111.00,$107.76
06/06/2025,$111.41,8736334,$106.991,$112.08,$106.66
06/05/2025,$105.03,11098120,$104.00,$106.56,$103.10
06/04/2025,$103.58,7465147,$105.44,$105.75,$102.81
06/03/2025,$105.11,7236201,$104.80,$106.56,$104.29
06/02/2025,$106.54,5341427,$106.255,$107.35,$103.73
05/30/2025,$107.22,12183250,$107.315,$107.69,$103.91
05/29/2025,$107.70,6642102,$109.695,$110.68,$107.15
05/28/2025,$107.11,6823365,$106.53,$108.14,$105.5701
05/27/2025,$106.74,7556564,$104.355,$107.48,$103.90
05/23/2025,$101.51,5999459,$100.81,$102.96,$100.31
05/22/2025,$103.29,6216351,$102.42,$104.76,$101.78
05/21/2025,$102.32,9251257,$104.99,$105.5799,$101.55
05/20/2025,$106.43,8294533,$108.63,$109.09,$104.6127
05/19/2025,$109.10,9809745,$108.81,$109.92,$106.82
05/16/2025,$110.75,96081410,$111.56,$112.38,$109.7974
05/15/2025,$110.21,13577330,$109.925,$111.73,$108.39
05/14/2025,$111.45,16383980,$108.41,$111.88,$108.25
05/13/2025,$107.68,14517910,$106.35,$109.00,$106.06
05/12/2025,$104.34,30713690,$104.00,$106.35,$99.01
05/09/2025,$91.77,15360730,$94.47,$94.91,$88.90
05/08/2025,$94.00,36455380,$89.685,$95.82,$88.14
05/07/2025,$94.50,14790660,$94.665,$96.60,$94.23
05/06/2025,$93.83,13082120,$97.05,$97.40,$93.5801
05/05/2025,$98.38,7652412,$95.40,$99.46,$95.242
05/02/2025,$99.25,11140780,$98.10,$100.49,$97.63
05/01/2025,$97.01,8287955,$98.215,$98.89,$95.55
04/30/2025,$95.00,13233230,$96.135,$96.135,$92.40
04/29/2025,$98.92,6797168,$98.83,$99.8174,$97.84
04/28/2025,$98.57,5892885,$96.85,$99.07,$96.50
04/25/2025,$97.12,7824831,$95.79,$98.64,$95.3601
04/24/2025,$95.12,7847323,$90.645,$95.265,$89.41
04/23/2025,$90.96,14028990,$91.53,$95.45,$89.92
04/22/2025,$85.71,8663969,$82.99,$86.61,$81.64
04/21/2025,$81.64,8153036,$82.27,$83.14,$80.35
04/17/2025,$83.65,11592870,$84.00,$85.08,$81.8401
04/16/2025,$83.96,8811928,$81.61,$85.35,$81.32
04/15/2025,$83.91,6986379,$82.71,$84.68,$81.93
04/14/2025,$82.77,10460440,$87.06,$88.27,$81.915
04/11/2025,$83.71,18099210,$84.725,$85.2099,$78.00
04/10/2025,$84.63,16133730,$87.24,$87.397,$81.3872
04/09/2025,$91.40,26917460,$75.38,$94.14,$74.67
04/08/2025,$77.09,18606170,$83.93,$86.36,$75.23
04/07/2025,$78.82,22525910,$70.295,$83.47,$69.99
04/04/2025,$76.89,29707520,$77.48,$78.27,$69.84
04/03/2025,$82.29,28920200,$87.325,$87.70,$81.25
04/02/2025,$100.65,7892018,$95.025,$101.45,$94.65
04/01/2025,$97.64,10309370,$95.80,$99.54,$93.96
03/31/2025,$95.48,15801880,$92.72,$96.11,$89.235
03/28/2025,$96.68,13202790,$99.15,$100.26,$95.861
03/27/2025,$102.52,7639465,$102.32,$103.71,$99.73
03/26/2025,$104.28,7298424,$109.17,$109.42,$103.05
03/25/2025,$109.82,5752916,$109.99,$111.00,$108.7504
03/24/2025,$109.28,10099190,$106.95,$110.68,$106.795
03/21/2025,$104.21,8696437,$100.27,$104.43,$99.1997
03/20/2025,$101.85,8603982,$98.46,$104.19,$98.46
03/19/2025,$101.54,17808920,$99.625,$103.17,$97.65
03/18/2025,$94.01,5371985,$95.90,$96.12,$92.91
03/17/2025,$96.59,5771599,$95.02,$98.43,$94.5811
03/14/2025,$94.85,7065105,$94.61,$95.83,$93.06
03/13/2025,$90.59,11076350,$95.17,$95.53,$89.10
03/12/2025,$96.53,8531861,$96.67,$99.1347,$95.29
03/11/2025,$92.95,12127100,$92.75,$95.1085,$91.1504
03/10/2025,$92.75,16385340,$96.07,$96.1869,$91.69
03/07/2025,$100.13,13894540,$100.85,$103.50,$95.36
03/06/2025,$102.49,12036240,$103.51,$109.45,$101.36
03/05/2025,$106.15,8409379,$102.76,$106.65,$101.59
03/04/2025,$101.73,13995340,$103.61,$104.1928,$97.85
03/03/2025,$106.58,7795180,$112.89,$115.2085,$104.81
02/28/2025,$112.00,6271728,$109.00,$112.09,$107.58
02/27/2025,$110.83,5790135,$114.85,$115.59,$110.15
02/26/2025,$113.23,4909429,$111.88,$114.80,$110.84
02/25/2025,$110.95,9977694,$113.29,$115.00,$107.00
02/24/2025,$115.48,8545018,$115.56,$117.03,$109.81
02/21/2025,$115.56,10064130,$125.20,$125.50,$115.30
02/20/2025,$123.47,8855949,$126.90,$126.95,$120.80
02/19/2025,$127.66,7766893,$129.05,$129.05,$124.40
02/18/2025,$129.31,7251889,$129.08,$129.38,$124.19
02/14/2025,$128.35,8511292,$125.76,$128.57,$123.88
02/13/2025,$127.65,10940280,$121.00,$128.00,$120.10
02/12/2025,$120.49,13307360,$119.05,$122.49,$116.70
02/11/2025,$123.59,34842680,$122.28,$125.95,$114.7002
02/10/2025,$119.90,13060700,$121.46,$123.4099,$119.14
