,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4
NVDA,11.6358359375,13.3881015625,13.440813114754098,16.02845238095238,20.764209375,27.51490625,25.079725806451613,18.873387096774195,15.809421875,14.665269841269842,21.641080645161292,33.200709677419354,44.8028253968254,46.34198412698413,72.48036885245901,101.10353968253969,118.1228125,137.833203125
AMD,74.25140625,86.295,86.10204918032788,80.81809523809524,102.22015625,134.4203125,119.37903225806451,93.6058064516129,85.1465625,66.00571428571428,81.3808064516129,103.99677419354839,108.55412698412698,117.85738095238096,174.81065573770493,160.87476190476193,151.9390625,143.887265625
CRM,218.90359375,243.18359375,222.62360655737703,230.47095238095238,253.95734375,280.98562499999997,215.21387096774194,176.6924193548387,169.5653125,145.9195238095238,168.9116129032258,204.13306451612902,216.06285714285715,226.31857142857143,288.53327868852455,267.5838095238095,256.145,319.13921875
SHOP,99.415890625,104.9706875,120.82201639344262,123.27207936507936,149.902109375,146.120375,82.10527419354838,42.70748387096774,34.0425,34.14650793650794,43.99919354838709,56.55887096774194,60.591904761904765,63.861111111111114,79.00049180327868,66.33190476190477,69.0659375,97.2578125
TSLA,118.06916875,170.65035,251.06192786885245,217.086046031746,235.3654890625,335.38965625000003,311.46721935483873,272.9593806451613,279.2707625,189.34246031746034,174.44629032258064,199.9617741935484,256.87507936507933,237.6568253968254,195.37475409836065,174.76936507936506,228.04859375,321.74265625
GOOGL,76.1905859375,84.124765625,98.69173770491803,116.79708730158731,136.0730234375,144.0247734375,135.82704838709677,117.73421774193548,110.8889765625,95.03428571428572,95.93725806451613,115.10274193548386,129.36166666666665,134.35563492063494,143.0543442622951,168.5695238095238,167.74078125,174.969375
META,257.88671875,274.14046875,269.2566393442623,320.80825396825395,360.165625,331.99546875,249.92629032258066,192.91548387096773,162.08,117.42539682539683,170.3032258064516,246.7599193548387,301.30031746031744,325.65444444444444,446.07409836065574,486.0942857142857,514.546953125,586.97515625
AMZN,157.6522109375,159.5780234375,158.51204098360657,166.1990634920635,172.49309375,171.1467265625,154.51549193548385,125.13279032258065,126.39609375,98.78190476190477,96.61483870967741,114.1958870967742,133.99539682539682,140.17809523809524,166.92516393442622,183.70301587301586,182.4575,204.5846875
AAPL,109.1141796875,120.281171875,128.35795081967214,129.56880952380953,147.22296875,158.03703125,168.16354838709677,151.4391935483871,156.95046875,142.9111111111111,147.55112903225807,174.25024193548387,183.38420634920635,184.6404761904762,181.83032786885246,186.48555555555555,223.31828125,235.67625
ASML,373.7871875,420.8140625,554.6216393442622,659.5633333333333,786.03140625,794.39109375,669.6840322580646,558.1780645161291,501.02078125,523.8028571428572,642.1245161290323,679.868064516129,664.1526984126984,660.3158730158731,887.0173770491803,961.3407936507937,893.995859375,718.10953125
PANW,41.598734375,46.719321875,59.43520983606557,59.24798253968254,70.25689375,86.5017078125,89.49924516129032,88.6745629032258,86.5965390625,80.29452380952381,84.73987903225807,104.05322580645162,118.3345238095238,133.70333333333332,157.74315573770494,149.5711111111111,168.31546875,188.910703125
PLTR,9.5,17.88828125,27.425245901639347,23.127301587301588,24.39015625,22.08421875,13.338064516129032,9.884677419354839,8.8928125,7.580158730158731,7.8261290322580646,11.365322580645161,15.926984126984127,17.81095238095238,21.309672131147543,22.517301587301585,30.69,58.24796875
SNOW,238.10454545454547,284.54640625,266.8870491803279,232.62968253968253,284.41203125,348.46109375,258.4925806451613,158.41580645161292,165.569375,152.57285714285715,146.60903225806453,162.5541935483871,162.81571428571428,169.07999999999998,193.90590163934428,147.68603174603174,122.97015625,140.80625
MSFT,210.0334375,215.024375,232.02147540983606,254.18246031746034,290.9503125,324.21015625,300.8538709677419,271.4032258064516,264.049375,239.98555555555555,255.07983870967743,313.408064516129,330.4428571428572,355.9300793650794,404.8216393442623,422.31952380952384,427.465625,425.94765625
