,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31
NVDA,,,$13.5305,$13.055,$13.3483,$20.0025,$20.716,$29.411,$27.286,$15.159,$12.139,$14.614,$27.777,$42.302,$43.499,$49.522,$90.356,$123.54,$121.44,$134.29
AMD,,,$81.99,$91.71,$78.50,$93.93,$102.90,$143.90,$109.34,$76.47,$63.36,$64.77,$98.01,$113.91,$102.82,$147.41,$180.49,$162.21,$164.08,$120.79
CRM,,,$251.32,$222.53,$211.87,$244.27,$271.22,$254.13,$212.32,$165.04,$143.84,$132.59,$199.78,$211.26,$202.78,$263.14,$301.18,$257.10,$273.71,$334.33
SHOP,,,$102.297,$113.195,$110.65,$145.80,$135.578,$137.739,$67.596,$31.24,$26.94,$34.71,$47.94,$64.60,$54.57,$77.90,$77.17,$66.05,$80.14,$106.33
TSLA,,,$143.0033,$235.2233,$222.6433,$226.5666,$258.4933,$352.26,$359.20,$224.4733,$265.25,$123.18,$207.46,$261.77,$250.22,$248.48,$175.79,$197.88,$261.63,$403.84
GOOGL,,,$73.28,$87.632,$103.126,$122.0895,$133.676,$144.852,$139.0675,$108.963,$95.65,$88.23,$103.73,$119.70,$130.86,$139.69,$150.93,$182.15,$165.85,$189.30
META,,,$261.90,$273.16,$294.53,$347.71,$339.39,$336.35,$222.36,$161.25,$135.68,$120.34,$211.94,$286.98,$300.21,$353.96,$485.58,$504.22,$572.44,$585.51
AMZN,,,$157.4365,$162.8465,$154.704,$172.008,$164.252,$166.717,$162.9975,$106.21,$113.00,$84.00,$103.29,$130.36,$127.12,$151.94,$180.38,$193.25,$186.33,$219.39
AAPL,,,$115.81,$132.69,$122.15,$136.96,$141.50,$177.57,$174.61,$136.72,$138.20,$129.93,$164.90,$193.97,$171.21,$192.53,$171.48,$210.62,$233.00,$250.42
ASML,,,$369.27,$487.72,$617.36,$690.84,$745.11,$796.14,$667.93,$475.88,$415.35,$546.40,$680.71,$724.75,$588.66,$756.92,$970.47,$1022.73,$833.25,$693.08
PANW,,,$40.7917,$59.2316,$53.6766,$61.8416,$79.8333,$92.7933,$103.7516,$82.3233,$81.895,$69.77,$99.87,$127.755,$117.22,$147.44,$142.065,$169.505,$170.90,$181.96
PLTR,,,$9.50,$23.55,$23.29,$26.36,$24.04,$18.21,$13.73,$9.07,$8.13,$6.42,$8.45,$15.33,$16.00,$17.17,$23.01,$25.33,$37.20,$75.63
SNOW,,,$251.00,$281.40,$229.28,$241.80,$302.43,$338.75,$229.13,$139.06,$169.96,$143.54,$154.29,$175.98,$152.77,$199.00,$161.60,$135.09,$114.86,$154.41
MSFT,,,$210.33,$222.42,$235.77,$270.90,$281.92,$336.32,$308.31,$256.83,$232.90,$239.82,$288.30,$340.54,$315.75,$376.04,$420.72,$446.95,$430.30,$421.50
