REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-12-31,San Luis Wealth Advisors LLC,12437,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"143,713","90,943","38,016","52,927","37,445","4,061","11,264","323,888","180,175","36,766",0,0,0,"100,887",0,"42,522","105,392","42,296","15,229",0,"6,643","41,224","258,549","153,157","107,049",0,0,"9,842","36,266","65,339",0,"65,339","14,966",-406,"50,779",0,0,"323,888","323,888","153,814","122,278","84,262","12,673","20,576","2,702",-397,"1,724",-3,"3,877","-5,364",-137,"6,725","2,653",0,"5,531","-1,784",-51,"-18,332","25,800",-102,"-21,357","4,462",450,"-17,187","-3,511","-5,571",0,"4,750","35,039","39,789","18,792","20,576","-1,784","64,698","40,009","24,689","9,914","4,978","4,936",0,"14,775",134,768,634,-8,"14,901","2,228",0,"12,673","2,702","17,477",0.74,0.73,"17,058","17,257"
2021-09-30,San Luis Wealth Advisors LLC,13240,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"114,423","61,696","34,050","27,646","33,908","5,178","13,641","329,840","215,417","38,615",0,0,0,"131,948",0,"44,854","107,754","40,409","16,039",0,"7,681","43,625","265,560","157,806","105,752",0,0,0,"52,054","64,280",0,"64,280","9,233",58,"54,989",0,0,"329,840","329,840","159,594","121,791","87,741","21,744","21,094","2,832",-530,"1,960",-215,"-4,697",-869,13,211,"-4,052",0,"3,572","-2,093",-4,"-19,628","25,375",-78,"-29,396",0,0,"-22,900","-3,767","-2,729",0,"-4,730","40,006","35,276","19,001","21,094","-2,093","81,434","46,179","35,255","11,129","5,717","5,412",0,"24,126",54,719,665,189,"24,369","2,625",0,"21,744","2,832","26,958",1.31,1.3,"16,629","16,782"
2021-12-31,San Luis Wealth Advisors LLC,15755,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"134,836","62,639","34,940","27,699","51,506","6,580","14,111","351,002","216,166","39,440",0,0,0,"127,877",0,"48,849","125,481","54,763","17,141",0,"7,612","45,965","287,912","162,431","119,381",0,0,"11,803","31,247","63,090",0,"63,090","5,562",163,"57,365",0,0,"351,002","351,002","155,576","136,522","101,582","20,551","20,200","2,989","-4,037","1,945",542,"-1,790","-17,604","-1,429","14,112","3,131",0,835,"-3,223",-20,"-15,637","20,245",-530,"-20,382","3,220",544,"-19,748","-3,640",-758,0,653,"35,276","35,929","16,977","20,200","-3,223","83,360","48,186","35,174","11,388","5,772","5,616",0,"23,786",-13,659,672,-525,"23,248","2,697",0,"20,551","2,989","26,775",1.25,1.24,"16,487","16,635"
2022-03-31,San Luis Wealth Advisors LLC,15753,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"153,154","63,913","37,119","26,794","65,253","5,876","18,112","381,191","228,037","39,245",0,0,0,"138,683",0,"50,109","147,574","74,362","16,169",0,"7,876","49,167","309,259","161,685","106,629",0,0,0,"55,056","71,932",0,"71,932","14,435",-927,"58,424",0,0,"381,191","381,191","165,477","122,798","85,679","34,630","46,966","2,697",682,"2,265",167,"6,525","-13,746",681,"19,813",-223,0,"-16,106","-2,803",0,"-34,913","21,984",-374,"-28,159","-1,000",0,"-20,478","-3,732","-2,949",0,"2,701","35,929","38,630","44,163","46,966","-2,803","123,945","69,702","54,243","12,755","6,306","6,449",0,"41,488",-44,650,694,-203,"41,241","6,611",0,"34,630","2,697","44,185",2.11,2.1,"16,392","16,519"
2023-03-31,San Luis Wealth Advisors LLC,18311,2023-03-01,104.0,5.0,2.8,-56.174,46.3,3.5,3.4676,2023(Q1),"128,777","51,355","20,535","30,820","54,180","6,820","16,422","346,747","217,970","42,951",0,0,0,"114,095",0,"60,924","137,286","57,918","11,483",0,"7,992","59,893","290,020","152,734","99,627",0,0,0,"53,107","56,727",0,"56,727","3,240","-12,912","66,399",0,0,"346,747","346,747","144,915","111,110","90,575","29,998","34,005","2,916",0,"2,905",-317,"-1,497","6,595","-1,807","-6,075",-210,0,"-1,445","-3,787",0,"-5,153","7,636",-141,"-35,563","-9,615",0,"-19,475","-3,768","-2,705",0,"-3,003","24,977","21,974","30,218","34,005","-3,787","117,154","66,822","50,332","14,316","7,709","6,607",0,"36,016",-135,868,"1,003",-258,"35,623","5,625",0,"29,998","2,916","38,932",1.89,1.88,"15,893","15,956"
2023-06-30,San Luis Wealth Advisors LLC,25433,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"112,913","55,872","24,687","31,185","35,899","7,482","13,660","332,160","219,247","43,398",0,0,0,"110,461",0,"65,388","120,075","42,945","12,574",0,"8,131","56,425","270,002","149,927","97,041",0,0,0,"52,886","62,158",0,"62,158","4,336","-11,746","69,568",0,0,"332,160","332,160","141,646","109,615","84,928","24,160","28,560","2,898",0,"2,686","-1,415",231,"17,786",-741,"-14,689","-2,125",0,"2,319","-2,916",0,"-6,044","11,385",-106,"-25,724","-1,996",0,"-19,594","-3,650",-484,0,"5,155","21,974","27,129","25,644","28,560","-2,916","94,836","52,860","41,976","13,658","7,457","6,201",0,"28,318",-12,918,930,76,"28,382","4,222",0,"24,160","2,898","31,216",1.53,1.52,"15,787","15,847"
2023-09-30,San Luis Wealth Advisors LLC,22278,2023-09-01,104.3,3.7,4.4,-47.662,48.9,3.7,4.5711,2023(Q3),"122,659","62,482","28,408","34,074","39,186","7,351","13,640","335,038","212,379","43,550",0,0,0,"104,061",0,"64,768","124,963","46,699","11,209",0,"8,158","58,897","274,764","149,801","98,071",0,0,0,"51,730","60,274",0,"60,274","1,408","-11,801","70,667",0,0,"335,038","335,038","138,135","109,280","80,872","19,881","26,380","3,052",0,"2,617",81,749,"-3,661",-22,"3,974",458,0,437,"-2,093",0,"-9,759","12,795",-506,"-24,048",-283,0,"-17,478","-3,849","-2,438",0,"2,769","27,129","29,898","24,287","26,380","-2,093","81,797","45,384","36,413","13,415","7,442","5,973",0,"22,998",-18,980,998,-247,"22,733","2,852",0,"19,881","3,052","26,050",1.27,1.26,"15,698","15,775"
2023-12-31,San Luis Wealth Advisors LLC,25496,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"143,566","61,555","29,965","31,590","60,985","6,331","14,695","352,583","209,017","54,376",0,0,0,"100,544","17,852","36,245","145,308","62,611","17,382","8,819","8,061","48,435","290,437","145,129","106,548",0,0,"12,842","25,739","62,146",0,"62,146",-214,"-11,452","73,812",0,0,"352,583","352,583","132,134","123,930","93,965","22,956","21,598","2,653",0,"2,625",-576,"-6,060","-21,137",952,"14,901",-776,0,"2,394","-2,163",0,"-8,557","13,698",-584,"-23,153","1,993",0,"-21,003","-3,758",-385,0,839,"29,898","30,737","19,435","21,598","-2,163","89,498","49,071","40,427","13,458","7,307","6,151",0,"26,969",-18,984,"1,002",47,"26,998","4,042",0,"22,956","2,653","29,622",1.47,1.46,"15,599","15,672"
2024-06-30,San Luis Wealth Advisors LLC,28501,2024-06-01,97.8,3.0,3,-35.946,48.3,4.0,4.3961,2024(Q2),"128,416","67,150","32,695","34,455","41,150","6,232","13,884","337,411","208,995","43,546",0,0,0,"95,187",0,"70,262","123,822","45,753","12,759",0,"8,012","57,298","263,217","139,395","91,831",0,0,0,"47,564","74,194",0,"74,194","4,339","-8,960","78,815",0,0,"337,411","337,411","129,642","104,590","71,895","23,636","22,690","2,836",0,"2,964",-982,"-5,764","8,767",190,"-12,168","-2,553",0,-310,"-1,996",0,"-15,262","17,393",-445,"-30,433","-3,148",0,"-23,205","-3,710",-370,0,"-8,053","41,974","33,921","20,694","22,690","-1,996","90,753","48,482","42,271","14,371","7,903","6,468",0,"27,900",0,0,0,158,"28,058","4,422",0,"23,636","2,836","30,736",1.53,1.53,"15,406","15,465"
2024-09-30,San Luis Wealth Advisors LLC,32148,2024-09-01,99.2,2.4,3.1,13.779,47.5,4.2,3.7809,2024(Q3),"125,435","61,801","25,565","36,236","43,172","6,165","14,297","331,612","206,177","44,502",0,0,0,"91,240",0,"70,435","131,624","47,574","15,108",0,"8,053","60,889","264,904","133,280","86,196",0,0,0,"47,084","66,708",0,"66,708","-4,726","-8,416","79,850",0,0,"331,612","331,612","127,476","101,304","75,739","21,448","28,858","2,850",0,"2,869",7,"1,684","-2,094",-12,"1,539","2,251",0,-127,"-2,151",0,"-13,032","15,444",-388,"-36,017","-3,253",0,"-26,522","-3,895","-2,347",0,"-7,286","33,921","26,635","26,707","28,858","-2,151","85,777","46,099","39,678","14,326","8,006","6,320",0,"25,352",0,0,0,142,"25,494","4,046",0,"21,448","2,850","28,202",1.4,1.4,"15,288","15,348"
