REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2021-03-31,"KB FINANCIAL PARTNERS, LLC",574,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"15,860","4,655","3,244","1,412","5,375","4,748","1,081","27,219","11,359","2,866","5,570","4,556","1,014",842.5,700.8,"1,380","6,876",0,0,0,0,"6,876","13,590","6,714","4,634",245.2,"1,583",0,250.9,"13,629",0,"13,629",0,0,"13,629",0,0,"27,219","27,219","2,254","4,634","1,390","1,331",-941.7,117.9,-35.8,21,19.1,"-2,395",0,0,0,"-2,395",0,-306.7,-197.3,7.9,-608.5,499.1,-7.9,"-1,560",-3.6,11,"-1,568",0,0,3,"-2,806","6,049","3,244","-1,139",-941.7,-197.3,"4,364","2,012","2,352",791.8,623.4,168.4,0,"1,561",-12.1,0,12.1,0,"1,548",230.3,-26.4,"1,345",117.9,"1,678",3.21,3.2,415.3,415.8
2021-06-30,"KB FINANCIAL PARTNERS, LLC",648,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"16,739","5,373","5,187",186.7,"5,206","5,086","1,073","27,816","11,076","2,935","5,543","4,556",987.7,864.9,710.5,"1,023","8,754","1,887",0,0,"-1,894","8,761","15,722","6,968","4,620",247.7,"1,860",0,240.3,"12,093",0,"12,093",0,0,"12,093",0,0,"27,816","27,816","1,052","4,620",-566.7,"1,038","3,569",112.7,-7.5,29,21.7,"2,375",0,0,0,"2,375",0,990.4,-247.4,12.9,6.3,"1,225",-6.3,"-2,613",-3.2,13.6,"-1,984",-639.1,0,-3.9,"1,943","3,244","5,187","3,322","3,569",-247.4,"4,020","1,976","2,045",805.6,633.8,171.8,0,"1,239",-9.8,0,9.8,0,"1,229",204.2,-26.4,"1,051",112.7,"1,352",2.52,2.52,411.5,412
2021-09-30,"KB FINANCIAL PARTNERS, LLC",726,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"15,678","4,456","4,319",137,"5,131","4,944","1,148","27,298","11,620","2,891","5,519","4,556",963.8,963.2,986,"1,260","9,163",0,0,0,0,"9,163","15,796","6,633","4,106",282.6,"2,002",0,242.9,"11,502",0,"11,502",0,0,"11,502",0,0,"27,298","27,298","1,100","4,106",-212.9,"1,740","1,802",116.2,-270.1,34,-84.2,265.5,0,0,0,265.5,0,-279.6,-205,-8,-50,99.7,-116.3,"-2,392",-2.6,12.3,"-2,402",0,0,2,-867.9,"5,187","4,319","1,597","1,802",-205,"5,241","2,530","2,711",792.1,609.2,182.9,0,"1,919",-10.5,0,10.5,0,"1,909",270.9,-204.6,"1,842",116.2,"2,036",4.27,4.26,407.9,408.6
2021-12-31,"KB FINANCIAL PARTNERS, LLC",804,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"18,190","7,590","6,952",638.5,"4,557","5,179",863.8,"30,231","12,041","3,148","5,508","4,556",952.1,892.5,"1,099","1,394","12,298","2,116",509.1,301.9,"7,935","1,436","20,090","7,792","4,075",240.6,"3,226",0,251.1,"10,141",0,"10,141","8,317",333.5,36.5,0,"1,453","30,231","30,231","1,531","4,075","-2,877","1,773","6,417",124.2,-106.2,33.5,-55.4,"4,648","3,775",-483.2,0,422.8,933,-476.1,-290.7,316.1,-504.2,2.7,-0.1,"-3,327",-2.7,12,"-2,607",-729.2,0.1,19.2,"2,633","4,319","6,952","6,126","6,417",-290.7,"4,986","2,285","2,701",669.4,680.6,202.5,-213.7,"2,031",-12.2,0,12.2,0,"2,019",316,-140.8,"1,844",124.2,"2,155",4.39,4.38,404.3,405
2022-03-31,"KB FINANCIAL PARTNERS, LLC",826,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"18,209","4,723","4,324",398.5,"5,944","6,074","1,468","30,232","12,023","3,336","5,479","4,556",923.4,940,"1,142","1,126","13,613",0,0,0,0,"13,613","21,421","7,809","3,952",262.2,"3,292",0,302.5,"8,810",0,"8,810",0,0,"8,810",0,0,"30,232","30,232","1,338","3,952",-372.4,695.3,-586.1,131,-39.7,11.5,14.8,"-1,399",0,0,0,"-1,399",0,-11.7,-251.6,0,-19.6,259.5,228.4,"-2,030",-13.5,21.5,"-2,038",0,0,0.3,"-2,628","6,952","4,324",-837.7,-586.1,-251.6,"3,534","1,803","1,731",946.4,738.7,207.7,0,784.6,-15.6,0,15.6,0,769,114.4,-81.4,736,131,915.6,1.63,1.63,401.1,401.5
2022-06-30,"KB FINANCIAL PARTNERS, LLC",601,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"19,835","4,402","4,096",305.4,"7,538","6,367","1,528","31,913","12,077","3,546","5,452","4,556",896.1,961.4,"1,241",877.3,"14,637","2,162",0,0,"-2,188","14,663","24,264","9,627","4,385",252.4,"4,631",0,358.7,"7,649",0,"7,649",0,0,"7,649",0,0,"31,913","31,913","1,267","4,385",288.8,"1,411","2,553",131.5,-94.7,13.9,331.3,"1,037",0,0,0,"1,037",-0.1,-144.3,-237.5,0,-206.4,299.6,-124.4,"-2,637",-5.1,21.5,"-1,178","-1,475",0,1.2,-227.6,"4,324","4,096","2,315","2,553",-237.5,"5,430","2,766","2,664","1,011",789.1,222,0,"1,653",0,10.8,10.8,3.7,"1,657",246.2,-14.5,"1,425",131.5,"1,785",3.51,3.51,401.6,401.6
2022-09-30,"KB FINANCIAL PARTNERS, LLC",659,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"19,726","3,363","3,153",210,"7,822","6,884","1,658","32,804","13,077","3,769","5,426","4,556",870.1,998.7,0,"2,884","15,669",0,0,0,0,"15,669","24,848","9,180","3,503",0,0,0,"5,677","7,955",0,"7,955",0,0,"7,955",0,0,"32,804","32,804","1,209","3,503",350.3,"1,702","1,170",137.9,0,22.5,-282.6,-409.8,0,0,0,-409.8,0,-508.9,-356.6,0,0,0,-152.3,"-1,613",-1.2,19.9,"-1,088",-543.5,0,8.4,0,"3,153","3,153",812.9,"1,170",-356.6,"5,778","2,785","2,994","1,055",819.4,235.8,0,"1,938",0,15.1,15.1,15,"1,954",252,0,"1,702",137.9,"2,076",4.29,4.29,396.6,396.6
2022-12-31,"KB FINANCIAL PARTNERS, LLC",844,2022-12-01,109.0,6.5,3.4,55.723,48.0,3.6,3.8748,2022(Q4),"22,550","7,376","7,268",107.7,"7,047","7,200",926.9,"38,826","16,276","4,137","7,923","4,577","3,346",923.6,"2,189","1,104","17,763","2,565",746.2,315.3,"12,481","1,655","27,540","9,777","3,666",538.4,"5,270",151.5,151.9,"11,286",0,"11,286","8,698","2,762",36.3,0,-700.5,"38,826","38,826","1,031","4,260","-3,008","1,816","5,350",183.2,-89,21,205.8,"3,213","4,295","-2,081",0,999.2,0,-364,-465.9,-89.6,-4.2,106.1,89.6,-858,495.6,18.9,-335,-541.1,-496.4,-13,"4,116","3,153","7,268","4,885","5,350",-465.9,"6,430","3,119","3,311","1,187",906.3,280.4,0,"2,124",-16.2,3.1,19.3,13.1,"2,121",357.3,-52.7,"1,816",183.2,"2,307",4.6,4.6,394.9,395.2
2023-03-31,"KB FINANCIAL PARTNERS, LLC",1084,2023-03-01,104.0,5.0,2.8,-56.174,46.3,3.5,3.4676,2023(Q1),"21,061","6,652","6,648",4.8,"5,040","7,392","1,976","35,148","14,087","4,645","5,369","4,556",813.7,969.6,0,"3,103","16,948",0,0,0,0,"16,948","25,361","8,413","3,973",0,0,0,"4,440","9,786",0,"9,786",0,0,"9,786",0,0,"35,148","35,148",974.4,"3,973","-2,675","1,956",733.6,170.3,0,18.3,50.8,"-1,462",0,0,0,"-1,462",0,-436.5,-532,0,0,0,95.5,-916.1,-1.5,0,-396.2,-541.1,22.7,-1.6,-620.6,"7,268","6,648",201.6,733.6,-532,"6,746","3,333","3,413","1,208",947.9,260.3,0,"2,205",0,0,0,53.4,"2,258",302.6,0,"1,956",170.3,"2,375",4.95,4.95,395.1,394.8
2023-06-30,"KB FINANCIAL PARTNERS, LLC",902,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"22,398","6,346","6,341",5.1,"6,402","7,734","1,915","36,928","14,530","5,034","5,345","4,556",789.2,"1,040","1,679","1,432","16,754","2,787",0,0,-747.9,"14,715","26,324","9,569","4,518",372.8,"4,205",0,473.4,"10,605",0,"10,605","11,038","2,955",36.3,0,"-3,424","36,928","36,928","1,046","4,518","-1,824","1,942",384.7,181.2,41.5,33.4,23.6,"-1,837",0,0,0,"-1,837",0,-544.9,-544.4,0,-0.5,0,-7.1,-136.5,-0.7,25.1,-492.6,-666,997.8,-9.7,-306.4,"6,648","6,341",-159.7,384.7,-544.4,"6,902","3,358","3,544","1,281",999.9,281.1,0,"2,263",16.7,16.7,0,0,"2,280",403.9,-65.9,"1,942",181.2,"2,444",4.93,4.93,393.8,394
