REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-03-31,Bowling Portfolio Management LLC,20270,2020-03-01,118.8,1.5,5.5,41.967,49.0,3.8,0.6695,2020(Q1),"165,896","136,636","13,117","123,519","19,087","2,622","7,551","278,955","113,059","46,299","49,621","42,113","7,508","2,684",0,"14,455","58,118","8,574","3,017","3,440","29,904","13,183","172,894","114,776","73,137",234,"4,122","6,659","30,624","106,061",0,"106,061","27,240",-61,"78,882",0,0,"278,955","278,955","126,203","76,154","63,037","10,678","13,818","2,971",-177,"1,262",11,-927,"10,090",-561,-547,"-9,909",0,"-1,776","-3,385",-462,"-23,390","25,461",0,"-10,209","-2,500",427,"-4,912","-3,510",286,-72,"1,761","11,356","13,117","10,433","13,818","-3,385","33,055","10,406","22,649","9,963","4,565","5,398",0,"12,686",87,724,637,-87,"12,686","2,008",0,"10,678","2,971","15,657",1.4,1.38,"7,634","7,710"
2020-06-30,Bowling Portfolio Management LLC,25818,2020-06-01,98.3,0.6,28.1,50.366,52.6,13.0,0.6561,2020(Q2),"167,074","134,253","8,864","125,389","23,525","1,823","7,473","282,794","115,720","48,961","49,374","42,248","7,126","2,755",0,"14,630","59,640","8,811","6,247","2,687","27,343","14,552","172,685","113,045","70,533",222,"3,878","7,172","31,240","110,109",0,"110,109","30,739",-255,"79,625",0,0,"282,794","282,794","128,144","76,780","67,916","11,649","10,680","3,203",-53,"1,340",-203,"-5,256","-4,203",799,-7,"-1,845",0,"-6,036","-3,545",-80,"-19,011","16,600",0,"-8,915",-18,234,"-5,206","-3,886",-39,18,"-4,253","13,117","8,864","7,135","10,680","-3,545","36,906","12,358","24,548","10,657","4,603","6,054",0,"13,891",34,688,654,160,"14,085","2,436",0,"11,649","3,203","17,094",1.53,1.51,"7,621","7,691"
2020-09-30,Bowling Portfolio Management LLC,23351,2020-09-01,101.3,1.4,35.2,55.313,55.5,8.8,0.684,2020(Q3),"170,505","137,626","11,710","125,916","22,699","1,644","8,536","285,449","114,944","49,669","48,919","42,064","6,855","2,660",0,"13,696","58,707","9,246","3,748","3,296","27,012","15,405","170,948","112,241","70,110",185,"3,385","7,248","31,313","114,501",0,"114,501","32,012","2,676","79,813",0,0,"285,449","285,449","128,576","73,858","62,148","10,752","17,504","3,118",-206,"1,338",52,"2,450",891,181,546,832,0,51,"-3,767",-329,"-15,910","20,057",0,"-14,645","-3,000",342,"-7,059","-3,876","-1,052",-64,"2,846","8,864","11,710","13,737","17,504","-3,767","35,021","10,975","24,046","11,071","4,887","6,184",0,"12,975",59,673,614,-191,"12,843","2,091",0,"10,752","3,118","16,093",1.41,1.4,"7,602","7,675"
2020-12-31,Bowling Portfolio Management LLC,22986,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"181,915","136,527","13,576","122,951","32,011","1,895","11,482","301,311","119,396","52,904","50,389","43,351","7,038","2,965",0,"13,138","72,310","12,530","3,749","2,130","36,000","17,901","183,007","110,697","67,249",204,"3,180","7,671","32,393","118,304",0,"118,304","34,566","3,186","80,552",0,0,"301,311","301,311","125,916","70,998","57,422","11,202","18,673","3,504",447,"1,349",-79,"2,250","-9,355",-251,"3,026","8,830",0,"-4,462","-4,744","-1,650","-18,879","22,052","-1,241","-12,262",0,340,"-5,791","-3,865","-2,946",-83,"1,866","11,710","13,576","13,929","18,673","-4,744","38,033","12,339","25,694","12,287","5,214","7,073",0,"13,407",-91,595,686,106,"13,422","2,220",0,"11,202","3,504","16,911",1.48,1.46,"7,580","7,650"
2021-03-31,Bowling Portfolio Management LLC,20877,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"177,077","137,977","17,205","120,772","22,851","2,705","13,544","301,001","123,924","56,974","50,813","43,890","6,923","3,103",0,"13,034","70,056","12,509","6,497","2,384","33,476","15,190","177,609","107,553","64,808",187,"2,829","7,753","31,976","123,392",0,"123,392","39,193","3,110","81,089",0,0,"301,001","301,001","123,875","71,305","54,100","13,893","19,335","2,645",-11,"1,456",-128,"1,480","8,843",-808,315,"-6,870",0,"-5,371","-4,907",-481,"-14,580","16,680","-2,083","-10,289",0,545,"-6,743","-3,856",-235,-46,"3,629","13,576","17,205","14,428","19,335","-4,907","37,154","11,002","26,152","10,276","4,926","5,350",0,"15,876",-19,570,589,267,"16,124","2,231",0,"13,893","2,645","18,521",1.84,1.82,"7,566","7,637"
2021-06-30,Bowling Portfolio Management LLC,25122,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"173,973","131,968","14,432","117,536","27,312","1,924","12,769","304,137","130,164","62,035","50,774","44,219","6,555","3,794",0,"13,561","67,486","12,770","5,387","1,562","30,402","17,365","173,901","106,415","64,011",174,"2,985","8,875","30,370","130,236",0,"130,236","44,973","3,367","81,896",0,0,"304,137","304,137","121,330","69,398","54,966","15,463","12,516","2,761",-17,"1,566",-354,"-6,903","-4,008",788,33,"-3,716",0,"-1,669","-4,174",-415,"-15,092","17,685",327,"-13,634","-3,250",302,"-6,535","-4,230",79,14,"-2,773","17,205","14,432","8,342","12,516","-4,174","43,076","14,194","28,882","10,985","4,899","6,086",0,"17,897",-26,545,571,466,"18,337","2,874",0,"15,463","2,761","20,658",2.05,2.03,"7,555","7,616"
2021-09-30,Bowling Portfolio Management LLC,25991,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"165,614","125,407","13,702","111,705","26,322","2,245","11,640","308,879","143,265","65,618","57,825","49,698","8,127","5,395",0,"14,427","72,193","13,412","8,051","2,165","30,083","18,482","174,374","102,181","59,279",173,"2,631","9,272","30,826","134,505",0,"134,505","50,735","1,462","82,308",0,0,"308,879","308,879","117,100","67,330","53,628","15,457","22,179","2,936",-88,"1,525",-351,"2,700",290,-329,833,"1,906",0,"-9,684","-5,089","-7,512","-18,375","20,892",400,"-13,192",-500,396,"-6,930","-4,221","-1,937",-33,-730,"14,432","13,702","17,090","22,179","-5,089","41,706","13,045","28,661","11,613","5,204","6,409",0,"17,048",-114,519,633,302,"17,236","1,779",0,"15,457","2,936","19,984",2.05,2.03,"7,539","7,597"
2021-12-31,Bowling Portfolio Management LLC,30294,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"184,406","130,256","14,224","116,032","38,043","2,636","13,471","333,779","149,373","70,803","57,511","49,711","7,800","5,984",0,"15,075","88,657","15,163","8,072","2,174","41,525","21,723","191,791","103,134","59,703",198,"2,616","9,629","30,988","141,988",0,"141,988","57,055","1,822","83,111",0,0,"333,779","333,779","122,016","67,775","53,551","16,458","22,710","3,344",-34,"1,571",-416,"1,787","-11,606",-388,"1,617","12,164",0,"-10,853","-6,452",-501,"-14,877","10,543",434,"-11,371",0,450,"-7,177","-4,214",-430,36,522,"13,702","14,224","16,258","22,710","-6,452","46,152","13,991","32,161","13,066","5,687","7,379",0,"19,095",-56,497,553,366,"19,405","2,947",0,"16,458","3,344","22,439",2.19,2.17,"7,527","7,581"
2022-03-31,Bowling Portfolio Management LLC,28283,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"174,326","130,584","19,165","111,419","27,349","3,411","12,982","335,418","161,092","75,347","58,249","50,455","7,794","6,393",0,"21,103","80,528","14,832","3,249","6,272","38,465","17,710","183,440","102,912","60,089",212,"2,550","10,050","30,011","151,978",0,"151,978","66,944","1,283","83,751",0,0,"335,418","335,418","117,812","63,338","44,173","20,505","24,540","3,212","-5,970","1,702",-364,"5,455","10,486",-777,-471,"-3,783",0,"-3,250","-5,810","-1,206","-10,309","14,492",-417,"-16,276","-4,826",612,"-7,684","-4,206",-172,-73,"4,941","14,224","19,165","18,730","24,540","-5,810","45,317","13,646","31,671","11,433","5,599","5,834",0,"20,238",-19,520,539,305,"20,524",19,0,"20,505","3,212","23,450",2.73,2.71,"7,513","7,567"
2022-06-30,Bowling Portfolio Management LLC,25226,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"174,188","125,348","20,604","104,744","33,520","3,019","12,301","340,389","166,201","79,568","58,383","50,921","7,462","6,994",0,"21,256","77,510","15,314","4,998","3,731","34,001","19,466","180,379","102,869","59,034",199,"2,768","10,774","30,094","160,010",0,"160,010","75,045",437,"84,528",0,0,"340,389","340,389","111,738","64,032","43,428","18,765","14,480","3,496",183,"1,897",-307,"-9,554","-5,543",394,235,"-4,640",0,"-1,161","-5,865",-850,"-2,505","8,148",-89,"-11,986",0,291,"-7,433","-4,652",-192,106,"1,439","19,165","20,604","8,615","14,480","-5,865","51,728","16,960","34,768","12,521","5,758","6,763",0,"22,247",-22,503,525,290,"22,515","3,750",0,"18,765","3,496","25,743",2.5,2.48,"7,505","7,555"
