REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2021-12-31,Covestor Ltd,974,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"184,406","130,256","14,224","116,032","38,043","2,636","13,471","333,779","149,373","70,803","57,511","49,711","7,800","5,984",0,"15,075","88,657","15,163","8,072","2,174","41,525","21,723","191,791","103,134","59,703",198,"2,616","9,629","30,988","141,988",0,"141,988","57,055","1,822","83,111",0,0,"333,779","333,779","122,016","67,775","53,551","16,458","22,710","3,344",-34,"1,571",-416,"1,787","-11,606",-388,"1,617","12,164",0,"-10,853","-6,452",-501,"-14,877","10,543",434,"-11,371",0,450,"-7,177","-4,214",-430,36,522,"13,702","14,224","16,258","22,710","-6,452","46,152","13,991","32,161","13,066","5,687","7,379",0,"19,095",-56,497,553,366,"19,405","2,947",0,"16,458","3,344","22,439",2.19,2.17,"7,527","7,581"
2022-03-31,Covestor Ltd,1355,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"174,326","130,584","19,165","111,419","27,349","3,411","12,982","335,418","161,092","75,347","58,249","50,455","7,794","6,393",0,"21,103","80,528","14,832","3,249","6,272","38,465","17,710","183,440","102,912","60,089",212,"2,550","10,050","30,011","151,978",0,"151,978","66,944","1,283","83,751",0,0,"335,418","335,418","117,812","63,338","44,173","20,505","24,540","3,212","-5,970","1,702",-364,"5,455","10,486",-777,-471,"-3,783",0,"-3,250","-5,810","-1,206","-10,309","14,492",-417,"-16,276","-4,826",612,"-7,684","-4,206",-172,-73,"4,941","14,224","19,165","18,730","24,540","-5,810","45,317","13,646","31,671","11,433","5,599","5,834",0,"20,238",-19,520,539,305,"20,524",19,0,"20,505","3,212","23,450",2.73,2.71,"7,513","7,567"
2022-06-30,Covestor Ltd,944,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"174,188","125,348","20,604","104,744","33,520","3,019","12,301","340,389","166,201","79,568","58,383","50,921","7,462","6,994",0,"21,256","77,510","15,314","4,998","3,731","34,001","19,466","180,379","102,869","59,034",199,"2,768","10,774","30,094","160,010",0,"160,010","75,045",437,"84,528",0,0,"340,389","340,389","111,738","64,032","43,428","18,765","14,480","3,496",183,"1,897",-307,"-9,554","-5,543",394,235,"-4,640",0,"-1,161","-5,865",-850,"-2,505","8,148",-89,"-11,986",0,291,"-7,433","-4,652",-192,106,"1,439","19,165","20,604","8,615","14,480","-5,865","51,728","16,960","34,768","12,521","5,758","6,763",0,"22,247",-22,503,525,290,"22,515","3,750",0,"18,765","3,496","25,743",2.5,2.48,"7,505","7,555"
2022-09-30,Covestor Ltd,800,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"153,922","104,660","12,498","92,162","32,613","3,296","13,353","344,607","190,685","83,214","78,719","67,371","11,348","6,907",0,"21,845","77,439","16,085","1,749","4,646","34,027","20,932","181,683","104,244","59,534",304,"2,769","11,357","30,280","162,924",0,"162,924","79,633","-2,476","85,767",0,0,"344,607","344,607","99,069","61,283","48,785","16,728","25,386","3,773",-198,"1,906",105,"3,072",857,-279,520,"1,974",0,"-16,171","-5,340","-18,719","-8,723","17,792","-1,181","-17,345","-4,197",477,"-8,822","-4,645",-158,24,"-8,106","20,604","12,498","20,046","25,386","-5,340","49,360","15,615","33,745","13,381","6,306","7,075",0,"20,364",16,519,503,-190,"20,190","3,462",0,"16,728","3,773","24,137",2.23,2.22,"7,493","7,534"
2022-12-31,Covestor Ltd,1500,2022-12-01,109.0,6.5,3.4,55.723,48.0,3.6,3.8748,2022(Q4),"169,684","104,749","13,931","90,818","44,261","3,742","16,932","364,840","195,156","87,546","78,822","67,524","11,298","6,891",0,"21,897","95,082","19,000","2,749","4,067","45,538","23,728","198,298","103,216","58,521",230,"2,870","11,489","30,106","166,542",0,"166,542","84,281","-4,678","86,939",0,0,"364,840","364,840","97,709","61,270","47,339","16,740","24,629","3,979",283,"1,997",157,"1,473","-12,634",-461,"2,659","11,909",0,"-9,729","-6,871","-1,263","-4,919","4,462","-1,138","-13,269",0,461,"-8,757","-4,632",-341,-198,"1,433","12,498","13,931","17,758","24,629","-6,871","51,865","16,429","35,436","14,902","6,849","8,053",0,"20,534",56,552,496,-103,"20,487","3,747",0,"16,740","3,979","24,513",2.24,2.23,"7,474","7,506"
2023-03-31,Covestor Ltd,754,2023-03-01,104.0,5.0,2.8,-56.174,46.3,3.5,3.4676,2023(Q1),"160,812","107,244","22,884","84,360","31,279","4,268","18,021","359,784","198,972","90,384","78,267","67,459","10,808","6,839",0,"23,482","87,389","16,609","3,248","6,729","41,340","19,463","186,218","98,829","57,034",223,"2,549","11,660","27,363","173,566",0,"173,566","92,374","-7,343","88,535",0,0,"359,784","359,784","91,199","60,282","37,398","17,556","23,198","2,790","-1,191","2,192",-22,"1,873","11,729",-543,"-1,567","-7,746",0,"-3,132","-6,283",-349,"-5,013","9,373",-860,"-10,883","-1,000",575,"-5,573","-4,621",-264,-230,"8,953","13,931","22,884","16,915","23,198","-6,283","50,122","15,452","34,670","13,152","6,628","6,524",0,"21,518",141,641,500,-87,"21,572","4,016",0,"17,556","2,790","24,308",2.35,2.35,"7,457","7,485"
2023-06-30,Covestor Ltd,886,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"157,823","99,495","15,646","83,849","35,833","2,980","19,515","364,552","206,730","96,379","78,260","67,905","10,355","7,097",0,"24,994","81,718","15,354","3,997","3,553","36,982","21,832","181,416","99,698","56,117",289,"2,644","11,998","28,650","183,136",0,"183,136","99,368","-6,457","90,225",0,0,"364,552","364,552","90,946","60,114","44,468","16,425","11,173","3,648","-1,305","2,538",214,"-10,347","-3,164","1,305","-2,058","-6,430",0,"-7,150","-6,274",-679,"-11,599","11,703",-301,"-11,349",-750,243,"-5,459","-5,066",-317,88,"-7,238","22,884","15,646","4,899","11,173","-6,274","52,747","17,488","35,259","14,860","6,844","8,016",0,"20,399",210,700,490,-270,"20,339","3,914",0,"16,425","3,648","24,047",2.2,2.2,"7,451","7,473"
2023-09-30,Covestor Ltd,812,2023-09-01,104.3,3.7,4.4,-47.662,48.9,3.7,4.5711,2023(Q3),"163,889","104,419","26,562","77,857","37,420","2,877","19,173","380,088","216,199","102,011","77,819","67,940","9,879","9,415",0,"26,954","85,691","15,305","6,245","4,163","36,903","23,075","185,405","99,714","54,277",302,"2,698","12,312","30,125","194,683",0,"194,683","108,234","-5,644","92,093",0,0,"380,088","380,088","87,272","60,522","33,960","18,299","24,441","3,549","-1,675","2,465",-40,"1,843","-1,408",106,-407,"3,552",0,"-3,264","-6,607",-301,"-9,063","14,393","-1,686","-10,290",0,536,"-5,509","-5,059",-258,29,"10,916","15,646","26,562","17,834","24,441","-6,607","52,857","16,128","36,729","14,377","6,984","7,393",0,"22,352",252,748,496,69,"22,673","4,374",0,"18,299","3,549","25,901",2.46,2.45,"7,441","7,464"
2023-12-31,Covestor Ltd,1006,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"184,257","111,256","34,704","76,552","48,688","2,500","21,813","411,976","227,719","109,987","77,252","67,886","9,366","9,879",0,"30,601","104,149","18,095","5,247","4,152","50,901","25,754","205,753","101,604","54,718",433,"2,912","12,728","30,813","206,223",0,"206,223","118,848","-6,343","93,718",0,0,"411,976","411,976","86,431","59,965","25,261","20,081","28,770","3,874","-1,888","2,416",44,"4,243","-11,244",374,"1,311","13,802",0,"-9,134","-8,943",-341,"-11,976","12,395",-269,"-11,413","-1,000",512,"-5,704","-5,054",-167,-81,"8,142","26,562","34,704","19,827","28,770","-8,943","56,189","16,795","39,394","15,140","6,739","8,401",0,"24,254",423,905,482,50,"24,727","4,646",0,"20,081","3,874","28,128",2.7,2.69,"7,434","7,467"
2024-03-31,Covestor Ltd,1565,2024-03-01,103.1,3.5,1.6,-42.173,49.8,3.8,4.2003,2024(Q1),"207,586","143,945","80,452","63,493","36,953","3,000","23,688","445,785","238,199","117,937","76,685","67,790","8,895","11,423",0,"32,154","124,792","19,307","29,556","8,035","46,429","21,465","225,071","100,279","55,433",470,"2,759","13,487","28,130","220,714",0,"220,714","132,143","-6,937","95,508",0,0,"445,785","445,785","74,916","84,989","4,537","22,291","30,583","3,921",-568,"2,507",14,"2,418","11,034",-505,"1,214","-9,325",0,503,"-9,917","-1,186","-8,460","21,048",-982,"14,761","24,265",685,"-4,831","-5,051",-307,-99,"45,748","34,704","80,452","20,666","30,583","-9,917","56,517","16,302","40,215","13,320","6,659","6,661",0,"26,895",641,"1,166",525,-252,"27,284","4,993",0,"22,291","3,921","30,816",3,2.99,"7,429","7,462"
2024-06-30,Covestor Ltd,1763,2024-06-01,97.8,3.0,3,-35.946,48.3,4.0,4.3961,2024(Q2),"147,393","80,982","17,305","63,677","42,831","1,615","21,965","470,558","323,165","128,706","148,827","118,931","29,896","13,367",0,"32,265","121,016","17,695","29,291","5,787","43,068","25,175","232,290","111,274","59,083","2,548","2,966","14,155","32,522","238,268",0,"238,268","145,737","-4,949","97,480",0,0,"470,558","470,558","77,044","88,374","71,069","21,870","18,853","5,959","-1,702","2,828",198,"-10,300","-2,951","1,474","-2,521","-6,302",0,"-71,925","-9,735","-65,029","-4,258","5,750","1,347","-10,147",-633,261,"-4,000","-5,574",-201,72,"-63,147","80,452","17,305","9,118","18,853","-9,735","62,020","19,623","42,397","15,365","7,142","8,223",0,"27,032",-175,734,909,-331,"26,526","4,656",0,"21,870","5,959","32,991",2.94,2.93,"7,432","7,468"
2024-09-30,Covestor Ltd,1706,2024-09-01,99.2,2.4,3.1,13.779,47.5,4.2,3.7809,2024(Q3),"147,180","80,013","19,634","60,379","44,029","1,304","21,834","484,275","337,095","138,746","147,991","119,163","28,828","14,807",0,"35,551","118,525","18,087","22,784","7,311","41,888","28,455","231,123","112,598","57,127","2,469","2,945","14,469","35,588","253,152",0,"253,152","159,394","-5,435","99,193",0,0,"484,275","484,275","75,186","79,911","60,277","21,939","31,917","6,027","-1,323","2,703",49,"2,522","-2,028",260,648,"3,642",0,"-10,700","-10,952","-1,575","-2,183","5,291","-1,281","-18,808","-9,047",522,"-4,213","-5,572",-498,-80,"2,329","17,305","19,634","20,965","31,917","-10,952","61,858","18,505","43,353","15,772","7,653","8,119",0,"27,581",-181,619,800,-673,"26,727","4,788",0,"21,939","6,027","33,608",2.95,2.94,"7,431","7,472"
