REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-09-30,Vanderbilt University,1470207,2020-09-01,101.3,1.4,35.2,55.313,55.5,8.8,0.684,2020(Q3),"170,505","137,626","11,710","125,916","22,699","1,644","8,536","285,449","114,944","49,669","48,919","42,064","6,855","2,660",0,"13,696","58,707","9,246","3,748","3,296","27,012","15,405","170,948","112,241","70,110",185,"3,385","7,248","31,313","114,501",0,"114,501","32,012","2,676","79,813",0,0,"285,449","285,449","128,576","73,858","62,148","10,752","17,504","3,118",-206,"1,338",52,"2,450",891,181,546,832,0,51,"-3,767",-329,"-15,910","20,057",0,"-14,645","-3,000",342,"-7,059","-3,876","-1,052",-64,"2,846","8,864","11,710","13,737","17,504","-3,767","35,021","10,975","24,046","11,071","4,887","6,184",0,"12,975",59,673,614,-191,"12,843","2,091",0,"10,752","3,118","16,093",1.41,1.4,"7,602","7,675"
2020-12-31,Vanderbilt University,1554716,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"181,915","136,527","13,576","122,951","32,011","1,895","11,482","301,311","119,396","52,904","50,389","43,351","7,038","2,965",0,"13,138","72,310","12,530","3,749","2,130","36,000","17,901","183,007","110,697","67,249",204,"3,180","7,671","32,393","118,304",0,"118,304","34,566","3,186","80,552",0,0,"301,311","301,311","125,916","70,998","57,422","11,202","18,673","3,504",447,"1,349",-79,"2,250","-9,355",-251,"3,026","8,830",0,"-4,462","-4,744","-1,650","-18,879","22,052","-1,241","-12,262",0,340,"-5,791","-3,865","-2,946",-83,"1,866","11,710","13,576","13,929","18,673","-4,744","38,033","12,339","25,694","12,287","5,214","7,073",0,"13,407",-91,595,686,106,"13,422","2,220",0,"11,202","3,504","16,911",1.48,1.46,"7,580","7,650"
2021-03-31,Vanderbilt University,1648032,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"177,077","137,977","17,205","120,772","22,851","2,705","13,544","301,001","123,924","56,974","50,813","43,890","6,923","3,103",0,"13,034","70,056","12,509","6,497","2,384","33,476","15,190","177,609","107,553","64,808",187,"2,829","7,753","31,976","123,392",0,"123,392","39,193","3,110","81,089",0,0,"301,001","301,001","123,875","71,305","54,100","13,893","19,335","2,645",-11,"1,456",-128,"1,480","8,843",-808,315,"-6,870",0,"-5,371","-4,907",-481,"-14,580","16,680","-2,083","-10,289",0,545,"-6,743","-3,856",-235,-46,"3,629","13,576","17,205","14,428","19,335","-4,907","37,154","11,002","26,152","10,276","4,926","5,350",0,"15,876",-19,570,589,267,"16,124","2,231",0,"13,893","2,645","18,521",1.84,1.82,"7,566","7,637"
2021-06-30,Vanderbilt University,1893591,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"173,973","131,968","14,432","117,536","27,312","1,924","12,769","304,137","130,164","62,035","50,774","44,219","6,555","3,794",0,"13,561","67,486","12,770","5,387","1,562","30,402","17,365","173,901","106,415","64,011",174,"2,985","8,875","30,370","130,236",0,"130,236","44,973","3,367","81,896",0,0,"304,137","304,137","121,330","69,398","54,966","15,463","12,516","2,761",-17,"1,566",-354,"-6,903","-4,008",788,33,"-3,716",0,"-1,669","-4,174",-415,"-15,092","17,685",327,"-13,634","-3,250",302,"-6,535","-4,230",79,14,"-2,773","17,205","14,432","8,342","12,516","-4,174","43,076","14,194","28,882","10,985","4,899","6,086",0,"17,897",-26,545,571,466,"18,337","2,874",0,"15,463","2,761","20,658",2.05,2.03,"7,555","7,616"
2023-09-30,Vanderbilt University,2004381,2023-09-01,104.3,3.7,4.4,-47.662,48.9,3.7,4.5711,2023(Q3),"163,889","104,419","26,562","77,857","37,420","2,877","19,173","380,088","216,199","102,011","77,819","67,940","9,879","9,415",0,"26,954","85,691","15,305","6,245","4,163","36,903","23,075","185,405","99,714","54,277",302,"2,698","12,312","30,125","194,683",0,"194,683","108,234","-5,644","92,093",0,0,"380,088","380,088","87,272","60,522","33,960","18,299","24,441","3,549","-1,675","2,465",-40,"1,843","-1,408",106,-407,"3,552",0,"-3,264","-6,607",-301,"-9,063","14,393","-1,686","-10,290",0,536,"-5,509","-5,059",-258,29,"10,916","15,646","26,562","17,834","24,441","-6,607","52,857","16,128","36,729","14,377","6,984","7,393",0,"22,352",252,748,496,69,"22,673","4,374",0,"18,299","3,549","25,901",2.46,2.45,"7,441","7,464"
2023-12-31,Vanderbilt University,3341867,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"184,257","111,256","34,704","76,552","48,688","2,500","21,813","411,976","227,719","109,987","77,252","67,886","9,366","9,879",0,"30,601","104,149","18,095","5,247","4,152","50,901","25,754","205,753","101,604","54,718",433,"2,912","12,728","30,813","206,223",0,"206,223","118,848","-6,343","93,718",0,0,"411,976","411,976","86,431","59,965","25,261","20,081","28,770","3,874","-1,888","2,416",44,"4,243","-11,244",374,"1,311","13,802",0,"-9,134","-8,943",-341,"-11,976","12,395",-269,"-11,413","-1,000",512,"-5,704","-5,054",-167,-81,"8,142","26,562","34,704","19,827","28,770","-8,943","56,189","16,795","39,394","15,140","6,739","8,401",0,"24,254",423,905,482,50,"24,727","4,646",0,"20,081","3,874","28,128",2.7,2.69,"7,434","7,467"
2024-03-31,Vanderbilt University,5375119,2024-03-01,103.1,3.5,1.6,-42.173,49.8,3.8,4.2003,2024(Q1),"207,586","143,945","80,452","63,493","36,953","3,000","23,688","445,785","238,199","117,937","76,685","67,790","8,895","11,423",0,"32,154","124,792","19,307","29,556","8,035","46,429","21,465","225,071","100,279","55,433",470,"2,759","13,487","28,130","220,714",0,"220,714","132,143","-6,937","95,508",0,0,"445,785","445,785","74,916","84,989","4,537","22,291","30,583","3,921",-568,"2,507",14,"2,418","11,034",-505,"1,214","-9,325",0,503,"-9,917","-1,186","-8,460","21,048",-982,"14,761","24,265",685,"-4,831","-5,051",-307,-99,"45,748","34,704","80,452","20,666","30,583","-9,917","56,517","16,302","40,215","13,320","6,659","6,661",0,"26,895",641,"1,166",525,-252,"27,284","4,993",0,"22,291","3,921","30,816",3,2.99,"7,429","7,462"
2024-06-30,Vanderbilt University,7702289,2024-06-01,97.8,3.0,3,-35.946,48.3,4.0,4.3961,2024(Q2),"147,393","80,982","17,305","63,677","42,831","1,615","21,965","470,558","323,165","128,706","148,827","118,931","29,896","13,367",0,"32,265","121,016","17,695","29,291","5,787","43,068","25,175","232,290","111,274","59,083","2,548","2,966","14,155","32,522","238,268",0,"238,268","145,737","-4,949","97,480",0,0,"470,558","470,558","77,044","88,374","71,069","21,870","18,853","5,959","-1,702","2,828",198,"-10,300","-2,951","1,474","-2,521","-6,302",0,"-71,925","-9,735","-65,029","-4,258","5,750","1,347","-10,147",-633,261,"-4,000","-5,574",-201,72,"-63,147","80,452","17,305","9,118","18,853","-9,735","62,020","19,623","42,397","15,365","7,142","8,223",0,"27,032",-175,734,909,-331,"26,526","4,656",0,"21,870","5,959","32,991",2.94,2.93,"7,432","7,468"
2024-09-30,Vanderbilt University,8088779,2024-09-01,99.2,2.4,3.1,13.779,47.5,4.2,3.7809,2024(Q3),"147,180","80,013","19,634","60,379","44,029","1,304","21,834","484,275","337,095","138,746","147,991","119,163","28,828","14,807",0,"35,551","118,525","18,087","22,784","7,311","41,888","28,455","231,123","112,598","57,127","2,469","2,945","14,469","35,588","253,152",0,"253,152","159,394","-5,435","99,193",0,0,"484,275","484,275","75,186","79,911","60,277","21,939","31,917","6,027","-1,323","2,703",49,"2,522","-2,028",260,648,"3,642",0,"-10,700","-10,952","-1,575","-2,183","5,291","-1,281","-18,808","-9,047",522,"-4,213","-5,572",-498,-80,"2,329","17,305","19,634","20,965","31,917","-10,952","61,858","18,505","43,353","15,772","7,653","8,119",0,"27,581",-181,619,800,-673,"26,727","4,788",0,"21,939","6,027","33,608",2.95,2.94,"7,431","7,472"
2024-12-31,Vanderbilt University,7145268,2024-12-01,109.5,2.9,2.4,32.529,49.2,4.2,4.569,2024(Q4),"159,734","75,531","18,315","57,216","56,924","1,246","26,033","512,163","352,429","154,552","146,817","119,220","27,597","14,600",0,"36,460","125,286","21,996","8,942","5,017","57,582","31,749","243,686","118,400","58,185","2,618","2,602","15,497","39,498","268,477",0,"268,477","173,144","-5,590","100,923",0,0,"512,163","512,163","71,816","67,127","48,812","22,036","37,195","6,380","-1,145","2,696",44,"7,184","-13,246",55,"4,204","16,171",0,"-14,848","-13,873","-1,342","-2,831","3,580",-382,"-23,563","-14,010",534,"-4,210","-5,574",-303,-103,"-1,319","19,634","18,315","23,322","37,195","-13,873","64,727","19,684","45,043","17,118","8,056","9,062",0,"27,925",-63,638,701,-612,"27,250","5,214",0,"22,036","6,380","34,305",2.96,2.95,"7,433","7,472"
