fund,ticker,r2,alpha
"A. D. Beadell Investment Counsel, Inc.",apple,0.0,100000.0
"A. D. Beadell Investment Counsel, Inc.",microsoft,0.6146651966082257,62.94988990221888
ABNER HERRMAN & BROCK LLC,advanced_micro,0.5580409423151456,230.04301197729168
ABNER HERRMAN & BROCK LLC,microsoft,0.5001199314476408,2612.6752255633264
ACTIAM N.V.,amazon,0.0,100000.0
ADELL HARRIMAN & CARPENTER INC,amazon,0.2792922521930199,100000.0
ADELL HARRIMAN & CARPENTER INC,apple,0.2658527843997137,100000.0
ADELL HARRIMAN & CARPENTER INC,microsoft,0.46693582559665603,66699.19663030114
ADELL HARRIMAN & CARPENTER INC,palo_alto,0.6823883798103579,37834.62617131925
ADELL HARRIMAN & CARPENTER INC,salesforce,0.2428228516096742,100000.0
ADVISORS MANAGEMENT GROUP INC /ADV,apple,0.0,100000.0
ADVISORS MANAGEMENT GROUP INC /ADV,tesla,0.0,100000.0
AM INVESTMENT STRATEGIES LLC,amazon,0.0,100000.0
AM INVESTMENT STRATEGIES LLC,apple,0.3499707135080282,8119.844993184009
AM INVESTMENT STRATEGIES LLC,microsoft,0.34791030561698333,1071.8913192051286
AMICA MUTUAL INSURANCE CO,amazon,0.0,100000.0
AMICA MUTUAL INSURANCE CO,apple,0.0,100000.0
AMICA MUTUAL INSURANCE CO,microsoft,0.0,100000.0
AMICA MUTUAL INSURANCE CO,tesla,0.40928641902433505,517.0920242896756
APPLETON PARTNERS INC/MA,amazon,0.0,100000.0
APPLETON PARTNERS INC/MA,apple,0.19908664189546021,3612.3426997094302
APPLETON PARTNERS INC/MA,microsoft,0.3672003913928529,5415.871378079476
APPLETON PARTNERS INC/MA,palo_alto,0.38996002998229906,659.3188271333541
APPLETON PARTNERS INC/MA,salesforce,0.24552988134123377,102.34114021054528
AR ASSET MANAGEMENT INC,apple,0.2706233906375479,2833.096101839324
AR ASSET MANAGEMENT INC,microsoft,0.5428121941313783,1260.3829296797273
ASSET PLANNING SERVICES INC /LA/ /ADV,amazon,0.0,100000.0
ASSET PLANNING SERVICES INC /LA/ /ADV,microsoft,0.4956542117421928,49.37047852839004
ATLAS CAPITAL ADVISORS LLC,apple,0.5911045559093897,100000.0
ATLAS CAPITAL ADVISORS LLC,asml,0.08354808579554063,100000.0
AZZAD ASSET MANAGEMENT INC /ADV,advanced_micro,0.7927066810495516,0.01
AZZAD ASSET MANAGEMENT INC /ADV,apple,0.6752784554065272,12173.82727739662
AZZAD ASSET MANAGEMENT INC /ADV,asml,0.6811132331611461,2612.6752255633264
AZZAD ASSET MANAGEMENT INC /ADV,microsoft,0.7026382855908904,100000.0
AZZAD ASSET MANAGEMENT INC /ADV,salesforce,0.31865364433543786,100000.0
"Abacus Wealth Partners, LLC",amazon,0.6102988671590472,29673.024081888667
"Abacus Wealth Partners, LLC",microsoft,0.23261464516757635,100000.0
Abound Wealth Management,apple,0.9005455880893206,100000.0
Abound Wealth Management,microsoft,0.9068646981058448,52310.993080562585
Abundance Wealth Counselors,apple,0.5187606528695534,714.9428986597577
"AllGen Financial Advisors, Inc.",apple,0.14716292540601705,100000.0
"AllGen Financial Advisors, Inc.",microsoft,0.2506544071202249,100000.0
"AlphaMark Advisors, LLC",amazon,0.4965635906531086,120.33778407775905
"AlphaMark Advisors, LLC",apple,0.36061841027695385,230.04301197729168
"AlphaMark Advisors, LLC",microsoft,0.0,100000.0
Amica Retiree Medical Trust,amazon,0.6748755102103923,373.9937302478794
Amica Retiree Medical Trust,apple,0.3811373561271558,373.9937302478794
Amica Retiree Medical Trust,microsoft,0.49362026697549666,608.0224261649427
Amica Retiree Medical Trust,tesla,0.7766658736060982,12.458833642950081
"Anchor Investment Management, LLC",amazon,0.40691715281077445,19791.668678535574
"Anchor Investment Management, LLC",apple,0.5298543249568064,32176.417502507353
"Anchor Investment Management, LLC",meta,0.6002213982614304,14314.589375234786
"Anchor Investment Management, LLC",microsoft,0.5539746571749611,44487.82831127585
"Anchor Investment Management, LLC",salesforce,0.5584547922651759,988.4959046625586
"Annandale Capital, LLC",apple,0.7685238021667928,212.14517849106278
"Annandale Capital, LLC",microsoft,0.6269864816242723,344.896226040576
Ardevora Asset Management LLP,amazon,0.5318372106381279,2049.074689815846
Ashburton (Jersey) Ltd,microsoft,0.29233628646749343,110.97524964120721
"Ashton Thomas Private Wealth, LLC",amazon,0.48925811349968507,92219.78823334322
"Ashton Thomas Private Wealth, LLC",apple,0.7442769548257953,100000.0
"Ashton Thomas Private Wealth, LLC",meta,0.5064503512266494,34891.012134067736
"Ashton Thomas Private Wealth, LLC",microsoft,0.729358230812339,100000.0
"Ashton Thomas Private Wealth, LLC",palo_alto,0.7247376243900243,6368.249944718586
Aspen Investment Management Inc,amazon,0.2037393015755148,405.54607358408276
Aspen Investment Management Inc,apple,0.0,100000.0
Aspen Investment Management Inc,microsoft,0.0,100000.0
"Ategra Capital Management, LLC",apple,0.17859644001228592,100000.0
"Ategra Capital Management, LLC",microsoft,0.503128523050975,100000.0
"Aurora Investment Managers, LLC.",apple,0.0,100000.0
"Aurora Investment Managers, LLC.",microsoft,0.0,100000.0
"Aurora Investment Managers, LLC.",tesla,0.5290782588335892,249.45081352303166
"Aurora Private Wealth, Inc.",amazon,0.8053683348568195,130.49019780144016
"Aurora Private Wealth, Inc.",apple,0.5893410599383229,560.7169938205458
"Aurora Private Wealth, Inc.",microsoft,0.6088094414525369,80.26433522257175
Avalon Global Asset Management LLC,amazon,0.0,100000.0
Avalon Global Asset Management LLC,apple,0.0,100000.0
Avion Wealth,apple,0.0,100000.0
Avion Wealth,microsoft,0.0,100000.0
BARTLETT & CO. WEALTH MANAGEMENT LLC,amazon,0.46568401785922764,100000.0
BARTLETT & CO. WEALTH MANAGEMENT LLC,apple,0.4129976429680573,100000.0
BARTLETT & CO. WEALTH MANAGEMENT LLC,microsoft,0.4851882582512197,100000.0
BARTLETT & CO. WEALTH MANAGEMENT LLC,salesforce,0.1999245658362755,100000.0
"BCR Wealth Strategies, LLC",meta,0.9659951079328442,4.7137531341167245
BEDDOW CAPITAL MANAGEMENT INC,amazon,0.0,100000.0
BEDDOW CAPITAL MANAGEMENT INC,apple,0.547561556195992,62.94988990221888
BEDDOW CAPITAL MANAGEMENT INC,meta,0.6523868752669613,775.2597488629465
BEDDOW CAPITAL MANAGEMENT INC,microsoft,0.5970786092203854,5.5426645206631076
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,amazon,0.5694018298402026,3072.112998861759
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,microsoft,0.0,100000.0
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,nvidia,0.0,100000.0
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,salesforce,0.0,100000.0
BIRINYI ASSOCIATES INC,asml,0.4314930980123174,94.37878277775381
BOSTON FAMILY OFFICE LLC,amazon,0.0,100000.0
BOSTON FAMILY OFFICE LLC,apple,0.0,100000.0
BOSTON FAMILY OFFICE LLC,microsoft,0.31555043845672215,4605.922041145103
BOSTON FAMILY OFFICE LLC,salesforce,0.2156012988950734,3072.112998861759
BOSTON RESEARCH & MANAGEMENT INC,apple,0.0,100000.0
BOSTON RESEARCH & MANAGEMENT INC,microsoft,0.0,100000.0
"BROWN, LISLE/CUMMINGS, INC.",amazon,0.8704113650213554,44487.82831127585
"BROWN, LISLE/CUMMINGS, INC.",apple,0.8683931673325034,100000.0
"BROWN, LISLE/CUMMINGS, INC.",asml,0.13772753336004084,100000.0
"BROWN, LISLE/CUMMINGS, INC.",meta,0.952423268537476,18251.834943190424
"BROWN, LISLE/CUMMINGS, INC.",microsoft,0.9122751098475245,100000.0
"BROWN, LISLE/CUMMINGS, INC.",palo_alto,0.8332232646090201,72326.33896483533
"BROWN, LISLE/CUMMINGS, INC.",salesforce,0.7370633878581145,32176.417502507353
"BROWN, LISLE/CUMMINGS, INC.",tesla,0.27069242505559876,100000.0
Baldrige Asset Management LLC,apple,0.0,100000.0
Baldrige Asset Management LLC,microsoft,0.0,100000.0
"Banco de Sabadell, S.A",apple,0.0,100000.0
"Banco de Sabadell, S.A",asml,0.0,100000.0
"Banco de Sabadell, S.A",microsoft,0.17416581965182465,988.4959046625586
Banque Cantonale Vaudoise,amazon,0.0,100000.0
Banque Cantonale Vaudoise,apple,0.2590311815455497,6368.249944718586
Banque Cantonale Vaudoise,microsoft,0.0,100000.0
Banque Cantonale Vaudoise,salesforce,0.0,100000.0
Banque Cantonale Vaudoise,tesla,0.0790522923814434,1742.6333860096508
Bartlett & Co. LLC,amazon,0.0,100000.0
Bartlett & Co. LLC,apple,0.0,100000.0
Bartlett & Co. LLC,microsoft,0.0,100000.0
Bartlett & Co. LLC,salesforce,0.0,100000.0
Baskin Financial Services Inc.,amazon,0.0,100000.0
Baskin Financial Services Inc.,apple,0.0,100000.0
Baskin Financial Services Inc.,microsoft,0.0,100000.0
Beaton Management Co. Inc.,amazon,0.0,100000.0
Beaton Management Co. Inc.,apple,0.0,100000.0
Beaton Management Co. Inc.,meta,0.9421053117252893,25.826187606826746
Beaton Management Co. Inc.,microsoft,0.0,100000.0
"Bensler, LLC",amazon,0.8948575685836844,61509.857885805046
"Bensler, LLC",apple,0.7771664930440734,100000.0
"Bensler, LLC",microsoft,0.8839149146240335,100000.0
Biechele Royce Advisors,apple,0.3242554738734761,1742.6333860096508
Biechele Royce Advisors,microsoft,0.8445352790511806,14.649713983072864
"Blue Edge Capital, LLC",amazon,0.47146189067224464,100000.0
Border to Coast Pensions Partnership Ltd,amazon,0.9651759460901215,100000.0
Border to Coast Pensions Partnership Ltd,apple,0.9403821678892453,100000.0
Border to Coast Pensions Partnership Ltd,microsoft,0.9440769208739213,100000.0
"Boston Standard Wealth Management, LLC",apple,0.24645005360434358,72326.33896483533
"Boston Standard Wealth Management, LLC",microsoft,0.0,100000.0
Brendel Financial Advisors LLC,microsoft,0.0,100000.0
"Briaud Financial Planning, Inc",apple,0.49285891882470656,45.52935074866948
"Briaud Financial Planning, Inc",microsoft,0.0,100000.0
"Brick & Kyle, Associates",microsoft,0.0,100000.0
"Bull Street Advisors, LLC",apple,0.23874062039552857,659.3188271333541
"Bull Street Advisors, LLC",microsoft,0.0,100000.0
"Bulltick Wealth Management, LLC",amazon,0.8120425774467674,100000.0
"Bulltick Wealth Management, LLC",apple,0.5835758613643558,100000.0
"Bulltick Wealth Management, LLC",microsoft,0.14347556822031393,100000.0
"Burns Matteson Capital Management, LLC",amazon,0.21178857438062693,100000.0
"Burns Matteson Capital Management, LLC",apple,0.048644789913796393,100000.0
"Burns Matteson Capital Management, LLC",microsoft,0.48257901959859006,100000.0
CAZ INVESTMENTS LP,amazon,0.7903182346780534,3.409285069746811
"CENTAURUS FINANCIAL, INC.",amazon,0.0,100000.0
"CENTAURUS FINANCIAL, INC.",apple,0.0,5872.786613189477
"CENTAURUS FINANCIAL, INC.",microsoft,0.0,100000.0
"CENTAURUS FINANCIAL, INC.",salesforce,0.0,100000.0
CHARTIST INC /CA/,amazon,0.2615270131126175,52310.993080562585
CHARTIST INC /CA/,microsoft,0.9281327656511621,344.896226040576
CHASE INVESTMENT COUNSEL CORP,microsoft,0.0,100000.0
CHICKASAW CAPITAL MANAGEMENT LLC,amazon,0.0,100000.0
CHICKASAW CAPITAL MANAGEMENT LLC,apple,0.19600349227338743,2049.074689815846
CHICKASAW CAPITAL MANAGEMENT LLC,microsoft,0.0,100000.0
CHICKASAW CAPITAL MANAGEMENT LLC,salesforce,0.0,100000.0
CI INVESTMENTS INC.,advanced_micro,0.12085123594611102,32176.417502507353
CI INVESTMENTS INC.,amazon,0.0,100000.0
CI INVESTMENTS INC.,apple,0.192674637875059,66699.19663030114
CI INVESTMENTS INC.,microsoft,0.0,100000.0
CI INVESTMENTS INC.,shopify,0.0,100000.0
"CJM Wealth Advisers, Ltd.",amazon,0.7972222740348447,11226.677735108136
"CJM Wealth Advisers, Ltd.",apple,0.7482582576398176,100000.0
"CJM Wealth Advisers, Ltd.",microsoft,0.9153952382562625,41026.581058271906
CKW FINANCIAL GROUP,apple,0.0,100000.0
CLARET ASSET MANAGEMENT Corp,microsoft,0.0,100000.0
CLARET ASSET MANAGEMENT Corp,nvidia,0.0,100000.0
CLARET ASSET MANAGEMENT Corp,tesla,0.0,100000.0
"COHEN & STEERS, INC.",amazon,0.051341942302393084,153.43684089300132
"COHEN & STEERS, INC.",apple,0.343460052066883,180.41864093920717
"COHEN & STEERS, INC.",microsoft,0.3860796902277519,195.63983435170647
"COHEN & STEERS, INC.",salesforce,0.19360332227538346,28.00503894183631
"COHEN & STEERS, INC.",tesla,0.20127641381473915,45.52935074866948
COLONY GROUP LLC,apple,0.8311488749543303,8804.883581643464
COLONY GROUP LLC,microsoft,0.7597548943241104,9547.716114208066
COLONY GROUP LLC,nvidia,0.7673362251786131,249.45081352303166
COLONY GROUP LLC,salesforce,0.0,100000.0
COMMERZBANK AKTIENGESELLSCHAFT /FI,microsoft,0.6078362270192377,34891.012134067736
"COMMONWEALTH EQUITY SERVICES, LLC",advanced_micro,0.3243616148149461,16831.80353330955
"COMMONWEALTH EQUITY SERVICES, LLC",amazon,0.02490431390437542,100000.0
"COMMONWEALTH EQUITY SERVICES, LLC",apple,0.3420084356663734,100000.0
"COMMONWEALTH EQUITY SERVICES, LLC",asml,0.4107059810166154,8804.883581643464
"COMMONWEALTH EQUITY SERVICES, LLC",microsoft,0.4241095892858894,100000.0
"COMMONWEALTH EQUITY SERVICES, LLC",palo_alto,0.7153588546244886,58.05225516094896
"COMMONWEALTH EQUITY SERVICES, LLC",salesforce,0.0,100000.0
"COMMONWEALTH EQUITY SERVICES, LLC",shopify,0.0,100000.0
"CONWAY CAPITAL MANAGEMENT, INC.",amazon,0.3208972711777873,100000.0
"CONWAY CAPITAL MANAGEMENT, INC.",apple,0.44513810579483926,100000.0
"CONWAY CAPITAL MANAGEMENT, INC.",microsoft,0.49992601574040507,100000.0
"CROWN ADVISORS MANAGEMENT, INC.",nvidia,0.0,100000.0
"CSM Advisors, LLC",apple,0.0,100000.0
"CSM Advisors, LLC",meta,0.45275243765608475,2833.096101839324
"CSM Advisors, LLC",microsoft,0.13588331608044912,2409.403560239527
"CWM, LLC",advanced_micro,0.3606092768412976,6368.249944718586
"CWM, LLC",amazon,0.0,100000.0
"CWM, LLC",apple,0.7306111307099199,293.31662783900424
"CWM, LLC",asml,0.0,100000.0
"CWM, LLC",microsoft,0.0,100000.0
"CWM, LLC",palo_alto,0.8941134234773102,1260.3829296797273
"CWM, LLC",salesforce,0.7521181776045263,2833.096101839324
"CWM, LLC",tesla,0.5881101589763013,405.54607358408276
"Cairn Investment Group, Inc.",microsoft,0.0,100000.0
"Cambridge Financial Group, Inc.",microsoft,0.23494590980948715,100000.0
"Cambridge Investment Research Advisors, Inc.",advanced_micro,0.23916065629614702,10353.218432956615
"Cambridge Investment Research Advisors, Inc.",amazon,0.0,100000.0
"Cambridge Investment Research Advisors, Inc.",microsoft,0.31361009483117297,61509.857885805046
"Cambridge Investment Research Advisors, Inc.",palo_alto,0.8112181811340624,35.707859649004625
"Cambridge Investment Research Advisors, Inc.",salesforce,0.0,100000.0
"Cambridge Investment Research Advisors, Inc.",shopify,0.0,100000.0
Campbell Wealth Management,apple,0.0,100000.0
Campbell Wealth Management,microsoft,0.0,100000.0
Canal Insurance CO,microsoft,0.0,100000.0
"Canton Hathaway, LLC",amazon,0.2829774945967607,230.04301197729168
"Canton Hathaway, LLC",apple,0.2659049422248887,344.896226040576
"Canton Hathaway, LLC",microsoft,0.0,100000.0
"Capital Advisors, Ltd. LLC",amazon,0.0,100000.0
"Capital Advisors, Ltd. LLC",apple,0.41070375464400033,988.4959046625586
"Capital Advisors, Ltd. LLC",microsoft,0.3095805295992291,1162.322468679852
"Centerpoint Advisors, LLC",apple,0.1943798332189962,2221.946860939524
"Centerpoint Advisors, LLC",asml,0.0,100000.0
"Centerpoint Advisors, LLC",meta,0.7419482190640068,45.52935074866948
"Centerpoint Advisors, LLC",microsoft,0.3789192434474733,1162.322468679852
"Centerpoint Advisors, LLC",salesforce,0.13181638876125645,0.6222570836730228
"Centre Asset Management, LLC",amazon,0.648613358676317,130.49019780144016
"Centre Asset Management, LLC",apple,0.6307089294399253,38.72038781812553
"Centre Asset Management, LLC",microsoft,0.7621844633625973,110.97524964120721
"Citadel Investment Advisory, Inc.",apple,0.0,100000.0
"Citadel Investment Advisory, Inc.",meta,0.9458097758529155,0.01
"Citadel Investment Advisory, Inc.",microsoft,0.0,100000.0
"Cito Capital Group, LLC",advanced_micro,0.3623166126043035,141.4991297434576
"Cito Capital Group, LLC",apple,0.0,100000.0
"Cito Capital Group, LLC",microsoft,0.0,100000.0
"Cito Capital Group, LLC",salesforce,0.0,100000.0
"Cladis Investment Advisory, LLC",apple,0.6879941812860473,100000.0
"Cladis Investment Advisory, LLC",microsoft,0.6505164014515015,100000.0
Clare Market Investments LLC,amazon,0.26562805001656997,100000.0
Clare Market Investments LLC,apple,0.4136420129266908,100000.0
Clare Market Investments LLC,microsoft,0.46103805144946297,48241.08704165374
Clare Market Investments LLC,palo_alto,0.3329700401886502,100000.0
Close Asset Management Ltd,apple,0.0,100000.0
Close Asset Management Ltd,meta,0.8969503897222082,53.53566677410724
Close Asset Management Ltd,microsoft,0.8739920677555071,5415.871378079476
Close Asset Management Ltd,nvidia,0.0,100000.0
