REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2021-03-31,Close Asset Management Ltd,16638,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"19,584","16,354","15,494",860,"1,907","1,128",195,"23,254","3,670","2,310",708,628,80,0,533,119,"1,903",761,100,74,174,794,"10,155","8,252","7,478",32,67,619,56,"13,099",0,"13,099","15,790",-10,1,0,"-2,682","23,254","23,254",860,"7,578","-7,916",917,909,107,16,224,4,-359,-249,-151,71,-30,0,"-1,055",-155,-34,-867,1,0,"4,744","4,979",0,0,-98,-137,0,"4,598","10,896","15,494",754,909,-155,"3,080","1,076","2,004","1,028",735,293,0,976,6,31,25,-1,981,64,0,917,107,"1,083",0.037,0.037,"24,560","24,880"
2021-06-30,Close Asset Management Ltd,25290,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"14,681","10,981","3,274","7,707","2,084","1,401",215,"25,180","10,499","2,665","7,047","4,193","2,854",0,630,157,"2,410",893,124,52,222,"1,119","11,266","8,856","7,571",274,120,735,156,"13,914",0,"13,914","16,313",4,1,0,"-2,404","25,180","25,180","7,707","7,695","4,421",622,"1,567",404,-80,374,-9,256,44,54,-8,166,0,"-13,490",-217,"-7,137","-7,426","1,290",0,-297,-8,0,0,-99,-190,0,"-12,220","15,494","3,274","1,350","1,567",-217,"3,866","1,591","2,275","1,624",997,627,0,651,-41,13,54,-1,609,-13,0,622,404,"1,055",0.025,0.025,"24,640","25,040"
2021-09-30,Close Asset Management Ltd,26418,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"14,393","10,139","2,251","7,888","2,546","1,495",213,"26,881","12,488","2,740","7,054","4,193","2,861",106,666,"1,922","3,669","1,097","1,114",70,235,"1,153","11,547","7,878","6,567",258,147,720,186,"15,334",0,"15,334","17,550",12,1,0,"-2,229","26,881","26,881","7,994","7,681","5,430","1,336","1,279",299,-53,383,3,-689,-462,-93,226,-360,0,"-2,001",-473,"-1,353","-4,551","4,376",0,-301,0,0,0,-99,-202,0,"-1,023","3,274","2,251",806,"1,279",-473,"4,726","1,766","2,960","1,562","1,047",515,0,"1,398",-46,7,53,-4,"1,348",12,0,"1,336",299,"1,697",0.054,0.053,"24,720","25,200"
2021-12-31,Close Asset Management Ltd,30768,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"16,055","11,561",847,"10,714","2,429","1,826",239,"28,791","12,736","2,856","6,930","4,193","2,737",144,806,"2,000","3,925","1,149","1,120",61,288,"1,307","11,898","7,973","6,598",241,163,755,216,"16,893",0,"16,893","18,908",19,3,0,"-2,037","28,791","28,791","10,858","7,718","6,871","1,457","2,067",288,-165,416,-18,89,117,-334,74,232,0,"-3,129",-283,0,"-6,498","3,652",0,-342,-3,0,0,-99,-240,0,"-1,404","2,251",847,"1,784","2,067",-283,"5,003","1,847","3,156","1,649","1,146",503,0,"1,507",-46,7,53,9,"1,470",13,0,"1,457",288,"1,795",0.059,0.058,"24,760","25,240"
2022-03-31,Close Asset Management Ltd,30768,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"18,127","12,667",978,"11,689","3,024","1,992",444,"30,796","12,669","2,995","6,806","4,193","2,613",146,778,"1,944","4,004","1,218","1,134",96,333,"1,223","12,022","8,018","6,604",234,173,775,232,"18,774",0,"18,774","20,721",14,1,0,"-1,962","30,796","30,796","11,835","7,738","6,760","1,912","1,874",281,24,429,-136,-636,-595,-159,36,82,0,"-1,272",-298,0,"-4,472","3,498",0,-471,-19,0,0,-99,-353,0,131,847,978,"1,576","1,874",-298,"5,661","2,032","3,629","1,673","1,153",520,0,"1,956",-47,6,53,135,"2,044",132,0,"1,912",281,"2,237",0.077,0.076,"24,840","25,280"
2022-06-30,Close Asset Management Ltd,13154,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"25,806","19,654","5,628","14,026","3,586","2,114",452,"38,650","12,844","3,165","6,671","4,193","2,478",147,958,"1,903","4,448","1,474","1,132",64,301,"1,477","17,503","13,055","11,659",229,189,848,130,"21,147",0,"21,147","22,995",8,3,0,"-1,859","38,650","38,650","14,173","12,791","7,163","2,373","2,682",286,-185,465,19,-276,-562,-123,209,200,0,"-2,533",-183,0,"-4,796","2,446",0,"4,501","5,004",0,0,-99,-404,0,"4,650",978,"5,628","2,499","2,682",-183,"6,507","2,292","4,215","1,771","1,245",526,0,"2,444",-54,6,60,4,"2,394",20,0,"2,374",286,"2,730",0.095,0.094,"24,930","25,320"
2022-09-30,Close Asset Management Ltd,10290,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"25,806","19,298","1,288","18,010","3,954","2,233",321,"40,632","14,826","3,339","6,756","4,302","2,454",308,970,"3,453","3,612","1,664",140,36,298,"1,474","16,834","13,222","11,687",225,191,883,236,"23,798",0,"23,798","25,359",9,3,0,"-1,573","40,632","40,632","18,318","11,827","10,539","2,464","1,519",298,-21,559,-10,"-1,771",-366,-118,140,"-1,427",0,"-4,439",-222,-203,"-6,766","2,752",0,"-1,420","-1,008",0,0,-100,-312,0,"-4,340","5,628","1,288","1,297","1,519",-222,"7,103","2,472","4,631","1,960","1,403",557,0,"2,671",-55,7,62,22,"2,638",174,0,"2,464",298,"2,969",0.099,0.097,"24,990","25,380"
2022-12-31,Close Asset Management Ltd,12357,2022-12-01,109.0,6.5,3.4,55.723,48.0,3.6,3.8748,2022(Q4),"28,829","21,208","1,990","19,218","4,650","2,605",366,"44,187","15,358","3,607","6,688","4,349","2,339",266,"1,222","3,575","4,335","1,783",144,0,300,"2,108","17,575","13,240","11,687",245,202,885,221,"26,612",0,"26,612","16,235",-11,3,0,"10,385","44,187","44,187","19,484","11,831","9,841","3,003","3,033",309,-224,551,74,-680,-692,-374,94,292,0,"-1,586",-273,-60,"-8,777","7,524",0,-745,0,0,0,-101,-644,0,702,"1,288","1,990","2,760","3,033",-273,"7,643","2,644","4,999","2,029","1,466",563,0,"2,970",-52,9,61,-53,"2,865",-138,0,"3,003",309,"3,279",0.12,0.12,"25,040","25,450"
2023-03-31,Close Asset Management Ltd,20401,2023-03-01,104.0,5.0,2.8,-56.174,46.3,3.5,3.4676,2023(Q1),"29,575","20,338","3,887","16,451","5,438","3,163",636,"45,212","15,637","3,772","6,576","4,365","2,211",285,"1,784","3,220","5,562","1,999",0,736,334,"2,493","18,892","13,330","11,699",257,203,752,419,"26,320",0,"26,320","15,758",-64,3,0,"10,623","45,212","45,212","16,736","11,699","7,812","1,618","1,731",334,-542,578,"1,393","-1,650",-788,-560,255,-557,0,"2,612",-361,-36,"-3,967","6,976",0,"-2,446",-22,0,"-1,996",-100,-328,0,"1,897","1,990","3,887","1,370","1,731",-361,"8,288","2,857","5,431","3,563","1,618",592,"1,353","1,868",-50,18,68,-13,"1,805",187,0,"1,618",334,"2,202",0.065,0.064,"25,060","25,370"
2023-06-30,Close Asset Management Ltd,27447,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"27,418","17,037","3,013","14,024","5,317","3,889","1,175","43,476","16,058","4,085","6,408","4,372","2,036",307,"2,225","3,033","7,573","2,421","1,249",158,359,"3,386","19,625","12,052","10,443",252,201,743,413,"23,851",0,"23,851","12,971",-90,2,0,"10,968","43,476","43,476","14,331","11,692","8,679",656,"1,270",378,-443,648,2,29,120,-725,304,330,0,"1,618",-433,-13,"-3,674","5,738",0,"-3,762",0,0,"-3,345",-100,-317,0,-874,"3,887","3,013",837,"1,270",-433,"6,704","3,789","2,915","2,416","1,824",592,0,499,-19,46,65,-5,475,-181,0,656,378,877,0.026,0.026,"24,950","25,160"
