REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-03-31,Doyle Wealth Management,258,2020-03-01,118.8,1.5,5.5,41.967,49.0,3.8,0.6695,2020(Q1),"10,629","7,802","2,772","5,030","1,242","1,426",159,"14,021","3,392","2,009",672,618,54,0,601,110,"1,183",368,80,107,85,543,"4,317","3,134","2,474",21,49,566,24,"9,704",0,"9,704","12,862",-2,1,0,"-3,157","14,021","14,021","5,030","2,554",-218,394,720,91,-42,178,-2,101,182,153,-123,-111,0,"1,495",-128,0,-622,"2,245",0,-225,0,0,0,-97,-128,0,"1,990",782,"2,772",592,720,-128,"2,220",924,"1,296",938,674,264,0,358,31,44,13,0,389,-5,0,394,91,449,0.016,0.016,"24,280","24,640"
2020-06-30,Doyle Wealth Management,378,2020-06-01,98.3,0.6,28.1,50.366,52.6,13.0,0.6561,2020(Q2),"11,391","8,475","7,105","1,370","1,561","1,204",151,"14,775","3,384","2,019",667,618,49,0,588,110,"1,317",437,84,37,127,632,"4,439","3,122","2,472",23,54,567,6,"10,336",0,"10,336","13,317",-1,1,0,"-2,981","14,775","14,775","1,370","2,556","-4,549",553,936,92,15,223,3,50,-319,225,78,66,0,"3,545",-113,0,-841,"4,499",0,-148,0,0,0,-98,-50,0,"4,333","2,772","7,105",823,936,-113,"2,579","1,038","1,541",970,704,266,0,571,34,47,13,1,606,54,0,552,92,663,0.023,0.023,"24,360","24,640"
2020-09-30,Doyle Wealth Management,568,2020-09-01,101.3,1.4,35.2,55.313,55.5,8.8,0.684,2020(Q3),"12,420","9,769","9,765",4,"1,455","1,047",149,"15,810","3,390","2,044",661,618,43,0,569,116,"1,475",591,89,52,119,624,"4,596","3,121","2,459",25,57,558,22,"11,214",0,"11,214","14,118",-3,1,0,"-2,902","15,810","15,810",4,"2,548","-7,217",898,"1,640",92,22,223,4,401,105,153,136,7,0,"1,256",-103,0,-4,"1,363",0,-236,0,0,0,-97,-139,0,"2,660","7,105","9,765","1,537","1,640",-103,"3,014","1,098","1,916",989,712,277,0,927,32,45,13,0,959,60,0,899,92,"1,019",0.037,0.036,"24,400","24,720"
2020-12-31,Doyle Wealth Management,606,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"13,690","10,897","10,896",1,"1,657",979,157,"17,315","3,625","2,292",667,618,49,77,548,41,"1,784",687,91,61,141,804,"5,111","3,327","2,552",29,60,652,34,"12,204",0,"12,204","14,971",1,1,0,"-2,769","17,315","17,315",78,"2,643","-8,253",951,"1,465",106,23,220,0,165,-201,66,103,197,0,-151,-145,0,-8,2,0,-183,0,0,0,-98,-85,0,"1,131","9,765","10,896","1,320","1,465",-145,"3,105","1,090","2,015","1,025",738,287,0,990,28,41,13,-2,"1,016",65,0,951,106,"1,096",0.039,0.038,"24,480","24,840"
2021-03-31,Doyle Wealth Management,632,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"19,584","16,354","15,494",860,"1,907","1,128",195,"23,254","3,670","2,310",708,628,80,0,533,119,"1,903",761,100,74,174,794,"10,155","8,252","7,478",32,67,619,56,"13,099",0,"13,099","15,790",-10,1,0,"-2,682","23,254","23,254",860,"7,578","-7,916",917,909,107,16,224,4,-359,-249,-151,71,-30,0,"-1,055",-155,-34,-867,1,0,"4,744","4,979",0,0,-98,-137,0,"4,598","10,896","15,494",754,909,-155,"3,080","1,076","2,004","1,028",735,293,0,976,6,31,25,-1,981,64,0,917,107,"1,083",0.037,0.037,"24,560","24,880"
2021-06-30,Doyle Wealth Management,1000,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"14,681","10,981","3,274","7,707","2,084","1,401",215,"25,180","10,499","2,665","7,047","4,193","2,854",0,630,157,"2,410",893,124,52,222,"1,119","11,266","8,856","7,571",274,120,735,156,"13,914",0,"13,914","16,313",4,1,0,"-2,404","25,180","25,180","7,707","7,695","4,421",622,"1,567",404,-80,374,-9,256,44,54,-8,166,0,"-13,490",-217,"-7,137","-7,426","1,290",0,-297,-8,0,0,-99,-190,0,"-12,220","15,494","3,274","1,350","1,567",-217,"3,866","1,591","2,275","1,624",997,627,0,651,-41,13,54,-1,609,-13,0,622,404,"1,055",0.025,0.025,"24,640","25,040"
2021-09-30,Doyle Wealth Management,1152,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"14,393","10,139","2,251","7,888","2,546","1,495",213,"26,881","12,488","2,740","7,054","4,193","2,861",106,666,"1,922","3,669","1,097","1,114",70,235,"1,153","11,547","7,878","6,567",258,147,720,186,"15,334",0,"15,334","17,550",12,1,0,"-2,229","26,881","26,881","7,994","7,681","5,430","1,336","1,279",299,-53,383,3,-689,-462,-93,226,-360,0,"-2,001",-473,"-1,353","-4,551","4,376",0,-301,0,0,0,-99,-202,0,"-1,023","3,274","2,251",806,"1,279",-473,"4,726","1,766","2,960","1,562","1,047",515,0,"1,398",-46,7,53,-4,"1,348",12,0,"1,336",299,"1,697",0.054,0.053,"24,720","25,200"
2021-12-31,Doyle Wealth Management,1724,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"16,055","11,561",847,"10,714","2,429","1,826",239,"28,791","12,736","2,856","6,930","4,193","2,737",144,806,"2,000","3,925","1,149","1,120",61,288,"1,307","11,898","7,973","6,598",241,163,755,216,"16,893",0,"16,893","18,908",19,3,0,"-2,037","28,791","28,791","10,858","7,718","6,871","1,457","2,067",288,-165,416,-18,89,117,-334,74,232,0,"-3,129",-283,0,"-6,498","3,652",0,-342,-3,0,0,-99,-240,0,"-1,404","2,251",847,"1,784","2,067",-283,"5,003","1,847","3,156","1,649","1,146",503,0,"1,507",-46,7,53,9,"1,470",13,0,"1,457",288,"1,795",0.059,0.058,"24,760","25,240"
2022-03-31,Doyle Wealth Management,1725,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"18,127","12,667",978,"11,689","3,024","1,992",444,"30,796","12,669","2,995","6,806","4,193","2,613",146,778,"1,944","4,004","1,218","1,134",96,333,"1,223","12,022","8,018","6,604",234,173,775,232,"18,774",0,"18,774","20,721",14,1,0,"-1,962","30,796","30,796","11,835","7,738","6,760","1,912","1,874",281,24,429,-136,-636,-595,-159,36,82,0,"-1,272",-298,0,"-4,472","3,498",0,-471,-19,0,0,-99,-353,0,131,847,978,"1,576","1,874",-298,"5,661","2,032","3,629","1,673","1,153",520,0,"1,956",-47,6,53,135,"2,044",132,0,"1,912",281,"2,237",0.077,0.076,"24,840","25,280"
2022-06-30,Doyle Wealth Management,934,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"25,806","19,654","5,628","14,026","3,586","2,114",452,"38,650","12,844","3,165","6,671","4,193","2,478",147,958,"1,903","4,448","1,474","1,132",64,301,"1,477","17,503","13,055","11,659",229,189,848,130,"21,147",0,"21,147","22,995",8,3,0,"-1,859","38,650","38,650","14,173","12,791","7,163","2,373","2,682",286,-185,465,19,-276,-562,-123,209,200,0,"-2,533",-183,0,"-4,796","2,446",0,"4,501","5,004",0,0,-99,-404,0,"4,650",978,"5,628","2,499","2,682",-183,"6,507","2,292","4,215","1,771","1,245",526,0,"2,444",-54,6,60,4,"2,394",20,0,"2,374",286,"2,730",0.095,0.094,"24,930","25,320"
