REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-12-31,WADE G W & INC,578,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"2,257","2,011","2,011",0,156.9,37.28,51.89,"2,691",433.1,246.6,0,0,0,0,0,186.5,603.8,16.36,29.08,0,399.8,158.5,"1,168",564.1,427.8,0,132,258.9,-254.6,"1,523",0,"1,523","-4,965",-2.75,1.79,0,"6,489","2,691","2,691",0,456.9,"-1,554",-148.3,-18.29,3.56,-1.44,241.8,37.15,-151,4.25,-59.26,-5.31,-90.68,0,-4.95,-4.76,-0.434,-2.93,0.434,2.75,219.1,0,542.9,0,0,219.1,1.94,197.8,"1,930","2,128",-23.05,-18.29,-4.76,322.1,70.5,251.6,408.2,94.13,314,0,-156.6,-1.45,0.368,1.81,2.08,-155.9,-7.59,0,-148.3,3.56,-153,-0.084,-0.083,"1,764","1,792"
2021-03-31,WADE G W & INC,571,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"2,590","2,339","2,339",0,151.4,37.11,61.76,"3,014",424.5,240.7,0,0,0,71.93,0,111.8,667.6,17.23,32.11,0,436.7,181.6,"1,208",540.6,420.6,0,115.8,254.5,-250.3,"1,806",0,"1,806","-5,089",0.865,1.86,0,"6,892","3,014","3,014",71.93,452.7,"-1,887",-123.5,116.9,3.24,1.85,193.7,7.25,36.14,4.48,22.73,0.051,8.87,0,-0.708,-0.708,0,0,0,0,206.4,0,0,0,0,206.4,-2.2,320.3,"2,128","2,448",116.2,116.9,-0.708,341.2,74.11,267.1,381.1,98.47,282.7,0,-114,-1.46,0.376,1.84,-4.89,-120.4,3.1,0,-123.5,3.24,-110.8,-0.068,-0.068,"1,821","1,821"
2021-06-30,WADE G W & INC,647,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"2,663","2,341","2,341",0,243,36.75,41.65,"3,076",413.1,234.1,0,0,0,61.91,0,117.1,682.6,30.91,33.16,0,452.3,166.3,"1,007",324.1,216.6,0,103.2,249.8,-245.6,"2,069",0,"2,069","-5,227",0.065,1.94,0,"7,294","3,076","3,076",61.91,249.8,"-2,091",-138.6,22.75,4.76,-4.01,232.7,7.75,-83.92,-88.36,-26.21,14.54,16.12,0,-0.697,-0.697,0,0,0,0,-31.41,0,376.7,0,0,-31.41,0.701,-8.66,"2,448","2,440",22.05,22.75,-0.697,375.6,90.93,284.7,430.9,110.5,320.3,0,-146.1,-0.218,0.372,0.59,2.12,-144.2,-5.66,0,-138.6,4.76,-141.4,-0.073,-0.073,"1,895","1,895"
2021-09-30,WADE G W & INC,590,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"2,811","2,483","2,335",148.1,174.4,41.32,112.6,"3,224",412.8,249.6,0,0,0,46.79,0,116.4,681.5,17.65,43.58,0,440.8,179.5,976.3,294.8,219.6,0,69.46,263.2,-257.6,"2,248",0,"2,248","-5,330",-1.7,1.99,0,"7,577","3,224","3,224",0,263.2,"-2,072",-102.1,100.8,3.06,1.44,184.8,17.3,-3.7,68.47,-13.74,-13.43,-45,0,-214.6,-5.38,0,-206.3,0,-209.3,99.34,0,98,0,0,99.34,-2.14,-16.64,"2,440","2,423",95.42,100.8,-5.38,392.1,86.8,305.3,397.3,94.32,303,0,-91.94,-0.23,0.379,0.609,-8.53,-100.7,1.44,0,-102.1,3.06,-88.88,-0.052,-0.052,"1,964","1,964"
2021-12-31,WADE G W & INC,447,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"2,863","2,525","2,291",234.2,190.9,36.63,110.9,"3,247",384.2,248.2,0,0,0,39.61,0,96.39,660.1,74.91,39.93,22.55,389.4,133.3,956.4,296.4,220.1,0,73.92,260.1,-257.8,"2,291",0,"2,291","-5,486",-2.35,2.03,0,"7,777","3,247","3,247",0,260.1,"-2,031",-156.2,93.43,3.84,"-1,179",166.9,"1,298",-40.57,-19.82,-17.15,56.61,-60.2,0,-181.9,-5.84,3,-176,0,-3.02,32.47,0,-474.7,0,0,32.47,-0.28,-56.26,"2,423","2,367",87.58,93.43,-5.84,432.9,87.56,345.3,404.2,84.18,320.1,0,-58.94,-0.121,0.48,0.601,-64.12,-123.2,33.01,0,-156.2,3.84,-55.1,-0.078,-0.078,"2,012","2,012"
2022-03-31,WADE G W & INC,337,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"2,927","2,522","2,269",252.6,256.6,0,148.8,"3,319",391.8,266.8,0,0,0,29.22,0,95.83,669.1,27.45,40.05,0,451.4,150.2,954.4,285.3,227.6,0,55.52,267.7,-265.5,"2,365",0,"2,365","-5,587",-4.04,2.05,0,"7,954","3,319","3,319",0,267.7,"-2,002",-101.4,35.48,4.31,-0.003,149.3,70.23,-87.01,-65.87,0,-47.4,26.26,0,-96.47,-15.21,0,-89.5,8.25,-81.25,27.24,0,27.23,0,0,27.24,-0.727,-34.48,"2,367","2,332",20.26,35.48,-15.21,446.4,94.4,352,391.4,88.6,302.8,0,-39.44,-0.047,0.547,0.594,-59.87,-99.36,2.02,0,-101.4,4.31,-35.13,-0.05,-0.05,"2,036","2,036"
2022-06-30,WADE G W & INC,224,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"2,902","2,458","2,358",99.21,265.8,0,179,"3,282",379.9,259.1,0,0,0,28.65,0,92.2,665.7,56.8,40.91,0,380.5,187.6,933.5,267.8,216.1,0,49.55,257,-254.8,"2,349",0,"2,349","-5,766",-6.67,2.06,0,"8,120","3,282","3,282",0,257,"-2,101",-179.3,62.43,4.89,-0.011,145.8,7.63,-55.04,-9.87,0,27.42,-74.48,1.9,5.3,-5.46,0,0,10.76,10.76,20.61,0,20.32,0,0,20.61,-5.61,82.73,"2,332","2,415",56.97,62.43,-5.46,473,102.2,370.8,412.5,88.17,324.4,0,-41.74,0.802,1.47,0.67,-135.8,-176.7,2.59,0,-179.3,4.89,-36.85,-0.087,-0.087,"2,055","2,055"
2022-09-30,WADE G W & INC,200,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"2,947","2,469","2,411",57.34,343.3,0,134.7,"3,319",372.2,257.2,0,0,0,20.9,0,94.14,688.4,59.51,40.23,0,423.9,164.7,932.2,243.9,204.9,0,36.92,245.1,-243.1,"2,387",0,"2,387","-5,890",-9.84,2.08,0,"8,285","3,319","3,319",0,245.1,"-2,166",-123.9,47.07,5.94,-0.017,140.3,75.28,-50.58,-78.85,0,4.82,23.45,0,-27.34,-14.44,12.91,-35,22.09,-12.91,23.99,0,24.57,0,0,23.99,-6.13,37.58,"2,415","2,453",32.63,47.07,-14.44,477.9,107.6,370.3,432.5,100.9,331.6,0,-62.19,4.46,5.54,1.08,-65.05,-122.8,1.1,0,-123.9,4.69,-57.5,-0.06,-0.06,"2,073","2,073"
2023-09-30,WADE G W & INC,325,2023-09-01,104.3,3.7,4.4,-47.662,48.9,3.7,4.5711,2023(Q3),"3,809","3,284","1,040","2,243",430.3,0,95.55,"4,193",384,240.3,0,0,0,18.44,0,125.3,688.9,9.47,52.2,36.48,452.5,138.3,921.5,232.6,184.1,0,37.11,236.3,-224.9,"3,272",81.88,"3,190","-5,743",-7.21,2.17,0,"8,938","4,193","4,193","2,243",236.3,-804,73.44,133.4,8.66,0.732,114.4,1.89,-65.66,-46.09,-18.96,6.67,-7.28,0,-196.3,-1.56,194.7,"-1,855","1,660",-194.7,50.94,0,50.56,0,0,50.94,-0.258,-12.14,"1,074","1,062",131.9,133.4,-1.56,558.2,107.9,450.2,410.3,105.7,304.5,0,39.98,36.12,36.86,0.742,3.86,79.97,6.53,1.93,71.5,8.66,48.65,0.033,0.031,"2,163","2,326"
2023-12-31,WADE G W & INC,349,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"4,139","3,675",831.4,"2,843",364.8,0,99.28,"4,522",383.8,230.6,0,0,0,18.69,0,134.5,746,12.12,54.18,47.26,456.7,175.7,961.5,215.4,175.2,0,28.05,229.4,-217.2,"3,561",85.4,"3,476","-5,650",0.801,2.2,0,"9,122","4,522","4,522","2,862",229.4,-602,93.39,301.2,7.97,-4.81,132.6,-10.8,82.8,53.59,0,0.555,28.66,0,-569.2,-4.86,564.4,-844.7,280.4,-564.4,51.23,0,51.41,0,0,51.23,5.04,-211.8,"1,043",850.1,296.3,301.2,-4.86,608.4,108.6,499.7,433.9,109.3,324.6,0,65.79,44.41,44.55,0.136,-3.96,106.2,9.33,3.52,93.39,7.97,73.77,0.043,0.04,"2,187","2,358"
