REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-03-31,AZZAD ASSET MANAGEMENT INC /ADV,956258,2020-03-01,118.8,1.5,5.5,41.967,49.0,3.8,0.6695,2020(Q1),"3,650","2,861","1,264","1,598",499.2,0,289.4,"6,825","3,175",599,"1,684","1,400",284.1,467.6,0,423.9,"2,052",74.7,61.8,0,"1,659",256.2,"5,308","3,257","1,817",0,"1,357",433.4,-350.8,"1,516",0,"1,516",-960.5,-0.6,"2,478",0,0,"6,825","6,825","2,065","1,817",553.4,-59.6,225.2,54.4,-3.2,149.9,71.1,12.6,83.9,-84.4,-2.5,15.6,0,244.5,-47.2,-66.4,-274.3,632.4,358.1,-167.1,0,0,-198.1,0,31,0,302.6,965,"1,268",178,225.2,-47.2,771.9,217.7,554.2,606,170.5,435.5,0,-51.8,-3.1,15.8,18.9,0.4,-54.5,5.1,0,-59.6,54.4,2.6,-0.105,-0.105,579.6,579.6
2020-06-30,AZZAD ASSET MANAGEMENT INC /ADV,1339130,2020-06-01,98.3,0.6,28.1,50.366,52.6,13.0,0.6561,2020(Q2),"3,978","3,134","2,000","1,134",540.3,0,304,"7,184","3,206",581.4,"1,802","1,512",290,317.9,0,504.9,"2,240",55.4,0,0,"1,758",426.4,"5,576","3,336","1,815",0,"1,441",353.5,-272.9,"1,608",0,"1,608","-1,034",-1.8,"2,644",0,0,"7,184","7,184","1,452","1,815",-185.3,-73.7,306.9,59.1,-1.4,168.5,67.9,86.5,-40.8,-88.9,-14.8,231,0,436.4,-49.1,-129.3,-9,623.8,614.8,-6.1,0,0,-6.7,0,-6.1,0,737.2,"1,268","2,005",257.8,306.9,-49.1,816.7,233.1,583.6,636.5,185.4,451.1,0,-52.9,-5.1,13.9,19,-3.1,-61.1,12.6,0,-73.7,59.1,6.2,-0.125,-0.125,589.8,589.8
2020-09-30,AZZAD ASSET MANAGEMENT INC /ADV,1426846,2020-09-01,101.3,1.4,35.2,55.313,55.5,8.8,0.684,2020(Q3),"3,014","2,039","1,485",554.1,668.8,0,306.4,"6,502","3,488",621,"2,194","1,813",380.6,151.2,0,522.1,"2,336",52.3,57.3,0,"1,855",371.5,"5,757","3,421","1,822",0,"1,516",401.9,-318.1,744.7,0,744.7,"-1,109",-2,"1,856",0,0,"6,502","6,502",705.3,"1,822",336.9,-74.8,169.9,66.3,-1.6,165.8,76.3,-62.1,-110.3,-81.8,-5.5,135.5,0,274.7,-86.3,-387.8,-12.2,761,748.8,-959.3,0,0,"-1,000",0,40.7,0,-514.7,"2,005","1,490",83.6,169.9,-86.3,869.4,258.3,611.1,667.6,196.3,471.3,0,-56.5,-11.1,8.3,19.4,-0.2,-67.8,7,0,-74.8,66.3,9.8,-0.13,-0.13,580.2,580.2
2020-12-31,AZZAD ASSET MANAGEMENT INC /ADV,2130036,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"5,129","3,748","2,958",789.8,"1,037",0,344.3,"9,065","3,936",606.8,"2,171","1,813",358.2,554.4,0,603.9,"2,692",63.6,0,0,"2,049",579,"7,964","5,272","3,421",0,"1,761",336.6,-246.5,"1,102",0,"1,102","-1,168",10.5,"2,259",0,0,"9,065","9,065","1,344","3,421",462.7,-58.9,333.7,73.7,0,174.2,109.9,34.8,-368.4,-193.7,10,586.9,0,-667.6,-31.8,208.2,-885.3,249.5,-208.2,"1,806","1,979",0,-5.9,0,-173.6,0,"1,472","1,490","2,962",301.9,333.7,-31.8,950.4,290.4,660,677.8,215.9,461.9,0,-17.8,-28,3.4,31.4,-2.6,-48.4,10.5,0,-58.9,73.7,55.9,-0.1,-0.1,576,576
2021-03-31,AZZAD ASSET MANAGEMENT INC /ADV,1930754,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"4,301","3,218","2,142","1,076",675.5,0,407.8,"8,726","4,426",589.1,"2,357","1,969",388.8,873.2,0,605.9,"2,635",48.5,0,0,"2,138",449.1,"7,980","5,344","3,443",0,"1,809",323.9,-231.9,747,0,747,"-1,260",3.2,"2,004",0,0,"8,726","8,726","1,949","3,443","1,301",-92.2,534.9,68,2.7,205.8,100.9,249.7,382.3,-116.9,-17.7,2,0,-886.2,-29.6,-225.1,-829.7,198.2,-631.5,-464.5,0,0,-500,0,35.5,0,-815.8,"2,962","2,146",505.3,534.9,-29.6,946,277.8,668.2,712.7,237.4,475.3,0,-44.5,-37.3,2.9,40.2,-0.5,-82.3,9.9,0,-92.2,68,23.5,-0.16,-0.16,573,573
2022-06-30,AZZAD ASSET MANAGEMENT INC /ADV,1371636,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"4,869","3,340","1,923","1,418",952.2,0,576.1,"10,400","5,532",601.5,"3,175","2,731",443.9,851,472.1,432.1,"7,406",120.4,"3,674",0,"2,958",653.9,"10,283","2,876",282.4,0,"2,491",282.4,-179.5,117.8,0,117.8,"-1,597",-30.2,"1,745",0,0,"10,400","10,400","2,269","3,956","2,034",-93.5,482.6,82.1,3.7,265.1,87.9,137.3,-140.1,-27.4,22.2,282.6,0,-274.3,-80.7,0,-616.2,422.6,-193.6,-558.5,0,0,-550,0,-8.5,0,-350.2,"2,278","1,928",401.9,482.6,-80.7,"1,317",405.3,911.6,985.5,359,626.5,0,-73.9,-6.7,0.1,6.8,-0.2,-80.8,12.7,0,-93.5,82.1,8.2,-0.16,-0.16,584.4,589
2022-09-30,AZZAD ASSET MANAGEMENT INC /ADV,1371572,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"5,698","3,875","2,420","1,455","1,241",0,582.4,"11,100","5,402",595.5,"3,143","2,731",412.1,714.7,0,948.8,"7,677",108,"3,676",0,"3,153",740.6,"10,762","3,085",275.7,0,"2,706",275.7,-172.7,337.6,0,337.6,"-1,670",-58.3,"2,066",0,0,"11,100","11,100","2,169","3,951","1,532",-73.2,389.5,83.8,0,247.3,94.1,37.5,-288.4,0,-8.2,334.1,0,42.9,-38.3,-81.2,-241.1,322.3,81.2,66.3,0,77.5,-11.2,0,66.3,0,498.7,"1,928","2,426",351.2,389.5,-38.3,"1,387",440.5,946.2,993.8,355.4,638.4,0,-47.6,-4.2,2.6,6.8,-0.7,-52.5,20.7,0,-73.2,83.8,36.2,-0.125,-0.125,593.4,593.4
2024-03-31,AZZAD ASSET MANAGEMENT INC /ADV,2225540,2024-03-01,103.1,3.5,1.6,-42.173,49.8,3.8,4.2003,2024(Q1),"6,478","3,894","2,491","1,402","1,859",328.7,396.2,"14,808","8,331",626.9,"3,217","2,927",290.5,"2,989","1,155",342.6,"7,513",131.8,"1,947",0,"4,732",702.9,"12,638","5,125",275.8,0,"4,711",275.8,-137.8,"2,170",0,"2,170","-1,033",-93,"3,297",0,0,"14,808","14,808","4,391","2,222",-268.9,194.2,"1,526",64.3,-387.6,271,491.8,892.3,"1,050",-23.7,-0.4,-133.8,0,-129,-36.8,36.8,-854.7,762.5,-36.8,-41.8,-46,0,-66.7,0,70.9,170.8,"1,355","1,142","2,497","1,489","1,526",-36.8,"1,878",472.8,"1,405","1,190",409.5,780.6,0,215.2,68.3,68.3,0,-0.9,282.6,88.4,0,194.2,64.3,279.5,0.315,0.28,620.2,699.6
2024-06-30,AZZAD ASSET MANAGEMENT INC /ADV,2674810,2024-06-01,97.8,3.0,3,-35.946,48.3,4.0,4.3961,2024(Q2),"6,119","3,371","1,782","1,588","2,342",0,405.9,"18,292","12,173",708.1,"3,813","3,373",440.1,"4,260","2,234","1,159","7,766",178.8,"1,822",0,"4,918",846.8,"13,935","6,169",362.7,588.5,"4,900",362.7,-44.9,"4,357",0,"4,357",713.7,-6.5,"3,650",0,0,"18,292","18,292","5,848","2,184",402,"1,747",690,68.6,163.1,272,"-1,747",186.3,-482.2,226.1,47.7,394.7,0,"-1,326",-35.2,-610.6,"-1,157",477,-679.7,-72.6,-126.3,57.5,-3.8,0,-3.8,-6.8,-714.9,"2,497","1,782",654.8,690,-35.2,"1,975",499.1,"1,476","1,246",447.9,797.7,0,230.4,82.5,82.5,0,-177.4,135.5,"-1,611",0,"1,747",68.6,299,2.73,2.44,639.2,715
2024-09-30,AZZAD ASSET MANAGEMENT INC /ADV,2684892,2024-09-01,99.2,2.4,3.1,13.779,47.5,4.2,3.7809,2024(Q3),"5,582","2,899","1,382","1,517","2,288",0,395.5,"17,931","12,349",720,"3,780","3,373",407.6,"4,387","2,292","1,170","7,085",108.9,"1,162",0,"5,015",798.5,"13,463","6,378",369.8,503,"5,153",369.8,-17.1,"4,468",0,"4,468",992.5,-55.4,"3,531",0,0,"17,931","17,931","5,904","1,532",150.4,278.8,528.9,74.3,-127,263.5,778.5,-70.8,-188.5,0,-67.8,185.5,0,113.1,-37.4,0,-475.1,625.6,150.5,"-1,049",-661.8,0,-500,0,228.2,0,-406.9,"1,789","1,382",491.5,528.9,-37.4,"1,985",513.6,"1,471","1,291",457.2,833.6,0,180.4,76,76,0,-5.2,251.2,-27.6,0,278.8,74.3,254.7,0.43,0.395,645.8,709.2
