REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-03-31,BREWIN DOLPHIN LTD,77881,2020-03-01,118.8,1.5,5.5,41.967,49.0,3.8,0.6695,2020(Q1),"3,650","2,861","1,264","1,598",499.2,0,289.4,"6,825","3,175",599,"1,684","1,400",284.1,467.6,0,423.9,"2,052",74.7,61.8,0,"1,659",256.2,"5,308","3,257","1,817",0,"1,357",433.4,-350.8,"1,516",0,"1,516",-960.5,-0.6,"2,478",0,0,"6,825","6,825","2,065","1,817",553.4,-59.6,225.2,54.4,-3.2,149.9,71.1,12.6,83.9,-84.4,-2.5,15.6,0,244.5,-47.2,-66.4,-274.3,632.4,358.1,-167.1,0,0,-198.1,0,31,0,302.6,965,"1,268",178,225.2,-47.2,771.9,217.7,554.2,606,170.5,435.5,0,-51.8,-3.1,15.8,18.9,0.4,-54.5,5.1,0,-59.6,54.4,2.6,-0.105,-0.105,579.6,579.6
2020-06-30,BREWIN DOLPHIN LTD,109093,2020-06-01,98.3,0.6,28.1,50.366,52.6,13.0,0.6561,2020(Q2),"3,978","3,134","2,000","1,134",540.3,0,304,"7,184","3,206",581.4,"1,802","1,512",290,317.9,0,504.9,"2,240",55.4,0,0,"1,758",426.4,"5,576","3,336","1,815",0,"1,441",353.5,-272.9,"1,608",0,"1,608","-1,034",-1.8,"2,644",0,0,"7,184","7,184","1,452","1,815",-185.3,-73.7,306.9,59.1,-1.4,168.5,67.9,86.5,-40.8,-88.9,-14.8,231,0,436.4,-49.1,-129.3,-9,623.8,614.8,-6.1,0,0,-6.7,0,-6.1,0,737.2,"1,268","2,005",257.8,306.9,-49.1,816.7,233.1,583.6,636.5,185.4,451.1,0,-52.9,-5.1,13.9,19,-3.1,-61.1,12.6,0,-73.7,59.1,6.2,-0.125,-0.125,589.8,589.8
2020-09-30,BREWIN DOLPHIN LTD,116256,2020-09-01,101.3,1.4,35.2,55.313,55.5,8.8,0.684,2020(Q3),"3,014","2,039","1,485",554.1,668.8,0,306.4,"6,502","3,488",621,"2,194","1,813",380.6,151.2,0,522.1,"2,336",52.3,57.3,0,"1,855",371.5,"5,757","3,421","1,822",0,"1,516",401.9,-318.1,744.7,0,744.7,"-1,109",-2,"1,856",0,0,"6,502","6,502",705.3,"1,822",336.9,-74.8,169.9,66.3,-1.6,165.8,76.3,-62.1,-110.3,-81.8,-5.5,135.5,0,274.7,-86.3,-387.8,-12.2,761,748.8,-959.3,0,0,"-1,000",0,40.7,0,-514.7,"2,005","1,490",83.6,169.9,-86.3,869.4,258.3,611.1,667.6,196.3,471.3,0,-56.5,-11.1,8.3,19.4,-0.2,-67.8,7,0,-74.8,66.3,9.8,-0.13,-0.13,580.2,580.2
2020-12-31,BREWIN DOLPHIN LTD,158149,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"5,129","3,748","2,958",789.8,"1,037",0,344.3,"9,065","3,936",606.8,"2,171","1,813",358.2,554.4,0,603.9,"2,692",63.6,0,0,"2,049",579,"7,964","5,272","3,421",0,"1,761",336.6,-246.5,"1,102",0,"1,102","-1,168",10.5,"2,259",0,0,"9,065","9,065","1,344","3,421",462.7,-58.9,333.7,73.7,0,174.2,109.9,34.8,-368.4,-193.7,10,586.9,0,-667.6,-31.8,208.2,-885.3,249.5,-208.2,"1,806","1,979",0,-5.9,0,-173.6,0,"1,472","1,490","2,962",301.9,333.7,-31.8,950.4,290.4,660,677.8,215.9,461.9,0,-17.8,-28,3.4,31.4,-2.6,-48.4,10.5,0,-58.9,73.7,55.9,-0.1,-0.1,576,576
2021-03-31,BREWIN DOLPHIN LTD,143317,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"4,301","3,218","2,142","1,076",675.5,0,407.8,"8,726","4,426",589.1,"2,357","1,969",388.8,873.2,0,605.9,"2,635",48.5,0,0,"2,138",449.1,"7,980","5,344","3,443",0,"1,809",323.9,-231.9,747,0,747,"-1,260",3.2,"2,004",0,0,"8,726","8,726","1,949","3,443","1,301",-92.2,534.9,68,2.7,205.8,100.9,249.7,382.3,-116.9,-17.7,2,0,-886.2,-29.6,-225.1,-829.7,198.2,-631.5,-464.5,0,0,-500,0,35.5,0,-815.8,"2,962","2,146",505.3,534.9,-29.6,946,277.8,668.2,712.7,237.4,475.3,0,-44.5,-37.3,2.9,40.2,-0.5,-82.3,9.9,0,-92.2,68,23.5,-0.16,-0.16,573,573
2021-06-30,BREWIN DOLPHIN LTD,165117,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"4,276","3,171","2,113","1,058",669.2,0,435.4,"9,488","5,213",582.8,"3,125","2,584",541.1,857.1,0,648.1,"4,376",44.7,"1,526",0,"2,290",516.3,"8,290","3,914","1,947",0,"1,873",317.9,-224,"1,198",0,"1,198","-1,402",9.9,"2,430",0,0,"9,488","9,488","1,915","3,473","1,359",-142.3,364.5,75.6,3.2,225.6,104.1,98.3,16.4,-180.6,-5.9,268.4,0,-384.4,-32.1,-405.4,-282.8,335.9,53.1,-5.4,0,0,-5.7,0,-5.4,0,-25.3,"2,146","2,121",332.4,364.5,-32.1,"1,017",307.6,709.3,798.1,266.7,531.4,0,-88.8,-38.4,2.3,40.7,-2.8,-130,12.3,0,-142.3,75.6,-13.2,-0.245,-0.245,575.4,575.4
2021-09-30,BREWIN DOLPHIN LTD,213155,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"4,141","2,945","1,886","1,059",766.8,0,428.7,"9,562","5,421",581.4,"3,243","2,713",530.3,885.4,0,711,"3,007",71.8,0,0,"2,421",514.3,"8,565","5,558","3,508",0,"1,954",317.7,-222.2,997.2,0,997.2,"-1,548",3.6,"2,541",0,0,"9,562","9,562","1,945","3,508","1,622",-145.1,277.8,80.6,3.3,233.1,109.8,-3.9,-97.4,-137.5,27,204,0,-207.6,-26.9,-146.8,-381.6,347.7,-33.9,-298.5,0,0,-350,0,51.5,0,-228.3,"2,121","1,892",250.9,277.8,-26.9,"1,074",330.6,743.3,853.7,311,542.7,0,-110.4,-39.2,1.8,41,-0.8,-150.4,-5.3,0,-145.1,154.5,44.1,-0.25,-0.25,581.4,581.4
2021-12-31,BREWIN DOLPHIN LTD,321,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"4,647","2,901","1,874","1,027","1,240",0,505.8,"10,242","5,594",581.3,"3,209","2,710",498.6,888.3,494.6,421.4,"5,117",56.9,"1,558",0,"2,742",760,"9,478","4,361","1,982",0,"2,282",313.4,-215.7,763.6,0,763.6,"-1,667",-9.9,"2,311",0,0,"10,242","10,242","1,915","3,539","1,665",-119.3,325.8,80.7,3.9,230,126,4.5,-473.7,107.4,-15.2,386,0,-2.4,-27.4,-0.1,-464.8,489.8,0.1,-335.6,0,0,-328.1,0,-7.5,0,-12.2,"1,892","1,880",298.4,325.8,-27.4,"1,219",358.9,860.4,920.8,325.3,595.5,0,-60.4,-39.9,1.5,41.4,-2,-102.3,17,0,-119.3,80.7,20.3,-0.205,-0.205,583.2,583.2
2022-03-31,BREWIN DOLPHIN LTD,349,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"4,839","3,461","2,273","1,188",812.1,0,565.6,"10,426","5,587",576.1,"3,204","2,732",471.3,898.8,476.1,432.7,"7,144",95.3,"3,672",0,"2,802",575.4,"9,908","2,763",299.5,0,"2,357",299.5,-192.5,518.9,0,518.9,"-1,504",-11.3,"2,034",0,0,"10,426","10,426","2,087","3,972","1,699",-103.6,588.9,81.7,3.6,259.1,87.7,260.4,428.4,-96.2,37.6,-109.4,0,-229.9,-34.6,-17.4,-439.1,261.2,-177.9,38.7,0,58.7,-20,0,38.7,0,397.7,"1,880","2,278",554.3,588.9,-34.6,"1,247",380.6,866.8,949.5,339.5,610,0,-82.7,-5.5,0,5.5,-3,-91.2,12.4,0,-103.6,81.7,-1,-0.175,-0.175,585.6,585.8
2022-06-30,BREWIN DOLPHIN LTD,277,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"4,869","3,340","1,923","1,418",952.2,0,576.1,"10,400","5,532",601.5,"3,175","2,731",443.9,851,472.1,432.1,"7,406",120.4,"3,674",0,"2,958",653.9,"10,283","2,876",282.4,0,"2,491",282.4,-179.5,117.8,0,117.8,"-1,597",-30.2,"1,745",0,0,"10,400","10,400","2,269","3,956","2,034",-93.5,482.6,82.1,3.7,265.1,87.9,137.3,-140.1,-27.4,22.2,282.6,0,-274.3,-80.7,0,-616.2,422.6,-193.6,-558.5,0,0,-550,0,-8.5,0,-350.2,"2,278","1,928",401.9,482.6,-80.7,"1,317",405.3,911.6,985.5,359,626.5,0,-73.9,-6.7,0.1,6.8,-0.2,-80.8,12.7,0,-93.5,82.1,8.2,-0.16,-0.16,584.4,589
