REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-12-31,Liontrust Investment Partners LLP,109993205,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"5,129","3,748","2,958",789.8,"1,037",0,344.3,"9,065","3,936",606.8,"2,171","1,813",358.2,554.4,0,603.9,"2,692",63.6,0,0,"2,049",579,"7,964","5,272","3,421",0,"1,761",336.6,-246.5,"1,102",0,"1,102","-1,168",10.5,"2,259",0,0,"9,065","9,065","1,344","3,421",462.7,-58.9,333.7,73.7,0,174.2,109.9,34.8,-368.4,-193.7,10,586.9,0,-667.6,-31.8,208.2,-885.3,249.5,-208.2,"1,806","1,979",0,-5.9,0,-173.6,0,"1,472","1,490","2,962",301.9,333.7,-31.8,950.4,290.4,660,677.8,215.9,461.9,0,-17.8,-28,3.4,31.4,-2.6,-48.4,10.5,0,-58.9,73.7,55.9,-0.1,-0.1,576,576
2021-09-30,Liontrust Investment Partners LLP,176463600,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"4,141","2,945","1,886","1,059",766.8,0,428.7,"9,562","5,421",581.4,"3,243","2,713",530.3,885.4,0,711,"3,007",71.8,0,0,"2,421",514.3,"8,565","5,558","3,508",0,"1,954",317.7,-222.2,997.2,0,997.2,"-1,548",3.6,"2,541",0,0,"9,562","9,562","1,945","3,508","1,622",-145.1,277.8,80.6,3.3,233.1,109.8,-3.9,-97.4,-137.5,27,204,0,-207.6,-26.9,-146.8,-381.6,347.7,-33.9,-298.5,0,0,-350,0,51.5,0,-228.3,"2,121","1,892",250.9,277.8,-26.9,"1,074",330.6,743.3,853.7,311,542.7,0,-110.4,-39.2,1.8,41,-0.8,-150.4,-5.3,0,-145.1,154.5,44.1,-0.25,-0.25,581.4,581.4
2021-12-31,Liontrust Investment Partners LLP,221701832,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"4,647","2,901","1,874","1,027","1,240",0,505.8,"10,242","5,594",581.3,"3,209","2,710",498.6,888.3,494.6,421.4,"5,117",56.9,"1,558",0,"2,742",760,"9,478","4,361","1,982",0,"2,282",313.4,-215.7,763.6,0,763.6,"-1,667",-9.9,"2,311",0,0,"10,242","10,242","1,915","3,539","1,665",-119.3,325.8,80.7,3.9,230,126,4.5,-473.7,107.4,-15.2,386,0,-2.4,-27.4,-0.1,-464.8,489.8,0.1,-335.6,0,0,-328.1,0,-7.5,0,-12.2,"1,892","1,880",298.4,325.8,-27.4,"1,219",358.9,860.4,920.8,325.3,595.5,0,-60.4,-39.9,1.5,41.4,-2,-102.3,17,0,-119.3,80.7,20.3,-0.205,-0.205,583.2,583.2
2022-03-31,Liontrust Investment Partners LLP,250809279,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"4,839","3,461","2,273","1,188",812.1,0,565.6,"10,426","5,587",576.1,"3,204","2,732",471.3,898.8,476.1,432.7,"7,144",95.3,"3,672",0,"2,802",575.4,"9,908","2,763",299.5,0,"2,357",299.5,-192.5,518.9,0,518.9,"-1,504",-11.3,"2,034",0,0,"10,426","10,426","2,087","3,972","1,699",-103.6,588.9,81.7,3.6,259.1,87.7,260.4,428.4,-96.2,37.6,-109.4,0,-229.9,-34.6,-17.4,-439.1,261.2,-177.9,38.7,0,58.7,-20,0,38.7,0,397.7,"1,880","2,278",554.3,588.9,-34.6,"1,247",380.6,866.8,949.5,339.5,610,0,-82.7,-5.5,0,5.5,-3,-91.2,12.4,0,-103.6,81.7,-1,-0.175,-0.175,585.6,585.8
2022-06-30,Liontrust Investment Partners LLP,191895690,2022-06-01,98.4,9.1,0.3,5.145,53.5,3.6,3.0129,2022(Q2),"4,869","3,340","1,923","1,418",952.2,0,576.1,"10,400","5,532",601.5,"3,175","2,731",443.9,851,472.1,432.1,"7,406",120.4,"3,674",0,"2,958",653.9,"10,283","2,876",282.4,0,"2,491",282.4,-179.5,117.8,0,117.8,"-1,597",-30.2,"1,745",0,0,"10,400","10,400","2,269","3,956","2,034",-93.5,482.6,82.1,3.7,265.1,87.9,137.3,-140.1,-27.4,22.2,282.6,0,-274.3,-80.7,0,-616.2,422.6,-193.6,-558.5,0,0,-550,0,-8.5,0,-350.2,"2,278","1,928",401.9,482.6,-80.7,"1,317",405.3,911.6,985.5,359,626.5,0,-73.9,-6.7,0.1,6.8,-0.2,-80.8,12.7,0,-93.5,82.1,8.2,-0.16,-0.16,584.4,589
2022-09-30,Liontrust Investment Partners LLP,181282772,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"5,698","3,875","2,420","1,455","1,241",0,582.4,"11,100","5,402",595.5,"3,143","2,731",412.1,714.7,0,948.8,"7,677",108,"3,676",0,"3,153",740.6,"10,762","3,085",275.7,0,"2,706",275.7,-172.7,337.6,0,337.6,"-1,670",-58.3,"2,066",0,0,"11,100","11,100","2,169","3,951","1,532",-73.2,389.5,83.8,0,247.3,94.1,37.5,-288.4,0,-8.2,334.1,0,42.9,-38.3,-81.2,-241.1,322.3,81.2,66.3,0,77.5,-11.2,0,66.3,0,498.7,"1,928","2,426",351.2,389.5,-38.3,"1,387",440.5,946.2,993.8,355.4,638.4,0,-47.6,-4.2,2.6,6.8,-0.7,-52.5,20.7,0,-73.2,83.8,36.2,-0.125,-0.125,593.4,593.4
2022-12-31,Liontrust Investment Partners LLP,115427488,2022-12-01,109.0,6.5,3.4,55.723,48.0,3.6,3.8748,2022(Q4),"6,415","3,634","2,118","1,516","2,142",0,637.9,"12,254","5,839",599.8,"3,132","2,748",384.5,"1,052",0,"1,055","8,306",128,"3,677",0,"3,641",860.3,"12,044","3,737",276.1,0,"3,353",276.1,-167.7,210,0,210,"-1,667",-55.6,"1,933",0,0,"12,254","12,254","2,568","3,953","1,834",3.3,523.7,35,0,239.6,160.2,85.6,-901.9,0,17.7,969.8,0,-472.1,-39.2,-19.6,-975.3,562,-413.3,-353.1,0,0,-342.3,0,-10.8,0,-301.5,"2,426","2,125",484.5,523.7,-39.2,"1,550",492.3,"1,058","1,069",363.8,679,26.2,-10.8,-6.9,0,6.9,35,17.3,14,0,3.3,89.4,78.6,0.005,0.005,672.6,672.6
2023-03-31,Liontrust Investment Partners LLP,143772852,2023-03-01,104.0,5.0,2.8,-56.174,46.3,3.5,3.4676,2023(Q1),"5,734","3,804","2,067","1,736","1,238",381.1,310.6,"12,544","6,810",614.1,"3,103","2,748",355.5,"2,095",0,998.4,"8,195",125.9,"3,679",0,"3,741",649.3,"12,036","3,841",283.1,0,"3,438",283.1,-163.8,508,0,508,"-1,647",-111.1,"2,266",0,0,"12,544","12,544","3,831","3,679","1,611",20,"1,237",70.7,0,266,112.6,767.4,892,0,-1,-123.6,0,"-1,320",-39.6,0,"-2,113",832.6,"-1,280",31.1,0,0,-22.7,0,53.8,0,-52,"2,125","2,073","1,197","1,237",-39.6,"1,563",461.9,"1,102","1,086",371.8,714.5,0,15.2,24.4,29.4,5,-5.2,34.4,14.4,0,20,70.7,85.9,0.035,0.03,599.6,676.8
2023-06-30,Liontrust Investment Partners LLP,177861278,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"5,406","3,347","1,346","2,001","1,278",313.4,467.4,"13,163","7,758",595.8,"3,274","2,912",361.7,"2,821",0,"1,067","8,475",128.3,"3,680",0,"3,942",724,"12,434","3,959",274.2,0,"3,612",274.2,-200.6,729,0,729,"-1,563",-11.1,"2,303",0,0,"13,163","13,163","4,821","3,954","2,608",84.2,694.6,69.9,0,283.3,97.2,160,-39.8,0,1.7,198.1,0,"-1,164",-38.3,-185.6,"-1,606",665.9,-940.6,-250.8,0,0,-250,0,-0.8,0,-720.7,"2,073","1,352",656.3,694.6,-38.3,"1,655",466.2,"1,189","1,168",404.1,744.9,18.5,21.4,49.7,56.6,6.9,13.3,84.4,0.2,0,84.2,82.4,103.8,0.14,0.125,604.6,663.2
2023-09-30,Liontrust Investment Partners LLP,102405711,2023-09-01,104.3,3.7,4.4,-47.662,48.9,3.7,4.5711,2023(Q3),"6,414","3,958","1,993","1,965","1,444",317.3,694.5,"14,170","7,757",590,"3,267","2,927",340.6,"2,710",0,"1,190","8,641",91.6,"3,682",0,"4,147",720.8,"12,938","4,297",264.5,0,"3,943",264.5,-175,"1,232",0,"1,232","-1,455",-20.7,"2,708",0,0,"14,170","14,170","4,675","3,947","1,954",107.8,432.1,72.3,2.8,271,95.2,-114.2,-165.3,0,-37,88.1,0,87.9,-31.2,-18.9,-742.1,880.1,138,128.2,0,130.3,-2.1,0,128.2,0,648.2,"1,352","2,000",400.9,432.1,-31.2,"1,721",474.8,"1,246","1,063",413.7,753.7,-104.6,183.3,58.1,65.9,7.8,-110.4,131,23.2,0,107.8,84.4,267.7,0.175,0.155,607.8,689.4
2023-12-31,Liontrust Investment Partners LLP,93595797,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"6,048","2,390","1,135","1,255","2,852",339.2,466.8,"14,501","8,453",617.8,"3,242","2,927",315.4,"3,048","1,200",344.8,"7,738",132.3,"1,992",0,"4,675",939.1,"12,753","5,015",279.2,28.1,"4,622",279.2,-193.1,"1,748",0,"1,748","-1,227",-43.2,"3,019",0,0,"14,501","14,501","4,303","2,271","1,135",227.7,414.1,69.3,-4.6,254.2,117.4,-249.9,"-1,020",-496.6,37.3,"1,229",0,362.6,-37.2,-39.6,-999,"1,399",39.6,"-1,635","-1,692",0,-2.9,0,60.1,0,-858.1,"2,000","1,142",376.9,414.1,-37.2,"1,953",506.8,"1,446","1,193",414.4,778.6,0,253.5,66.8,72.5,5.7,-3.8,316.5,88.8,0,227.7,82.5,336,0.37,0.32,613.8,709
2024-03-31,Liontrust Investment Partners LLP,78973649,2024-03-01,103.1,3.5,1.6,-42.173,49.8,3.8,4.2003,2024(Q1),"6,478","3,894","2,491","1,402","1,859",328.7,396.2,"14,808","8,331",626.9,"3,217","2,927",290.5,"2,989","1,155",342.6,"7,513",131.8,"1,947",0,"4,732",702.9,"12,638","5,125",275.8,0,"4,711",275.8,-137.8,"2,170",0,"2,170","-1,033",-93,"3,297",0,0,"14,808","14,808","4,391","2,222",-268.9,194.2,"1,526",64.3,-387.6,271,491.8,892.3,"1,050",-23.7,-0.4,-133.8,0,-129,-36.8,36.8,-854.7,762.5,-36.8,-41.8,-46,0,-66.7,0,70.9,170.8,"1,355","1,142","2,497","1,489","1,526",-36.8,"1,878",472.8,"1,405","1,190",409.5,780.6,0,215.2,68.3,68.3,0,-0.9,282.6,88.4,0,194.2,64.3,279.5,0.315,0.28,620.2,699.6
2024-06-30,Liontrust Investment Partners LLP,77583117,2024-06-01,97.8,3.0,3,-35.946,48.3,4.0,4.3961,2024(Q2),"6,119","3,371","1,782","1,588","2,342",0,405.9,"18,292","12,173",708.1,"3,813","3,373",440.1,"4,260","2,234","1,159","7,766",178.8,"1,822",0,"4,918",846.8,"13,935","6,169",362.7,588.5,"4,900",362.7,-44.9,"4,357",0,"4,357",713.7,-6.5,"3,650",0,0,"18,292","18,292","5,848","2,184",402,"1,747",690,68.6,163.1,272,"-1,747",186.3,-482.2,226.1,47.7,394.7,0,"-1,326",-35.2,-610.6,"-1,157",477,-679.7,-72.6,-126.3,57.5,-3.8,0,-3.8,-6.8,-714.9,"2,497","1,782",654.8,690,-35.2,"1,975",499.1,"1,476","1,246",447.9,797.7,0,230.4,82.5,82.5,0,-177.4,135.5,"-1,611",0,"1,747",68.6,299,2.73,2.44,639.2,715
2024-09-30,Liontrust Investment Partners LLP,77583117,2024-09-01,99.2,2.4,3.1,13.779,47.5,4.2,3.7809,2024(Q3),"5,582","2,899","1,382","1,517","2,288",0,395.5,"17,931","12,349",720,"3,780","3,373",407.6,"4,387","2,292","1,170","7,085",108.9,"1,162",0,"5,015",798.5,"13,463","6,378",369.8,503,"5,153",369.8,-17.1,"4,468",0,"4,468",992.5,-55.4,"3,531",0,0,"17,931","17,931","5,904","1,532",150.4,278.8,528.9,74.3,-127,263.5,778.5,-70.8,-188.5,0,-67.8,185.5,0,113.1,-37.4,0,-475.1,625.6,150.5,"-1,049",-661.8,0,-500,0,228.2,0,-406.9,"1,789","1,382",491.5,528.9,-37.4,"1,985",513.6,"1,471","1,291",457.2,833.6,0,180.4,76,76,0,-5.2,251.2,-27.6,0,278.8,74.3,254.7,0.43,0.395,645.8,709.2
