REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-12-31,Financial Network Wealth Management LLC,211,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"15,963","7,947","4,145","3,802","6,174",0,"1,842","55,126","39,163","5,415","29,858","25,134","4,724","1,963",579,"1,348","14,845","3,433",750,0,"10,662",0,"21,241","6,396","5,118",0,0,"3,195","-1,917","33,885",0,"33,885","1,861",-93,1,0,"32,116","55,126","55,126","5,765","5,868","1,723",-248,"1,632",633,-31,511,229,538,"-3,599",968,-48,"3,217",0,"-1,465",-136,-30,"-2,114",815,"-1,299",125,-165,0,0,0,290,-15,277,"3,868","4,145","1,496","1,632",-136,"4,851","1,220","3,631","3,667",831,"2,836",0,-36,0,0,0,32,-4,244,0,-248,633,597,-0.28,-0.28,889,889
2021-03-31,Financial Network Wealth Management LLC,222,2021-03-01,114.9,2.6,5.6,157.624,63.8,6.2,1.7404,2021(Q1),"14,713","9,802","5,772","4,030","3,076",0,"1,835","53,623","38,910","5,501","30,336","25,266","5,070","1,902",0,"1,171","12,843","2,989",742,0,"9,112",0,"19,058","6,215","5,095",0,0,"3,164","-2,044","34,565",0,"34,565","1,960",-135,1,0,"32,739","53,623","53,623","5,932","5,837",65,99,"1,859",658,-192,504,247,543,"3,094","-1,118",147,"-1,580",0,-437,-323,-103,"-1,176","1,165",-11,209,-49,0,0,0,258,-4,"1,627","4,145","5,772","1,536","1,859",-323,"4,865","1,254","3,611","3,751",859,"2,892",0,-140,0,0,0,187,47,-52,0,99,658,518,0.11,0.11,896,913
2021-06-30,Financial Network Wealth Management LLC,256,2021-06-01,128.9,5.4,6.4,121.743,61.3,5.9,1.468,2021(Q2),"14,846","9,283","4,052","5,231","3,445",0,"2,118","57,780","42,934","5,513","30,977","26,301","4,676","2,555","2,580","1,309","12,963",0,767,0,"8,711","3,485","19,340","6,377","5,080",0,0,"3,174","-1,877","38,440",0,"38,440","4,585",-68,1,0,"33,922","57,780","57,780","7,786","5,847","1,795","2,625",429,649,"-2,003",578,-432,-988,-349,-412,693,-920,0,"-2,593",-114,"-1,154","-1,913",588,"-1,325",441,-25,0,0,0,466,3,"-1,720","5,772","4,052",315,429,-114,"5,151","1,311","3,840","3,662",898,"2,764",0,178,0,0,0,661,839,"-1,786",0,"2,625",649,827,2.9,2.85,904,922
2021-09-30,Financial Network Wealth Management LLC,284,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"14,946","9,492","3,724","5,768","3,316",0,"2,138","59,136","44,190","5,526","30,711","26,313","4,398","3,927","2,564","1,462","12,234","3,505",765,0,"7,923",41,"18,826","6,592","5,075",0,0,"3,168","-1,651","40,310",0,"40,310","5,666",-84,1,0,"34,727","59,136","59,136","9,695","5,840","2,116","1,081",339,670,"-1,036",566,271,"-1,213",128,-124,68,"-1,285",0,"-1,035",-124,-24,"-1,821",934,-887,368,-13,0,0,0,381,0,-328,"4,052","3,724",215,339,-124,"5,419","1,394","4,025","3,801",902,"2,899",0,224,0,0,0,"1,026","1,250",169,0,"1,081",670,894,1.19,1.15,911,939
2021-12-31,Financial Network Wealth Management LLC,279,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"21,889","11,966","6,195","5,771","7,786",0,"2,137","66,301","44,412","5,663","30,432","26,318","4,114","3,909","2,693","1,715","17,728","4,355",766,0,"12,607",0,"24,808","7,080","5,515",0,0,"3,608","-2,043","41,493",0,"41,493","5,933",-42,1,0,"35,601","66,301","66,301","9,680","6,281",86,267,"2,174",869,-260,542,290,466,"-4,429",-213,"1,096","4,012",0,94,-149,149,-992,"1,235",-149,176,-20,0,0,0,196,27,"2,471","3,724","6,195","2,025","2,174",-149,"5,817","1,479","4,338","4,145",939,"3,206",0,193,0,0,0,232,425,158,0,267,869,"1,062",0.29,0.28,916,939
2022-03-31,Financial Network Wealth Management LLC,233,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"20,444","15,023","8,544","6,479","3,174",0,"2,247","64,885","44,441","5,555","30,565","26,640","3,925","3,944","2,641","1,736","15,323","3,439",726,0,"11,158",0,"22,318","6,995","5,406",0,0,"3,460","-1,871","42,567",0,"42,567","6,402",-68,1,0,"36,232","64,885","64,885","10,423","6,132","-2,412",469,"3,228",685,-288,564,314,"1,484","4,616",-233,"-1,093","-1,806",0,"-1,047",-171,-425,"-2,086","1,635",-451,165,-50,225,0,0,215,3,"2,349","6,195","8,544","3,057","3,228",-171,"5,963","1,555","4,408","4,054",951,"3,103",0,354,0,0,0,250,604,135,0,469,685,"1,039",0.51,0.5,921,940
2023-12-31,Financial Network Wealth Management LLC,214,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"26,395","12,508","7,016","5,492","10,755",0,"3,132","98,849","72,454","6,592","55,693","48,568","7,125","4,672","2,800","2,697","25,891",0,"1,772",0,"17,376","6,743","40,490","14,599","12,316",0,0,"3,487","-1,204","58,359",0,"58,359","7,585",-274,1,0,"51,047","98,849","98,849","10,164","14,088","7,072",-98,"2,788","1,032",0,809,757,288,"-6,481",0,"1,733","5,036",0,312,-218,798,-720,"1,250",-798,"-2,221",-71,0,"-2,323",0,173,61,940,"6,076","7,016","2,570","2,788",-218,"8,384","2,100","6,284","5,927","1,128","3,971",828,357,0,0,0,-324,33,131,0,-98,"1,032","1,389",-0.1,-0.1,984,984
2024-06-30,Financial Network Wealth Management LLC,209,2024-06-01,97.8,3.0,3,-35.946,48.3,4.0,4.3961,2024(Q2),"21,138","12,397","6,772","5,625","5,400",0,"3,341","92,447","71,309","6,451","54,748","48,566","6,182","4,778","2,980","2,352","20,805",0,"1,509",0,"14,237","5,059","34,365","13,560","11,291",0,0,"3,377","-1,108","58,082",0,"58,082","9,051",-258,1,0,"49,288","92,447","92,447","10,403","12,800","6,028","1,267",808,890,29,724,476,"-2,578",-768,-219,-376,"-1,215",0,"-1,152",-180,972,"-1,980","1,008",-972,"-2,050",-463,0,"-1,949",0,362,11,"-2,383","9,155","6,772",628,808,-180,"8,603","2,113","6,490","5,014","1,220","3,745",49,"1,476",0,0,0,16,"1,492",225,0,"1,267",890,"2,366",1.3,1.28,975,986
2024-09-30,Financial Network Wealth Management LLC,223,2024-09-01,99.2,2.4,3.1,13.779,47.5,4.2,3.7809,2024(Q3),"20,202","11,863","6,453","5,410","4,850",0,"3,489","91,022","70,820","6,325","54,351","48,614","5,737","4,774",0,"5,370","19,394",0,"1,522",0,"12,564","5,308","32,932","13,538","11,190",0,0,"3,287",-939,"58,090",0,"58,090","10,275",-331,1,0,"48,145","91,022","91,022","10,184","12,712","6,259","1,224","1,532",862,-722,693,"1,276","-1,801",550,-546,172,"-1,977",0,-54,-166,-82,-764,958,194,"-1,765",-114,0,"-1,925",0,274,-32,-319,"6,772","6,453","1,366","1,532",-166,"8,720","2,155","6,565","5,064","1,204","3,805",55,"1,501",0,0,0,-14,"1,487",263,0,"1,224",862,"2,363",1.26,1.25,972,981
2024-12-31,Financial Network Wealth Management LLC,272,2024-12-01,109.5,2.9,2.4,32.529,49.2,4.2,4.569,2024(Q4),"29,074","14,194","8,472","5,722","11,414",0,"3,466","99,823","70,749","6,055","53,898","48,620","5,278","4,848","3,433","2,515","26,631",0,"1,517",0,"19,003","6,111","40,177","13,546","11,071",0,0,"3,162",-687,"59,646",0,"59,646","11,721",-225,1,0,"48,149","99,823","99,823","10,570","12,588","4,116","1,446","3,403","1,450","5,435",674,"-5,400",-202,"-6,564",765,"1,129","5,233",-765,-468,-147,321,"-1,040",719,-321,-946,-123,0,"-1,692",0,869,30,"1,661","5,474","7,135","3,256","3,403",-147,"9,287","2,148","7,139","5,517","1,275","4,069",173,"1,622",0,0,0,23,"1,645",199,0,"1,446",953,"2,575",1.49,1.47,970,983
