REPORTCALENDARORQUARTER,FILINGMANAGER_NAME,VALUE,YearMonth,Consumer_Confidence,CPI,GDP,USYC2Y10,PMI,Unemployment,US10YRBond,QuarterLabel,Total Current Assets,Cash and Short Term Investments,Cash & Equivalents,Short Term Investments,Receivables,Inventory_x,Other Current Assets,Total Assets,Total Non-Current Assets,"Property, Plant and Equipment",Goodwill and Intangible Assets,Goodwill,Intangible Assets,Long Term Investments,Deferred Tax Assets,Other Long Term Assets,Total Current Liabilities,Accounts Payable_x,Notes Payable/Short Term Debt,Tax Payables,Deferred Revenue_x,Other Current Liabilities,Total Liabilities,Total Non-Current Liabilities,Total Long Term Debt,Deferred Tax Liabilities Non-Current,Deferred Revenue Non-Current,Capital Lease Obligations,Other Long Term Liabilities,Total Equity,Non-Controlling Interest,Total Stockholders' Equity,Retained Earnings,Accumulated Other Earnings,Common Stock,Preferred Stock,Additional Paid in Capital,Total Liabilities & Total Equity,Total Liabilities & Shareholders' Equity,Total Investments,Total Debt,Net Debt,Net Income/Starting Line,Cash From Operating Activities,Depreciation and Amortization_x,Deferred Income Tax,Stock Based Compensation,Other Non-Cash Items,Changes in Working Capital,Accounts Receivable,Inventory_y,Accounts Payable_y,Deferred Revenue_y,Other Working Capital,Cash From Investing Activities,Investments in Property Plant and Equipment,Payments for Acquisitions,Purchases of Securities,Sales and Maturities of Investments,Other Investing Activities,Cash From Financing Activities,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activities,Effect of Forex Changes on Cash,Net Change in Cash,Cash at Beginning of Period,Cash at End of Period,Free Cash Flow,Operating Cash Flow,Capital Expenditure,Revenue,Cost of Revenue,Gross Profit, Operating Expenses ,Research & Development,"Selling, General and Administrative",Other Operating Expenses,Operating Income,Net Non-Operating Interest,Interest Income,Interest Expense,Equity & Other Income/(Expense),Income Before Tax,Income Tax Expense,Income Attributable to Non-Controlling Interest,Net Income,Depreciation and Amortization_y,EBITDA,Earnings Per Share (EPS),Diluted Earnings Per Share,Weighted Average Shares Outstanding,Diluted Weighted Average Shares Outstanding
2020-09-30,VAUGHAN DAVID INVESTMENTS LLC/IL,233,2020-09-01,101.3,1.4,35.2,55.313,55.5,8.8,0.684,2020(Q3),"21,744","14,531","14,531",0,"1,757","4,218","1,238","45,691","23,950","21,993",521,203,318,0,0,"1,436","13,302","4,958","3,425",635,"1,258","3,026","28,191","14,889","11,738",0,"1,233","2,921","-1,003","17,500","1,469","16,031","-5,669",125,1,0,"21,574","45,691","45,691",640,"15,163",632,300,"2,400",584,0,543,338,635,-314,-67,898,118,0,"-1,039","-1,021",-13,0,0,-5,"4,450",-581,"4,973",0,0,58,86,"5,897","9,106","15,003","1,374","2,400","-1,026","8,771","6,708","2,063","1,254",366,888,0,809,-157,6,163,-97,555,186,69,300,584,"1,393",0.11,0.09,"2,811","3,315"
2020-12-31,VAUGHAN DAVID INVESTMENTS LLC/IL,206,2020-12-01,87.1,1.4,4.4,79.014,60.2,6.7,0.9132,2020(Q4),"26,717","19,384","19,384",0,"1,886","4,101","1,346","52,148","25,434","23,378",520,207,313,0,0,"1,536","14,248","6,051","2,418",777,"2,210","2,792","28,469","14,221","10,861",151,"1,284","3,008","-1,083","23,679","1,454","22,225","-5,399",0,1,0,"27,623","52,148","52,148",613,"13,279","-6,105",296,"3,019",618,0,633,414,"1,058",-102,180,"1,337",-357,0,"-1,047","-1,164",0,0,0,117,"2,692","-2,305","4,987",0,0,10,234,"4,898","15,003","19,901","1,850","3,019","-1,169","10,744","8,678","2,066","1,491",522,969,0,575,-240,6,246,44,379,83,57,239,618,"1,193",0.084,0.071,"2,853","3,372"
2021-09-30,VAUGHAN DAVID INVESTMENTS LLC/IL,227,2021-09-01,109.8,5.4,3.5,120.787,60.8,5.1,1.4873,2021(Q3),"25,002","16,095","16,065",30,"1,962","5,199","1,746","57,834","32,832","29,248",470,201,269,"1,260",0,"1,854","18,051","8,260","2,059","1,084","2,632","4,016","29,340","11,289","8,067",40,"1,365","3,480","-1,663","28,494","1,441","27,053","-1,990",120,1,0,"28,922","57,834","57,834","1,290","10,126","-5,939","1,618","3,147",761,0,475,294,-1,135,-488,"1,172",-820,0,"-1,855","-1,825",0,-30,0,0,"-1,381","-1,526",192,0,0,-47,-42,-131,"16,825","16,694","1,322","3,147","-1,825","13,757","10,097","3,660","1,656",611,994,51,"2,004",-116,10,126,-6,"1,882",223,41,"1,618",761,"2,765",0.54,0.48,"2,994","3,369"
2021-12-31,VAUGHAN DAVID INVESTMENTS LLC/IL,283,2021-12-01,115.2,7.0,7.4,77.396,58.3,4.2,1.5101,2021(Q4),"27,100","17,707","17,576",131,"1,913","5,757","1,723","62,131","35,027","31,172","1,717",200,"1,517",0,0,"2,138","19,705","10,025","1,957","1,122","2,372","4,229","30,548","10,843","6,916",24,"2,052","3,531","-1,680","31,583","1,394","30,189",329,0,1,0,"29,859","62,131","62,131",131,"8,873","-8,703","2,343","4,585",848,0,558,499,337,18,-534,"1,814",-961,0,"-1,916","-1,814",0,-102,0,0,"-1,257","-1,456",262,0,0,199,38,"1,450","16,694","18,144","2,771","4,585","-1,814","17,719","12,872","4,847","2,234",740,"1,494",0,"2,613",-46,25,71,68,"2,635",292,22,"2,321",848,"3,461",0.77,0.54,"3,045","4,305"
2022-03-31,VAUGHAN DAVID INVESTMENTS LLC/IL,289,2022-03-01,107.6,8.5,-1,-0.061,57.2,3.8,2.338,2022(Q1),"29,050","18,013","17,505",508,"2,311","6,691","2,035","66,038","36,986","32,639","1,715",200,"1,515",0,0,"2,632","21,455","11,171","2,058","1,272","2,719","4,235","30,632","9,177","4,967",24,"2,185","3,604","-1,603","35,406","1,321","34,085","3,649",-50,1,0,"30,485","66,038","66,038",508,"7,025","-10,480","3,280","3,995",880,0,418,19,-602,-409,-633,997,-557,0,"-2,167","-1,772",0,-386,0,-9,"-1,914","-2,068",0,0,0,-48,-18,-104,"18,144","18,040","2,214","3,995","-1,781","18,756","13,296","5,460","1,857",865,992,0,"3,603",-33,28,61,56,"3,626",346,-38,"3,318",880,"4,483",1.07,0.96,"3,103","3,472"
2022-09-30,VAUGHAN DAVID INVESTMENTS LLC/IL,224,2022-09-01,107.8,8.2,2.7,45.425,51.1,3.5,3.8286,2022(Q3),"35,990","21,107","19,532","1,575","2,192","10,327","2,364","74,426","38,442","34,569",637,191,446,0,0,"3,236","24,611","13,897","1,883","1,114","3,011","4,706","33,302","8,691","3,991",20,"2,265","3,477","-1,062","41,124","1,273","39,851","9,198",-942,3,0,"31,592","74,426","74,426","1,575","5,874","-13,658","3,292","5,100",956,0,362,259,231,-193,"-2,300","3,253",-529,0,"-2,791","-1,803",0,-991,3,0,-712,-899,229,0,0,187,-335,"1,262","18,887","20,149","3,297","5,100","-1,803","21,454","16,072","5,382","1,694",733,961,0,"3,688",33,86,53,-85,"3,636",305,39,"3,292",956,"4,644",1.05,0.95,"3,146","3,468"
2023-06-30,VAUGHAN DAVID INVESTMENTS LLC/IL,221,2023-06-01,110.1,3.0,2.4,-106.297,46.3,3.6,3.8367,2023(Q2),"43,875","23,075","15,296","7,779","3,447","14,356","2,997","90,591","46,721","41,046",649,263,386,0,0,"5,026","27,592","15,273","2,008","1,244","3,202","5,865","38,409","10,817","3,803",0,"3,021","4,292",-299,"52,182","1,052","51,130","18,101",-410,3,0,"33,436","90,591","90,591","7,779","5,811","-9,485","2,614","3,065","1,154",-148,445,48,"-1,048",0,0,0,"-1,048",0,"-3,534","-2,060",-79,"-5,075",0,"3,680",-328,-357,0,0,0,29,-94,-891,"16,534","15,879","1,005","3,065","-2,060","24,927","20,394","4,533","2,134",943,"1,191",0,"2,399",210,238,28,328,"2,937",323,-89,"2,703","1,154","3,553",0.85,0.78,"3,171","3,478"
2023-09-30,VAUGHAN DAVID INVESTMENTS LLC/IL,262,2023-09-01,104.3,3.7,4.4,-47.662,48.9,3.7,4.5711,2023(Q3),"45,026","26,077","15,932","10,145","2,520","13,721","2,708","93,941","48,916","42,794",625,250,375,0,0,"5,497","26,640","13,937","2,580","1,095","3,100","5,928","39,446","12,806","5,607",0,"3,059","4,483",-343,"54,495","1,029","53,466","19,954",-692,3,0,"34,201","93,941","93,941","10,145","8,187","-7,745","1,851","3,308","1,235",0,465,59,-302,881,163,-2,"-1,344",0,"-4,762","-2,459",12,"-6,131","3,816",0,"2,263","2,064","2,780",0,0,199,-98,711,"15,879","16,590",849,"3,308","-2,459","23,350","19,172","4,178","2,414","1,161","1,253",0,"1,764",244,282,38,37,"2,045",167,25,"1,853","1,235","2,999",0.58,0.53,"3,176","3,493"
2023-12-31,VAUGHAN DAVID INVESTMENTS LLC/IL,210,2023-12-01,108.0,3.4,3.2,-37.288,46.9,3.8,3.8791,2023(Q4),"49,616","29,094","16,398","12,696","3,508","13,626","3,388","106,618","57,002","45,123",615,253,362,0,"6,733","4,531","28,748","14,431","3,045","1,204","3,740","6,328","43,009","14,261","6,528",0,"3,251","4,916",-434,"63,609",975,"62,634","27,882",-143,3,0,"34,892","106,618","106,618","12,696","9,573","-6,825","7,943","4,370","1,232",-279,484,"-5,808",798,-963,758,0,"1,003",0,"-4,804","-2,307",-37,"-5,891","3,394",37,887,817,"-2,374",0,0,70,146,599,"16,590","17,189","2,063","4,370","-2,307","25,167","20,729","4,438","2,374","1,094","1,280",0,"2,064",272,333,61,-145,"2,191","-5,752",13,"7,930","1,232","3,296",2.49,2.27,"3,181","3,492"
2024-12-31,VAUGHAN DAVID INVESTMENTS LLC/IL,274,2024-12-01,109.5,2.9,2.4,32.529,49.2,4.2,4.569,2024(Q4),"58,360","36,563","16,139","20,424","4,418","12,017","5,362","122,070","63,716","51,507","1,470",244,"1,226",0,"6,524","4,215","28,821","12,474","3,263","1,367","4,161","7,556","48,390","19,569","10,360",0,"3,317","5,745",147,"73,680",767,"72,913","35,209",-670,3,0,"38,371","122,070","122,070","20,424","13,623","-2,516","2,332","4,814","1,496",59,579,-682,"1,030","-1,227","2,044",0,213,0,"-7,603","-2,780",0,"-15,158","10,335",0,985,577,0,0,0,408,-133,"-1,937","18,974","17,037","2,034","4,814","-2,780","25,707","21,528","4,179","2,596","1,276","1,313",7,"1,583",346,442,96,837,"2,766",434,-24,"2,356","1,496","3,079",0.72,0.66,"3,213","3,517"
