,advanced_micro,microsoft,apple,palo_alto,salesforce,amazon,meta
ABNER HERRMAN & BROCK LLC,0.405453272484114,0.5945467275158859,0.0,0.0,0.0,0.0,0.0
ADELL HARRIMAN & CARPENTER INC,0.0,0.2872410872019441,0.5163279841898104,0.1315067680333238,0.06492416057492156,0.0,0.0
AM INVESTMENT STRATEGIES LLC,0.0,0.0,0.5919947879767602,0.0,0.0,0.40800521202323975,0.0
AMICA MUTUAL INSURANCE CO,0.0,0.6404887712628934,0.35951122873710656,0.0,0.0,0.0,0.0
APPLETON PARTNERS INC/MA,0.0,0.43179768569522503,0.568202314304775,0.0,0.0,0.0,0.0
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AZZAD ASSET MANAGEMENT INC /ADV,0.0,0.4287031711043937,0.5712968288956062,0.0,0.0,0.0,0.0
"AllGen Financial Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0
Amica Retiree Medical Trust,0.0,0.41323354301441445,0.34758700698840983,0.0,0.0,0.23917944999717577,0.0
"Anchor Investment Management, LLC",0.0,0.5971025687453821,0.4028974312546178,0.0,0.0,0.0,0.0
"Annandale Capital, LLC",0.0,0.5287520947612696,0.47124790523873034,0.0,0.0,0.0,0.0
Ashburton (Jersey) Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Aspen Investment Management Inc,0.0,0.6703190709518114,0.3296809290481886,0.0,0.0,0.0,0.0
"Aurora Investment Managers, LLC.",0.0,0.3680864472396163,0.6319135527603836,0.0,0.0,0.0,0.0
"Aurora Private Wealth, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
Avalon Global Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0,0.5074027403491751,0.49259725965082485,0.0,0.0,0.0,0.0
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,0.6246146178092346,0.0,0.0,0.0,0.37538538219076534,0.0
BOSTON FAMILY OFFICE LLC,0.0,0.4360501079055164,0.41092261431334043,0.0,0.15302727778114325,0.0,0.0
BOSTON RESEARCH & MANAGEMENT INC,0.0,0.631232862800853,0.36876713719914694,0.0,0.0,0.0,0.0
Baldrige Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Banco de Sabadell, S.A",0.0,1.0,0.0,0.0,0.0,0.0,0.0
Banque Cantonale Vaudoise,0.0,0.6614705304395713,0.33852946956042873,0.0,0.0,0.0,0.0
Bartlett & Co. LLC,0.0,0.6038403564658922,0.39615964353410776,0.0,0.0,0.0,0.0
Baskin Financial Services Inc.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Beaton Management Co. Inc.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Border to Coast Pensions Partnership Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Bull Street Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Bulltick Wealth Management, LLC",0.0,0.6654581064509562,0.33454189354904385,0.0,0.0,0.0,0.0
CI INVESTMENTS INC.,0.0,0.6336392806975442,0.0,0.0,0.0,0.3663607193024559,0.0
CLARET ASSET MANAGEMENT Corp,0.0,1.0,0.0,0.0,0.0,0.0,0.0
COLONY GROUP LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
