,advanced_micro,microsoft,amazon,apple,palo_alto,salesforce,meta,google
ABNER HERRMAN & BROCK LLC,0.5460630717064454,0.45393692829355464,0.0,0.0,0.0,0.0,0.0,0.0
ADELL HARRIMAN & CARPENTER INC,0.0,0.27533258067636024,0.13750203445001716,0.42993955140252177,0.157225833471101,0.0,0.0,0.0
AM INVESTMENT STRATEGIES LLC,0.0,0.0,0.35905359150951355,0.6409464084904865,0.0,0.0,0.0,0.0
AMICA MUTUAL INSURANCE CO,0.0,0.5859002749933404,0.0,0.41409972500665965,0.0,0.0,0.0,0.0
APPLETON PARTNERS INC/MA,0.0,0.2796311858416369,0.17872554212473407,0.541643272033629,0.0,0.0,0.0,0.0
AR ASSET MANAGEMENT INC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AZZAD ASSET MANAGEMENT INC /ADV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"AlphaMark Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Amica Retiree Medical Trust,0.0,0.4098614049903152,0.21346467484076956,0.3766739201689153,0.0,0.0,0.0,0.0
"Anchor Investment Management, LLC",0.0,0.6009721536635755,0.0,0.3990278463364245,0.0,0.0,0.0,0.0
Ashburton (Jersey) Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aspen Investment Management Inc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aurora Investment Managers, LLC.",0.0,0.4425567983537732,0.0,0.5574432016462267,0.0,0.0,0.0,0.0
"Aurora Private Wealth, Inc.",0.0,0.0,0.206901251872143,0.7930987481278571,0.0,0.0,0.0,0.0
Avalon Global Asset Management LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0,0.47157660731085493,0.0,0.5284233926891451,0.0,0.0,0.0,0.0
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,0.6370946106361715,0.36290538936382843,0.0,0.0,0.0,0.0,0.0
BOSTON FAMILY OFFICE LLC,0.0,0.2711265654324315,0.1842631627932578,0.4384648622291738,0.0,0.10614540954513685,0.0,0.0
BOSTON RESEARCH & MANAGEMENT INC,0.0,0.65238945035556,0.0,0.34761054964444,0.0,0.0,0.0,0.0
"BROWN, LISLE/CUMMINGS, INC.",0.0,0.3671439583937121,0.21553668671659587,0.41731935488969196,0.0,0.0,0.0,0.0
"Banco de Sabadell, S.A",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Banque Cantonale Vaudoise,0.0,0.3651320820219095,0.20975510200520592,0.42511281597288464,0.0,0.0,0.0,0.0
Bartlett & Co. LLC,0.0,0.47159700512920655,0.0,0.5284029948707936,0.0,0.0,0.0,0.0
Baskin Financial Services Inc.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Beaton Management Co. Inc.,0.0,0.4849825420848552,0.3097069210008314,0.0,0.0,0.0,0.20531053691431347,0.0
"Bensler, LLC",0.0,0.549244964911532,0.0,0.4507550350884679,0.0,0.0,0.0,0.0
Biechele Royce Advisors,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Border to Coast Pensions Partnership Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bull Street Advisors, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CI INVESTMENTS INC.,0.0,0.6433048685514701,0.3566951314485299,0.0,0.0,0.0,0.0,0.0
CLARET ASSET MANAGEMENT Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLONY GROUP LLC,0.0,0.5233882403512509,0.0,0.47661175964874913,0.0,0.0,0.0,0.0
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.0,0.2442888322824553,0.7557111677175447,0.0,0.0,0.0,0.0
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.0,0.3344271352932369,0.665572864706763,0.0,0.0,0.0,0.0
"CSM Advisors, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Cambridge Investment Research Advisors, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Canal Insurance CO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Centerpoint Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Centre Asset Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cito Capital Group, LLC",0.0,0.12315055529000765,0.0,0.8768494447099924,0.0,0.0,0.0,0.0
Clare Market Investments LLC,0.0,0.2589664694647939,0.2849109110343012,0.456122619500905,0.0,0.0,0.0,0.0
Close Asset Management Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Colorado Capital Management, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Community Bank & Trust, Waco, Texas",0.0,0.237311743636111,0.10747813413071232,0.6552101222331767,0.0,0.0,0.0,0.0
Cordatus Wealth Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crossmark Global Holdings, Inc.",0.0,0.6341153114634671,0.36588468853653283,0.0,0.0,0.0,0.0,0.0
E. Ohman J:or Asset Management AB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
EVERENCE CAPITAL MANAGEMENT INC,0.0,0.727825768685968,0.27217423131403196,0.0,0.0,0.0,0.0,0.0
"Eagle Capital Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Endurance Wealth Management, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erste Asset Management GmbH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Estabrook Capital Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FRONT BARNETT ASSOCIATES LLC,0.0,0.0,0.5771687168160244,0.0,0.0,0.42283128318397556,0.0,0.0
Farmers & Merchants Trust Co of Chambersburg PA,0.0,0.48962450199600466,0.1706430293802778,0.3397324686237175,0.0,0.0,0.0,0.0
"Financial Connections Group, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"First Fiduciary Investment Counsel, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Frisch Financial Group, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GFI Investment Counsel Ltd.,0.0,0.4940589086607395,0.0,0.5059410913392605,0.0,0.0,0.0,0.0
GROESBECK INVESTMENT MANAGEMENT CORP /NJ/,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gifford Fong Associates,0.07480939930255247,0.2576427890536357,0.23373058571374336,0.43381722593006844,0.0,0.0,0.0,0.0
"Glen Eagle Advisors, LLC",0.0,0.47573273175375513,0.1776704456708172,0.34659682257542773,0.0,0.0,0.0,0.0
"Global Financial Private Client, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Grassi Investment Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenwich Wealth Management LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gulf International Bank (UK) Ltd,0.0490952591158981,0.642032647043151,0.30887209384095093,0.0,0.0,0.0,0.0,0.0
HALL LAURIE J TRUSTEE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HENDLEY & CO INC,0.0,0.47963506216660823,0.0,0.5203649378333918,0.0,0.0,0.0,0.0
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.25624206920260395,0.09920598749063032,0.3551958848715103,0.19881224378447576,0.09054381465077967,0.0,0.0
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Handelsbanken Fonder AB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayek Kallen Investment Management,0.0,0.43689835399399934,0.0,0.5631016460060005,0.0,0.0,0.0,0.0
Hemington Wealth Management,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Hudson Canyon Capital Management,0.0,0.49586188560833117,0.0,0.5041381143916689,0.0,0.0,0.0,0.0
"Independent Solutions Wealth Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Intermede Investment Partners Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Iyo Bank, Ltd.",0.0,0.436409867456838,0.17756678607165657,0.20897150592956043,0.0,0.17705184054194506,0.0,0.0
JACOBS & CO/CA,0.0,0.298769106428965,0.1875574747570719,0.5136734188139632,0.0,0.0,0.0,0.0
Janney Montgomery Scott LLC,0.0,0.0,0.2147765026881539,0.785223497311846,0.0,0.0,0.0,0.0
"Jarislowsky, Fraser Ltd",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
King Wealth,0.0,0.5471896487957181,0.0,0.45281035120428204,0.0,0.0,0.0,0.0
LATHROP INVESTMENT MANAGEMENT CORP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0,0.3543738606636959,0.11762478026228704,0.528001359074017,0.0,0.0,0.0,0.0
LVM CAPITAL MANAGEMENT LTD/MI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakehouse Capital Pty Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Legacy Wealth Management, LLC / MS",0.0,0.45252156985196895,0.0,0.4095732214148859,0.13790520873314516,0.0,0.0,0.0
Lesa Sroufe & Co,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lester Murray Antman dba SimplyRich,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
