,advanced_micro,amazon,apple,palo_alto,microsoft,salesforce,meta
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ADELL HARRIMAN & CARPENTER INC,0.0,0.2136022941485453,0.5612026711415071,0.22519503470994753,0.0,0.0,0.0
AM INVESTMENT STRATEGIES LLC,0.0,0.38264587302493613,0.617354126975064,0.0,0.0,0.0,0.0
AMICA MUTUAL INSURANCE CO,0.0,0.0,1.0,0.0,0.0,0.0,0.0
APPLETON PARTNERS INC/MA,0.0,0.26644578184032425,0.7335542181596758,0.0,0.0,0.0,0.0
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,0.2623135932410066,0.0,0.0,0.7376864067589933,0.0,0.0
AZZAD ASSET MANAGEMENT INC /ADV,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ardevora Asset Management LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashburton (Jersey) Ltd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aurora Investment Managers, LLC.",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Aurora Private Wealth, Inc.",0.0,0.21996929066470905,0.7800307093352908,0.0,0.0,0.0,0.0
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0,0.0,0.5029731675360196,0.0,0.4970268324639804,0.0,0.0
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,0.37818612834694876,0.0,0.0,0.6218138716530512,0.0,0.0
BOSTON FAMILY OFFICE LLC,0.0,0.31129384635005863,0.5432311119918987,0.0,0.0,0.14547504165804273,0.0
"BROWN, LISLE/CUMMINGS, INC.",0.0,0.3782941405989466,0.6217058594010534,0.0,0.0,0.0,0.0
Banque Cantonale Vaudoise,0.0,0.3359172301792727,0.6640827698207273,0.0,0.0,0.0,0.0
Bartlett & Co. LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beaton Management Co. Inc.,0.0,0.590835772895342,0.0,0.0,0.0,0.0,0.4091642271046581
"Bensler, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Border to Coast Pensions Partnership Ltd,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CI INVESTMENTS INC.,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.23389666756166655,0.7661033324383335,0.0,0.0,0.0,0.0
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.37485559770484705,0.625144402295153,0.0,0.0,0.0,0.0
"Cambridge Investment Research Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Cito Capital Group, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clare Market Investments LLC,0.0,0.29570275815653263,0.42887364928182753,0.0,0.2754235925616399,0.0,0.0
