,advanced_micro,amazon,apple,palo_alto,salesforce,meta
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0
ADELL HARRIMAN & CARPENTER INC,0.0,0.27846222558136546,0.4791050827911282,0.24243269162750644,0.0,0.0
AM INVESTMENT STRATEGIES LLC,0.0,0.470668209291235,0.529331790708765,0.0,0.0,0.0
APPLETON PARTNERS INC/MA,0.0,0.36122048441974625,0.6387795155802538,0.0,0.0,0.0
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,1.0,0.0,0.0,0.0,0.0
"Aurora Private Wealth, Inc.",0.0,0.39365989355875486,0.6063401064412453,0.0,0.0,0.0
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0,0.0,1.0,0.0,0.0,0.0
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,1.0,0.0,0.0,0.0,0.0
BOSTON FAMILY OFFICE LLC,0.0,0.7092734705067637,0.0,0.0,0.29072652949323635,0.0
"BROWN, LISLE/CUMMINGS, INC.",0.0,1.0,0.0,0.0,0.0,0.0
Banque Cantonale Vaudoise,0.0,1.0,0.0,0.0,0.0,0.0
Beaton Management Co. Inc.,0.0,0.5326752195892054,0.0,0.0,0.0,0.4673247804107947
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0
CI INVESTMENTS INC.,0.0,1.0,0.0,0.0,0.0,0.0
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,1.0,0.0,0.0,0.0,0.0
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.4881793543648349,0.5118206456351652,0.0,0.0,0.0
"Cambridge Investment Research Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0
Clare Market Investments LLC,0.0,0.4916212153183424,0.5083787846816575,0.0,0.0,0.0
"Community Bank & Trust, Waco, Texas",0.0,0.2435774397137131,0.756422560286287,0.0,0.0,0.0
Consolidated Investment Group LLC,0.0,0.0,0.0,1.0,0.0,0.0
"Crossmark Global Holdings, Inc.",0.0,1.0,0.0,0.0,0.0,0.0
EVERENCE CAPITAL MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0
"Frisch Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0
Gifford Fong Associates,0.33806644641240546,0.6619335535875945,0.0,0.0,0.0,0.0
"Glen Eagle Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0
"Global Financial Private Client, LLC",0.0,0.0,1.0,0.0,0.0,0.0
Grandview Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0
Gulf International Bank (UK) Ltd,0.13091691263028993,0.8690830873697101,0.0,0.0,0.0,0.0
HENDLEY & CO INC,0.0,0.0,1.0,0.0,0.0,0.0
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.21777262023261387,0.4111223437983938,0.25113739775102667,0.11996763821796581,0.0
Handelsbanken Fonder AB,1.0,0.0,0.0,0.0,0.0,0.0
Hayek Kallen Investment Management,0.0,0.0,1.0,0.0,0.0,0.0
Hemington Wealth Management,0.0,0.0,1.0,0.0,0.0,0.0
Intermede Investment Partners Ltd,0.0,1.0,0.0,0.0,0.0,0.0
"Iyo Bank, Ltd.",0.0,0.5981106105337705,0.0,0.0,0.40188938946622954,0.0
