,microsoft,amazon,apple,palo_alto,salesforce,meta,advanced_micro,Q
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
ADELL HARRIMAN & CARPENTER INC,0.3348035900668682,0.1205604937622761,0.41302709773961654,0.13160881843123923,0.0,0.0,0.0,0.11044356099184457
AM INVESTMENT STRATEGIES LLC,0.0,0.21677657652961424,0.7832234234703858,0.0,0.0,0.0,0.0,0.06615557851091253
AMICA MUTUAL INSURANCE CO,0.5246355174096056,0.0,0.4753644825903944,0.0,0.0,0.0,0.0,0.12126233918438445
APPLETON PARTNERS INC/MA,0.25047515190911007,0.2261256287921787,0.5233992192987112,0.0,0.0,0.0,0.0,0.10584704488545565
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
ASSET PLANNING SERVICES INC /LA/ /ADV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
AZZAD ASSET MANAGEMENT INC /ADV,0.4444980506354899,0.0,0.5555019493645101,0.0,0.0,0.0,0.0,0.12126233918438445
Amica Retiree Medical Trust,0.4152930332067424,0.20743044258153148,0.37727652421172614,0.0,0.0,0.0,0.0,0.10584704488545565
"Anchor Investment Management, LLC",0.5941810605125987,0.0,0.40581893948740133,0.0,0.0,0.0,0.0,0.12126233918438445
Ashburton (Jersey) Ltd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Aspen Investment Management Inc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
"Aurora Investment Managers, LLC.",0.4338768934260849,0.0,0.5661231065739152,0.0,0.0,0.0,0.0,0.12126233918438445
"Aurora Private Wealth, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
Avalon Global Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.5551983019797208,0.0,0.4448016980202792,0.0,0.0,0.0,0.0,0.12126233918438445
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.7323627013428438,0.2676372986571564,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
BOSTON FAMILY OFFICE LLC,0.311405464797262,0.11468180804441178,0.46092397679350305,0.0,0.11298875036482306,0.0,0.0,0.09550847818133652
BOSTON RESEARCH & MANAGEMENT INC,0.62199071084516,0.0,0.37800928915484,0.0,0.0,0.0,0.0,0.12126233918438445
"BROWN, LISLE/CUMMINGS, INC.",0.3706484670351511,0.2519712543291319,0.377380278635717,0.0,0.0,0.0,0.0,-0.03970270194540785
Baldrige Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
"Banco de Sabadell, S.A",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Banque Cantonale Vaudoise,0.38139743113770985,0.21137278955034566,0.4072297793119445,0.0,0.0,0.0,0.0,0.10584704488545565
Bartlett & Co. LLC,0.4771825370903204,0.0,0.5228174629096796,0.0,0.0,0.0,0.0,0.12126233918438445
Baskin Financial Services Inc.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
Beaton Management Co. Inc.,0.5536152906594365,0.44638470934056346,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
"Bensler, LLC",0.5430081181087614,0.0,0.45699188189123857,0.0,0.0,0.0,0.0,-0.04839976844369198
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
Border to Coast Pensions Partnership Ltd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05214530882635752
"Bull Street Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1474259671351266
"Bulltick Wealth Management, LLC",0.5377197690947664,0.0,0.4622802309052336,0.0,0.0,0.0,0.0,0.06916375745542061
CI INVESTMENTS INC.,0.6400182703550493,0.35998172964495073,0.0,0.0,0.0,0.0,0.0,0.0850575837606202
CLARET ASSET MANAGEMENT Corp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509871123364232
COLONY GROUP LLC,0.5537156927876065,0.0,0.4462843072123936,0.0,0.0,0.0,0.0,0.12126233918438445
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.14363371675083553,0.8563662832491645,0.0,0.0,0.0,0.0,0.11122121171136233
