,microsoft,amazon,apple,palo_alto,salesforce,meta,advanced_micro,google,Q
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
ADELL HARRIMAN & CARPENTER INC,0.24983878674304458,0.16085916321144847,0.45415257515727164,0.13514947488823525,0.0,0.0,0.0,0.0,0.06984637614212431
AM INVESTMENT STRATEGIES LLC,0.0,0.44664139349339677,0.5533586065066033,0.0,0.0,0.0,0.0,0.0,0.022620624255435873
AMICA MUTUAL INSURANCE CO,0.52528057271918,0.0,0.47471942728081995,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
APPLETON PARTNERS INC/MA,0.24406641182429184,0.22594955895509697,0.5299840292206112,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
ASSET PLANNING SERVICES INC /LA/ /ADV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
AZZAD ASSET MANAGEMENT INC /ADV,0.41562609204722595,0.0,0.5843739079527741,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
Abound Wealth Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.11563451993904006
"AlphaMark Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02797078232487598
Amica Retiree Medical Trust,0.37776485599303783,0.239634582363459,0.38260056164350315,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
"Anchor Investment Management, LLC",0.5912381059899222,0.0,0.4087618940100778,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
Ashburton (Jersey) Ltd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
Aspen Investment Management Inc,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
"Aurora Investment Managers, LLC.",0.43404628411896357,0.0,0.5659537158810364,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
"Aurora Private Wealth, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
Avalon Global Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.4674629430482646,0.0,0.5325370569517354,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.6705520636075836,0.32944793639241643,0.0,0.0,0.0,0.0,0.0,0.0,0.04708792548537309
BOSTON FAMILY OFFICE LLC,0.2573648798954394,0.23915702375966896,0.4063273091717721,0.0,0.09715078717311951,0.0,0.0,0.0,0.05845545264246596
BOSTON RESEARCH & MANAGEMENT INC,0.6204813491606161,0.0,0.3795186508393838,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
"BROWN, LISLE/CUMMINGS, INC.",0.3159341815408535,0.2885523747226765,0.39551344373647007,0.0,0.0,0.0,0.0,0.0,-0.14138338149305527
Baldrige Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
"Banco de Sabadell, S.A",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
Banque Cantonale Vaudoise,0.32149001291264745,0.2529789730096663,0.42553101407768623,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
Bartlett & Co. LLC,0.4813485543592368,0.0,0.5186514456407632,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
Baskin Financial Services Inc.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
Beaton Management Co. Inc.,0.511256619084477,0.29200803129646125,0.0,0.0,0.0,0.19673534961906175,0.0,0.0,-0.07089607765367698
"Bensler, LLC",0.5056508333426444,0.0,0.49434916665735573,0.0,0.0,0.0,0.0,0.0,-0.11939927765814784
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
Border to Coast Pensions Partnership Ltd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002127036394308557
"Bull Street Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
"Bulltick Wealth Management, LLC",0.6270614077720755,0.0,0.3729385922279245,0.0,0.0,0.0,0.0,0.0,0.0259033334007499
CI INVESTMENTS INC.,0.5812253073467059,0.4187746926532941,0.0,0.0,0.0,0.0,0.0,0.0,0.04708792548537309
CLARET ASSET MANAGEMENT Corp,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
COLONY GROUP LLC,0.5075215800445029,0.0,0.4924784199554972,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.26826629910628447,0.7317337008937154,0.0,0.0,0.0,0.0,0.0,0.06751618201755533
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.3646634445568329,0.6353365554431671,0.0,0.0,0.0,0.0,0.0,-0.01947463669735342
"CSM Advisors, LLC",0.5030356656088605,0.0,0.4969643343911395,0.0,0.0,0.0,0.0,0.0,0.03264440970294911
"CWM, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
"Cambridge Investment Research Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02797078232487598
Canal Insurance CO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
"Canton Hathaway, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
"Centerpoint Advisors, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
"Centre Asset Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
"Citadel Investment Advisory, Inc.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.06463757605687111
"Cito Capital Group, LLC",0.11282702838123188,0.0,0.8871729716187681,0.0,0.0,0.0,0.0,0.0,0.08663332517805244
Clare Market Investments LLC,0.23982065898043667,0.309069406320357,0.45110993469920624,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
Close Asset Management Ltd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
"Colorado Capital Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
"Community Bank & Trust, Waco, Texas",0.215535030731823,0.14258546283920817,0.6418795064289688,0.0,0.0,0.0,0.0,0.0,0.06707914422699363
Consolidated Investment Group LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
Cordatus Wealth Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
"Crossmark Global Holdings, Inc.",0.6695396325514784,0.3304603674485216,0.0,0.0,0.0,0.0,0.0,0.0,0.04708792548537309
Dixon Mitchell Investment Counsel Inc.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
E. Ohman J:or Asset Management AB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
EVERENCE CAPITAL MANAGEMENT INC,0.708489422389125,0.29151057761087507,0.0,0.0,0.0,0.0,0.0,0.0,0.04708792548537309
"Eagle Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
"Endurance Wealth Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10706158171023468
Erste Asset Management GmbH,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
Estabrook Capital Management,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662050686458702
FRONT BARNETT ASSOCIATES LLC,0.0,0.7395533046326197,0.0,0.0,0.26044669536738024,0.0,0.0,0.0,0.030277580106879483
