,amazon,apple,microsoft,palo_alto,salesforce,meta,advanced_micro,google,Q
ADELL HARRIMAN & CARPENTER INC,0.10869282678149693,0.4912947309637968,0.29636207869770287,0.10365036355700356,0.0,0.0,0.0,0.0,0.06220516625831969
AM INVESTMENT STRATEGIES LLC,0.2755332560966705,0.7244667439033295,0.0,0.0,0.0,0.0,0.0,0.0,0.024338339778993308
AMICA MUTUAL INSURANCE CO,0.0,0.5095697127824728,0.49043028721752724,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
APPLETON PARTNERS INC/MA,0.14150444135794868,0.6250448102722999,0.23345074836975147,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
AR ASSET MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757864617883885
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
AZZAD ASSET MANAGEMENT INC /ADV,0.0,0.8356257303470178,0.16437426965298213,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
Abound Wealth Management,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07301227116060123
Amica Retiree Medical Trust,0.19370891795714706,0.39417502531350634,0.4121160567293466,0.0,0.0,0.0,0.0,0.0,0.05986843044897369
"Anchor Investment Management, LLC",0.0,0.43366860714764255,0.5663313928523573,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
Ashburton (Jersey) Ltd,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
Aspen Investment Management Inc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.050460150921830926
"Aurora Investment Managers, LLC.",0.0,0.5628804345946312,0.4371195654053687,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
"Aurora Private Wealth, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757864617883885
Avalon Global Asset Management LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09757864617883885
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0,0.5480162107124896,0.45198378928751043,0.0,0.0,0.0,0.0,0.0,0.07401939855033489
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.3458956625475979,0.0,0.654104337452402,0.0,0.0,0.0,0.0,0.0,0.04101332258404111
