,advanced_micro,amazon,apple,microsoft,palo_alto,salesforce,meta,google,Q
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1007423858303539
ADELL HARRIMAN & CARPENTER INC,0.0,0.12512707437450285,0.43117242363953,0.2978758455012017,0.14582465648476528,0.0,0.0,0.0,0.07982913292671218
AM INVESTMENT STRATEGIES LLC,0.0,0.3455724825466512,0.6544275174533488,0.0,0.0,0.0,0.0,0.0,0.04432934547568389
AMICA MUTUAL INSURANCE CO,0.0,0.0,0.46658665921479614,0.5334133407852037,0.0,0.0,0.0,0.0,0.08817974820498171
APPLETON PARTNERS INC/MA,0.0,0.23598568064468872,0.7640143193553113,0.0,0.0,0.0,0.0,0.0,0.07374098383251675
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
AZZAD ASSET MANAGEMENT INC /ADV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
Amica Retiree Medical Trust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07290830002657335
"Anchor Investment Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
Ardevora Asset Management LLP,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04236540366975664
Ashburton (Jersey) Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
"Aurora Investment Managers, LLC.",0.0,0.0,0.5518853034115468,0.4481146965884532,0.0,0.0,0.0,0.0,0.08817974820498171
"Aurora Private Wealth, Inc.",0.0,0.21312935039117298,0.786870649608827,0.0,0.0,0.0,0.0,0.0,0.07374098383251675
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0,0.0,0.5098029424304276,0.4901970575695725,0.0,0.0,0.0,0.0,0.08817974820498171
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,0.36733515167664577,0.0,0.6326648483233542,0.0,0.0,0.0,0.0,0.05680416804222162
BOSTON FAMILY OFFICE LLC,0.0,0.2757247243727249,0.5750740971057691,0.0,0.0,0.14920117852150605,0.0,0.0,0.06584786577597264
"BROWN, LISLE/CUMMINGS, INC.",0.0,0.3797996293996863,0.6202003706003137,0.0,0.0,0.0,0.0,0.0,0.008333507093801576
Banque Cantonale Vaudoise,0.0,0.20199020973151285,0.39976611583333305,0.39824367443515407,0.0,0.0,0.0,0.0,0.07290830002657335
Bartlett & Co. LLC,0.0,0.0,0.5131743625654077,0.48682563743459223,0.0,0.0,0.0,0.0,0.08817974820498171
Baskin Financial Services Inc.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
Beaton Management Co. Inc.,0.0,0.55009431627221,0.0,0.0,0.0,0.0,0.4499056837277901,0.0,0.04033900152997613
"Bensler, LLC",0.0,0.0,0.4504602273191595,0.5495397726808405,0.0,0.0,0.0,0.0,0.02130637412433245
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
Border to Coast Pensions Partnership Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.040225544750107464
"Bull Street Advisors, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
CI INVESTMENTS INC.,0.0,0.41663439217739023,0.0,0.5833656078226098,0.0,0.0,0.0,0.0,0.05680416804222162
COLONY GROUP LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,0.2155880613063814,0.7844119386936186,0.0,0.0,0.0,0.0,0.0,0.07374098383251675
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.32762578285144356,0.6723742171485564,0.0,0.0,0.0,0.0,0.0,0.02341393314805991
"Cambridge Investment Research Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04236540366975664
Canal Insurance CO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
"Centre Asset Management, LLC",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
"Citadel Investment Advisory, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.045577830786350124
"Cito Capital Group, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
Clare Market Investments LLC,0.0,0.26519397483778795,0.46290365866983507,0.27190236649237715,0.0,0.0,0.0,0.0,0.07290830002657335
Close Asset Management Ltd,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
"Colorado Capital Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
"Community Bank & Trust, Waco, Texas",0.0,0.14191188115002412,0.8580881188499759,0.0,0.0,0.0,0.0,0.0,0.07374098383251675
"Crossmark Global Holdings, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04236540366975664
E. Ohman J:or Asset Management AB,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
EVERENCE CAPITAL MANAGEMENT INC,0.0,0.2687752016226327,0.0,0.7312247983773673,0.0,0.0,0.0,0.0,0.05680416804222162
Erste Asset Management GmbH,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
Estabrook Capital Management,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
FRONT BARNETT ASSOCIATES LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046213516666320544
Farmers & Merchants Trust Co of Chambersburg PA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04236540366975664
"Financial Connections Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.028615342778067782
"First Fiduciary Investment Counsel, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
"Frisch Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
GFI Investment Counsel Ltd.,0.0,0.0,0.4869296596765139,0.5130703403234861,0.0,0.0,0.0,0.0,0.08817974820498171
Gifford Fong Associates,0.13679970942961267,0.31092798203432237,0.552272308536065,0.0,0.0,0.0,0.0,0.0,0.08417813038176558
"Glen Eagle Advisors, LLC",0.0,0.16522177117193662,0.34520990657498507,0.48956832225307817,0.0,0.0,0.0,0.0,0.07290830002657335
"Global Financial Private Client, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
Grandview Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
Grassi Investment Management,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
Greenwich Wealth Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
Gulf International Bank (UK) Ltd,0.046861181882880965,0.3029135875301324,0.0,0.6502252305869866,0.0,0.0,0.0,0.0,0.07288691985490216
HALL LAURIE J TRUSTEE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
HENDLEY & CO INC,0.0,0.0,0.5182180416826706,0.48178195831732934,0.0,0.0,0.0,0.0,0.08817974820498171
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.09973594637251366,0.3612480118719292,0.2699515770151966,0.18027021434151905,0.08879425039884146,0.0,0.0,0.08297265810690282
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
Hayek Kallen Investment Management,0.0,0.0,0.5527584095174755,0.44724159048252465,0.0,0.0,0.0,0.0,0.08817974820498171
Hemington Wealth Management,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05082125684331133
Hudson Canyon Capital Management,0.0,0.0,0.5158396686558318,0.4841603313441682,0.0,0.0,0.0,0.0,0.05220568004667897
Intermede Investment Partners Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003993390547191511
"Iyo Bank, Ltd.",0.0,0.17114417252126862,0.23880476816190307,0.404671748237206,0.0,0.18537931107962238,0.0,0.0,0.0064301355264393956
JACOBS & CO/CA,0.0,0.265832122663692,0.7341678773363081,0.0,0.0,0.0,0.0,0.0,0.07374098383251675
Janney Montgomery Scott LLC,0.0,0.26962279328359434,0.7303772067164057,0.0,0.0,0.0,0.0,0.0,0.07374098383251675
King Wealth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08817974820498171
LATHROP INVESTMENT MANAGEMENT CORP,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0,0.11700191615759303,0.4825849393823479,0.4004131444600591,0.0,0.0,0.0,0.0,0.03962188972240022
LVM CAPITAL MANAGEMENT LTD/MI,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
Lakehouse Capital Pty Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04236540366975664
"Legacy Wealth Management, LLC / MS",0.0,0.0,0.41440701431834925,0.46193108121010745,0.12366190447154331,0.0,0.0,0.0,0.10747875240062436
Lesa Sroufe & Co,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
Lester Murray Antman dba SimplyRich,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
Lipe & Dalton,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
MCDANIEL TERRY & CO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07124293241468659
MENLO ADVISORS LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
MOUNT VERNON ASSOCIATES INC /MD/,0.0,0.22360717263960772,0.4855641773829515,0.29082864997744073,0.0,0.0,0.0,0.0,0.07290830002657335
"Mathes Company, Inc.",0.0,0.3515727583942923,0.6484272416057077,0.0,0.0,0.0,0.0,0.0,0.07374098383251675
Meridian Financial Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10511656399527684
Mn Services Vermogensbeheer B.V.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.050061629662884445
