,advanced_micro,amazon,apple,palo_alto,microsoft,salesforce,meta,Q
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11037295598687706
ADELL HARRIMAN & CARPENTER INC,0.0,0.252010417475778,0.495573409180459,0.252416173343763,0.0,0.0,0.0,0.07919288961102884
AM INVESTMENT STRATEGIES LLC,0.0,0.4338671459458101,0.5661328540541899,0.0,0.0,0.0,0.0,0.04443294521207937
APPLETON PARTNERS INC/MA,0.0,0.3221633672457395,0.6778366327542604,0.0,0.0,0.0,0.0,0.06991612513890816
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09175595384112024
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,0.2594533315222502,0.0,0.0,0.7405466684777497,0.0,0.0,0.05899436414991528
"Aurora Private Wealth, Inc.",0.0,0.32272822626693515,0.6772717737330648,0.0,0.0,0.0,0.0,0.06991612513890816
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09175595384112024
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
BOSTON FAMILY OFFICE LLC,0.0,0.61479620688708,0.0,0.0,0.0,0.3852037931129199,0.0,0.05431563931892544
"BROWN, LISLE/CUMMINGS, INC.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.012338028412602106
Banque Cantonale Vaudoise,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
Beaton Management Co. Inc.,0.0,0.5363724371058809,0.0,0.0,0.0,0.0,0.463627562894119,0.0524767745980686
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09175595384112024
CI INVESTMENTS INC.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.44625966743562545,0.5537403325643745,0.0,0.0,0.0,0.0,0.027020701561791975
"Cambridge Investment Research Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
Clare Market Investments LLC,0.0,0.3108337243772545,0.36223432677007394,0.0,0.3269319488526715,0.0,0.0,0.0699148940469836
"Community Bank & Trust, Waco, Texas",0.0,0.19725842792793172,0.8027415720720682,0.0,0.0,0.0,0.0,0.06991612513890816
"Crossmark Global Holdings, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.048076296436696066
