,advanced_micro,amazon,apple,palo_alto,salesforce,meta,Q
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.11797503436555204
ADELL HARRIMAN & CARPENTER INC,0.0,0.27846222558136546,0.4791050827911282,0.24243269162750644,0.0,0.0,0.07465470233916581
AM INVESTMENT STRATEGIES LLC,0.0,0.470668209291235,0.529331790708765,0.0,0.0,0.0,0.04410326178827477
APPLETON PARTNERS INC/MA,0.0,0.36122048441974625,0.6387795155802538,0.0,0.0,0.0,0.06801434818366453
AR ASSET MANAGEMENT INC,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"Aurora Private Wealth, Inc.",0.0,0.39365989355875486,0.6063401064412453,0.0,0.0,0.0,0.06801434818366453
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
BOSTON FAMILY OFFICE LLC,0.0,0.7092734705067637,0.0,0.0,0.29072652949323635,0.0,0.06133458603281017
"BROWN, LISLE/CUMMINGS, INC.",0.0,1.0,0.0,0.0,0.0,0.0,0.03176469777100807
Banque Cantonale Vaudoise,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
Beaton Management Co. Inc.,0.0,0.5326752195892054,0.0,0.0,0.0,0.4673247804107947,0.07440368959676157
Biechele Royce Advisors,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
CI INVESTMENTS INC.,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"COMMONWEALTH EQUITY SERVICES, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.4881793543648349,0.5118206456351652,0.0,0.0,0.0,0.027979700968962618
"Cambridge Investment Research Advisors, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
Clare Market Investments LLC,0.0,0.4916212153183424,0.5083787846816575,0.0,0.0,0.0,0.06801434818366453
"Community Bank & Trust, Waco, Texas",0.0,0.2435774397137131,0.756422560286287,0.0,0.0,0.0,0.06801434818366453
Consolidated Investment Group LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.1273677298263879
"Crossmark Global Holdings, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
EVERENCE CAPITAL MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"Frisch Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
Gifford Fong Associates,0.33806644641240546,0.6619335535875945,0.0,0.0,0.0,0.0,0.08858502781097352
"Glen Eagle Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"Global Financial Private Client, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
Grandview Asset Management LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
Gulf International Bank (UK) Ltd,0.13091691263028993,0.8690830873697101,0.0,0.0,0.0,0.0,0.08858502781097352
HENDLEY & CO INC,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
HERITAGE INVESTORS MANAGEMENT CORP,0.0,0.21777262023261387,0.4111223437983938,0.25113739775102667,0.11996763821796581,0.0,0.08232386051501094
Handelsbanken Fonder AB,1.0,0.0,0.0,0.0,0.0,0.0,0.11797503436555204
Hayek Kallen Investment Management,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
Hemington Wealth Management,0.0,0.0,1.0,0.0,0.0,0.0,0.03152568301408329
Intermede Investment Partners Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.024433718923841947
"Iyo Bank, Ltd.",0.0,0.5981106105337705,0.0,0.0,0.40188938946622954,0.0,0.03665567127045262
JACOBS & CO/CA,0.0,0.4002808820643517,0.5997191179356482,0.0,0.0,0.0,0.06801434818366453
Janney Montgomery Scott LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.0,0.31885991672619823,0.6811400832738017,0.0,0.0,0.0,0.035647222405643025
Lakehouse Capital Pty Ltd,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"Legacy Wealth Management, LLC / MS",0.0,0.0,0.5646651600689316,0.4353348399310684,0.0,0.0,0.1033131349972117
Lester Murray Antman dba SimplyRich,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
Lipe & Dalton,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
MOUNT VERNON ASSOCIATES INC /MD/,0.0,0.46533176641984714,0.5346682335801528,0.0,0.0,0.0,0.06801434818366453
"Mathes Company, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
NEVILLE RODIE & SHAW INC,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,0.0,0.42163382313191516,0.5783661768680848,0.0,0.0,0.0,0.06801434818366453
NKCFO LLC,0.0,0.7388627572876009,0.26113724271239913,0.0,0.0,0.0,0.044147919606688416
"Nicollet Investment Management, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"Norman Fields, Gottscho Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
"Old North State Wealth Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.03176469777100807
"PHYSICIANS FINANCIAL SERVICES, INC.",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,0.0,0.44952145821658807,0.5504785417834119,0.0,0.0,0.0,0.06801434818366453
ROANOKE ASSET MANAGEMENT CORP/ NY,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"Reynders McVeigh Capital Management, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
"Riverview Capital Advisers, LLC",0.0,0.0,1.0,0.0,0.0,0.0,0.008145929713152903
SENTRY INVESTMENT MANAGEMENT LLC,0.0,0.4208824979113128,0.5791175020886872,0.0,0.0,0.0,0.06801434818366453
SHIKIAR ASSET MANAGEMENT INC,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
SONATA CAPITAL GROUP INC,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"Scott & Selber, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
South Dakota Investment Council,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
Southland Equity Partners LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.03152568301408329
"Sowa Financial Group, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
"State of Alaska, Department of Revenue",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"TAGStone Capital, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.03176469777100807
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"THOROUGHBRED FINANCIAL SERVICES, LLC",0.0,0.38340291557798173,0.6165970844220183,0.0,0.0,0.0,0.06801434818366453
TOWER BRIDGE ADVISORS,0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
"TSFG, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
Triple Frond Partners LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.030088628723156884
"Ulland Investment Advisors, LLC",0.0,0.5141913929363594,0.4858086070636406,0.0,0.0,0.0,0.019955313742080486
VALICENTI ADVISORY SERVICES INC,0.0,0.5770919094782182,0.4229080905217819,0.0,0.0,0.0,0.06801434818366453
"Violich Capital Management, Inc.",0.0,0.0,1.0,0.0,0.0,0.0,0.07925854016803552
"Vishria Bird Financial Group, LLC",0.0,0.458449083821391,0.541550916178609,0.0,0.0,0.0,0.06801434818366453
WEDBUSH SECURITIES INC,0.0,0.36982815789031753,0.6301718421096824,0.0,0.0,0.0,0.06801434818366453
"Wallington Asset Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
"Werlinich Asset Management, LLC",1.0,0.0,0.0,0.0,0.0,0.0,0.10305571541821452
"Westbourne Investment Advisors, Inc.",0.0,0.0,0.5143729776450792,0.0,0.0,0.4856270223549208,0.08564788158113255
"Whetstone Capital Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
White Pine Investment CO,0.0,0.0,0.0,0.0,0.0,1.0,0.08193764033390895
ZEVIN ASSET MANAGEMENT LLC,0.0,1.0,0.0,0.0,0.0,0.0,0.05677015619929355
