,advanced_micro,amazon,palo_alto,apple,salesforce,meta,Q
ABNER HERRMAN & BROCK LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.1042716573849089
ADELL HARRIMAN & CARPENTER INC,0.0,0.5124196093810971,0.48758039061890296,0.0,0.0,0.0,0.09443250087836816
AM INVESTMENT STRATEGIES LLC,0.0,0.39637695433690745,0.0,0.6036230456630926,0.0,0.0,0.05076155877287143
APPLETON PARTNERS INC/MA,0.0,1.0,0.0,0.0,0.0,0.0,0.057627656825967065
AR ASSET MANAGEMENT INC,0.0,0.0,0.0,1.0,0.0,0.0,0.08812123546585103
Amica Retiree Medical Trust,0.0,1.0,0.0,0.0,0.0,0.0,0.057627656825967065
"Aurora Private Wealth, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.057627656825967065
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0,1.0,0.0,0.0,0.0,0.0,0.057627656825967065
BOSTON FAMILY OFFICE LLC,0.0,0.6441143994248123,0.0,0.0,0.3558856005751876,0.0,0.055520477148263456
"BROWN, LISLE/CUMMINGS, INC.",0.0,1.0,0.0,0.0,0.0,0.0,0.035722994679181594
Banque Cantonale Vaudoise,0.0,0.0,0.0,0.0,0.0,0.0,0.057627656825967065
Beaton Management Co. Inc.,0.0,0.5199650455166976,0.0,0.0,0.0,0.4800349544833023,0.07220154602822643
Biechele Royce Advisors,0.0,0.0,0.0,0.0,0.0,0.0,0.08812123546585103
CI INVESTMENTS INC.,0.0,1.0,0.0,0.0,0.0,0.0,0.057627656825967065
"CONWAY CAPITAL MANAGEMENT, INC.",0.0,0.4062937911936231,0.0,0.5937062088063769,0.0,0.0,0.036740866152738236
Clare Market Investments LLC,0.0,0.4463761933784401,0.0,0.55362380662156,0.0,0.0,0.07287444614590904
"Community Bank & Trust, Waco, Texas",0.0,0.18226284716614394,0.0,0.8177371528338561,0.0,0.0,0.07287444614590904
Consolidated Investment Group LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.13123734493076925
"Crossmark Global Holdings, Inc.",0.0,1.0,0.0,0.0,0.0,0.0,0.057627656825967065
