,0
ABNER HERRMAN & BROCK LLC,0.0010092782481902
ADELL HARRIMAN & CARPENTER INC,0.0024900465921692248
AM INVESTMENT STRATEGIES LLC,0.0106570715418068
AMICA MUTUAL INSURANCE CO,0.00210786503110925
APPLETON PARTNERS INC/MA,0.002290368469198133
AR ASSET MANAGEMENT INC,0.0073494789714239
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0028786909493012
AZZAD ASSET MANAGEMENT INC /ADV,0.00167094752858275
Amica Retiree Medical Trust,0.002346082661838833
"Anchor Investment Management, LLC",0.0014041010501870499
Ashburton (Jersey) Ltd,0.0032905794359103
"Aurora Investment Managers, LLC.",0.00259946064821015
"Aurora Private Wealth, Inc.",0.0034531044642784
Avalon Global Asset Management LLC,0.0022841082986897
BARTLETT & CO. WEALTH MANAGEMENT LLC,0.0028795956408004
BEDRIJFSTAKPENSIOENFONDS VOOR DE MEDIA PNO,0.0021059110409319
BOSTON FAMILY OFFICE LLC,0.0019810780845169497
BOSTON RESEARCH & MANAGEMENT INC,0.0013136134952675001
"BROWN, LISLE/CUMMINGS, INC.",0.0016006850937665667
Baldrige Asset Management LLC,
"Banco de Sabadell, S.A",0.0014216053650895
Banque Cantonale Vaudoise,0.0019373033470875666
Bartlett & Co. LLC,0.0028796569813930497
Baskin Financial Services Inc.,0.0016031313091715
Beaton Management Co. Inc.,0.0013344347794893002
"Bensler, LLC",0.0019968977479358
Biechele Royce Advisors,0.0036947631017454
Border to Coast Pensions Partnership Ltd,0.0021422774774492
"Bull Street Advisors, LLC",0.0014701347708348
"Bulltick Wealth Management, LLC",0.0011264342176816999
CI INVESTMENTS INC.,0.0025231742998351
CLARET ASSET MANAGEMENT Corp,0.0015494119590459
COLONY GROUP LLC,0.0013568715586992001
"COMMONWEALTH EQUITY SERVICES, LLC",0.0018286236756374
"CONWAY CAPITAL MANAGEMENT, INC.",0.01120976789737845
"CSM Advisors, LLC",0.0019787817023997
"Cambridge Investment Research Advisors, Inc.",0.0011666209803972
Canal Insurance CO,0.0016845169076744
"Centerpoint Advisors, LLC",0.0011330779734249
"Centre Asset Management, LLC",0.0015491570140707
"Citadel Investment Advisory, Inc.",0.0015245758750564
"Cito Capital Group, LLC",0.00832198633381615
Clare Market Investments LLC,0.008624439871073133
Close Asset Management Ltd,0.002654711705486
"Colorado Capital Management, Inc.",0.0022903126467737
"Community Bank & Trust, Waco, Texas",0.00425889910910625
"Crossmark Global Holdings, Inc.",0.0013145961822925499
Dixon Mitchell Investment Counsel Inc.,0.0011855020358347
E. Ohman J:or Asset Management AB,0.0032738800110515
EVERENCE CAPITAL MANAGEMENT INC,0.00190658999308185
"Eagle Capital Management, LLC",0.001996806682764
"Endurance Wealth Management, Inc.",0.0027526852986996
Erste Asset Management GmbH,0.0015908061118399
Estabrook Capital Management,0.0042094143067284
FRONT BARNETT ASSOCIATES LLC,0.00217444975855335
Farmers & Merchants Trust Co of Chambersburg PA,0.0012566750592262336
"Financial Connections Group, Inc.",0.0012534428906357
"First Fiduciary Investment Counsel, Inc.",0.0021129124352541
"Frisch Financial Group, Inc.",0.0022785170681165
GFI Investment Counsel Ltd.,0.0030617613593011
Gifford Fong Associates,0.003073258768463425
"Glen Eagle Advisors, LLC",0.0016843297530315668
"Global Financial Private Client, LLC",0.0035122546020511
Grandview Asset Management LLC,
Grassi Investment Management,0.0021056665446035
Greenwich Wealth Management LLC,0.0036321618169062
Gulf International Bank (UK) Ltd,0.0020520836332704336
HALL LAURIE J TRUSTEE,0.0029542372334813
"HANTZ FINANCIAL SERVICES, INC.",0.0010068378288262
HENDLEY & CO INC,0.0027238368487272997
HERITAGE INVESTORS MANAGEMENT CORP,0.00227337080121496
HUNTER ASSOCIATES INVESTMENT MANAGEMENT LLC,0.0023286921068161
Handelsbanken Fonder AB,0.0011177428172166
Hanson & Doremus Investment Management,0.0010322919266146
Hayek Kallen Investment Management,0.00452866140826335
Hemington Wealth Management,0.0056409198487233
Hudson Canyon Capital Management,0.0021700665335113497
"Independent Solutions Wealth Management, LLC",0.0016807531992341
"Iyo Bank, Ltd.",0.002714193587827767
JACOBS & CO/CA,0.0019533557940984
"Jarislowsky, Fraser Ltd",0.001254879831967
King Wealth,0.0020982307365411002
LATHROP INVESTMENT MANAGEMENT CORP,0.0015061713354833
LEDERER & ASSOCIATES INVESTMENT COUNSEL/CA,0.00361857280296335
LVM CAPITAL MANAGEMENT LTD/MI,0.002911673982478
Lakehouse Capital Pty Ltd,0.0040438408419589
