FILINGMANAGER_NAME,advanced_micro,amazon,apple,asml,google,meta,microsoft,nvidia,palantir,palo_alto,salesforce,shopify,snowflake,tesla
"180 WEALTH ADVISORS, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1834 INVESTMENT ADVISORS CO,0.0,0.08887350541699608,0.4608909190036834,0.0,0.0,0.0,0.4377303241840858,0.0,0.0,0.0,0.012505251395234772,0.0,0.0,0.0
"3Chopt Investment Partners, LLC",0.0,0.0,0.6838716651721926,0.0,0.0,0.0,0.3161283348278074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"9258 Wealth Management, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"A. D. Beadell Investment Counsel, Inc.",0.0,0.0,0.4371123836007391,0.0,0.0,0.0,0.5628876163992609,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABNER HERRMAN & BROCK LLC,0.34823836930886665,0.0,0.0,0.0,0.0,0.0,0.6517616306911334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACG Wealth,0.0,0.1941175493142895,0.3909482153802979,0.0,0.0,0.0,0.25625613889976145,0.09755588706639981,0.0,0.061122209339251284,0.0,0.0,0.0,0.0
ACTIAM N.V.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADELL HARRIMAN & CARPENTER INC,0.0,0.16262304984934867,0.4011292567847472,0.0,0.0,0.0,0.25633508815923783,0.0,0.0,0.11949671074352368,0.06041589446314244,0.0,0.0,0.0
ADVISOR PARTNERS LLC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADVISORS MANAGEMENT GROUP INC /ADV,0.0,0.0,0.9060921827807222,0.0,0.0,0.04382080345251121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05008701376676653
AEGON ASSET MANAGEMENT UK Plc,0.0,0.154287644361134,0.3721100335217473,0.0,0.0,0.0,0.4736023221171187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGF INVESTMENTS INC.,0.11912125377203955,0.4614466333803273,0.11105349186549128,0.0,0.0,0.0,0.3083786209821419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGF Investments LLC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGF MANAGEMENT LTD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AJ Advisors, LLC",0.0,0.20354775968193511,0.4910280287947214,0.0,0.0,0.0,0.3054242115233434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKO CAPITAL LLP,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALERUS FINANCIAL  NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALGERT GLOBAL LLC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM INVESTMENT STRATEGIES LLC,0.0,0.4002757341075208,0.5531483041355812,0.0,0.0,0.0,0.04219597053128531,0.0,0.0,0.0,0.004379991225612514,0.0,0.0,0.0
AMERICAN ASSET MANAGEMENT INC.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMICA MUTUAL INSURANCE CO,0.0,0.2081948604055775,0.3034161782778924,0.0,0.0,0.0,0.34881137728079914,0.0,0.0,0.0,0.08305689530432345,0.0,0.0,0.056520688731407434
APCM Wealth Management for Individuals,0.0,0.0,0.8377181739799129,0.0,0.0,0.0,0.16228182602008717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APPLETON PARTNERS INC/MA,0.0,0.20376742719215377,0.49050173657566937,0.0,0.0,0.0,0.25282842031684316,0.0,0.0,0.049433701582031364,0.003468714333302388,0.0,0.0,0.0
AR ASSET MANAGEMENT INC,0.0,0.0,0.8744461945248794,0.0,0.0,0.0,0.12555380547512063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARGA Investment Management, LP",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARGI Investment Services, LLC",0.0,0.0,0.6668618845345112,0.0,0.0,0.0,0.33313811546548877,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARGONAUTICA PRIVATE WEALTH MANAGEMENT, INC",0.05178622143351109,0.1726810547912067,0.3930532057892256,0.011018613162311945,0.0,0.0,0.36039864778113995,0.0,0.0,0.0,0.011062257042604712,0.0,0.0,0.0
"ARMISTICE CAPITAL, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"ARMSTRONG ADVISORY GROUP, INC",0.011412372513131316,0.14633948984478082,0.5400142491502663,0.0,0.0,0.0074054545769329716,0.2850460360579216,0.0,0.0,0.0,0.0,0.0,0.0,0.009782397856966966
ARROW FINANCIAL CORP,0.0,0.27225377795476935,0.4003793674414705,0.0,0.0,0.0,0.32736685460376014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASSET PLANNING SERVICES INC /LA/ /ADV,0.0,0.2923465572250021,0.011116619712033244,0.0,0.0,0.0,0.6965368230629647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLANTA CAPITAL MANAGEMENT CO L L C,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATLAS CAPITAL ADVISORS LLC,0.0,0.0,0.8977058481629345,0.10229415183706542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATRIA INVESTMENTS LLC,0.0,0.3610256798924185,0.0,0.0,0.0,0.0,0.6127827169917927,0.0,0.0,0.026191603115789015,0.0,0.0,0.0,0.0
AZZAD ASSET MANAGEMENT INC /ADV,0.03404515794404132,0.023562423312740347,0.47199227835589874,0.03817006597978467,0.0,0.0,0.3348724790615364,0.0,0.0,0.03052440692596667,0.0668331884200318,0.0,0.0,0.0
"Abacus Wealth Partners, LLC",0.0,0.3204199806464709,0.0,0.0,0.0,0.0,0.6795800193535292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abound Wealth Management,0.0,0.0,0.731727994450163,0.0,0.0,0.0,0.24759225212556746,0.0,0.0,0.0,0.02067975342426951,0.0,0.0,0.0
Abundance Wealth Counselors,0.0,0.0,0.9532424373184601,0.04675756268153977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Adams Asset Advisors, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams Chetwood Wealth Management LLC,0.0,0.4206541956426448,0.2607660320581928,0.0,0.0,0.0,0.22296200642111627,0.0,0.0,0.0,0.09561776587804618,0.0,0.0,0.0
Alaska Wealth Advisors,0.0,0.11847065597142344,0.6014372513394537,0.0,0.0,0.0,0.28009209268912283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aldebaran Capital, LLC",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldebaran Financial Inc.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AllGen Financial Advisors, Inc.",0.0,0.0,0.2117253352045111,0.0,0.0,0.0,0.7882746647954888,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AllSquare Wealth Management LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Allen Mooney & Barnes Investment Advisors LLC,0.0,0.3444920124167255,0.6555079875832746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alliance Wealth Advisors, LLC /UT",0.0,0.576717229965975,0.0,0.0,0.0,0.0,0.4232827700340251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alpha Financial Partners, LLC",0.0,0.2782781186491769,0.721721881350823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AlphaMark Advisors, LLC",0.0,0.5700615485468716,0.35323949304392166,0.0,0.0,0.0,0.07669895840920679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AlphaQ Advisors LLC,0.0,0.36127668629862103,0.3182672491802096,0.0,0.0,0.0,0.3204560645211693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Altiora Financial Group, LLC",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altium Wealth Management LLC,0.0,0.17334377581267627,0.5167963688902517,0.0,0.0,0.0,0.28127425873590745,0.0,0.0,0.0,0.028585596561164474,0.0,0.0,0.0
American Asset Management Inc.,0.0,0.4127320954907162,0.5872679045092839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American Portfolios Advisors,0.0,0.19548143619288966,0.5610307924280118,0.0,0.0,0.0,0.22945954130136306,0.0,0.0,0.0,0.014028230077735543,0.0,0.0,0.0
American Research & Management Co.,0.0,0.3169650194863778,0.0,0.0,0.0,0.0,0.27569845971780366,0.404571537104474,0.0,0.0027649836913445414,0.0,0.0,0.0,0.0
Amica Retiree Medical Trust,0.0,0.21368178915383523,0.3144402745559776,0.0,0.0,0.0,0.3459821938814728,0.0,0.0,0.0,0.0669063315008072,0.0,0.0,0.05898941090790728
"Anchor Investment Management, LLC",0.0,0.1287805475346003,0.3020630165355848,0.0,0.0,0.0901636267646965,0.46940232230324996,0.0,0.0,0.0,0.00959048686186853,0.0,0.0,0.0
"Annandale Capital, LLC",0.0,0.0,0.20247864953608866,0.0,0.0,0.502581448066032,0.29493990239787926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aperture Investors, LLC",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Applied Capital LLC/FL,0.0,0.0,0.0,0.0,0.0,0.34921854849703726,0.6507814515029627,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arcadia Wealth Management, LLC",0.0,0.6322379479313546,0.1758325620695387,0.0,0.0,0.0,0.19192948999910672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ardevora Asset Management LLP,0.0,0.4968386725546023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5031613274453978,0.0,0.0,0.0
"Arista Wealth Management, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aristotle Atlantic Partners, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Arkos Global Advisors,0.0,0.15181917908401132,0.6399579486241885,0.0,0.0,0.0,0.20822287229179998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Arlington Capital Management, Inc.",0.0,0.2261714898390713,0.35742969136198605,0.0,0.0,0.0,0.4163988187989426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Armor Investment Advisors, LLC",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashburton (Jersey) Ltd,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ashfield Capital Partners, LLC",0.0,0.11416820748720084,0.4632567055366671,0.0,0.0,0.0,0.2975365115119735,0.12503857546415845,0.0,0.0,0.0,0.0,0.0,0.0
"Ashton Thomas Private Wealth, LLC",0.0,0.1577705319803412,0.39325196329412887,0.012951569519629006,0.0,0.0989440541962379,0.31051023729328925,0.0,0.0,0.026571643716373824,0.0,0.0,0.0,0.0
"Aspen Grove Capital, LLC",0.0,0.0,0.7038284111582322,0.017231515741496048,0.0,0.0,0.2789400731002718,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aspen Investment Management Inc,0.0,0.21678058797136537,0.26140998330591403,0.0,0.0,0.0,0.5218094287227205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aspen Wealth Strategies, LLC",0.0,0.17853942761313735,0.44241174593589877,0.0,0.0,0.0,0.37904882645096394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ategra Capital Management, LLC",0.0,0.07140862215822663,0.6276466406423896,0.0,0.0,0.0,0.2028632411118748,0.0,0.0,0.0,0.05645152976156419,0.0,0.0,0.0416299663259447
Ativo Capital Management LLC,0.0,0.0,0.6167840183396103,0.0,0.0,0.0,0.3832159816603897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Atlas Wealth Partners, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Atria Investments, Inc",0.0,0.2179894041824564,0.2238673030010345,0.026199168190735846,0.0,0.11885468090700141,0.3918200304998736,0.0,0.0,0.021269413218898418,0.0,0.0,0.0,0.0
"Aurora Investment Managers, LLC.",0.0,0.0,0.26570144563183357,0.0,0.0,0.22633248314028598,0.21679565386426847,0.0,0.0,0.0,0.0,0.0,0.0,0.2911704173636121
"Aurora Private Wealth, Inc.",0.0,0.24102399675993116,0.6004286341084748,0.0,0.0,0.0,0.15854736913159406,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Auto-Owners Insurance Co,0.0,0.3170448940332979,0.03269609121116546,0.0,0.0,0.41832566466508386,0.23193335009045277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avalon Global Asset Management LLC,0.0,0.5133137795333619,0.4866862204666381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avion Wealth,0.0,0.0,0.7079920973978825,0.0,0.0,0.0,0.29200790260211745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azimuth Capital Management LLC,0.0,0.21021163730690842,0.0,0.07420515917403805,0.0,0.0,0.40765658347115374,0.2086392832879269,0.0,0.0,0.09928733675997281,0.0,0.0,0.0
"B. Riley Wealth Advisors, Inc.",0.0,0.0,0.0,0.0,0.0,0.18238067377283254,0.5583997265685688,0.0,0.0,0.07650127656271995,0.03626701186465247,0.015076551833460844,0.0,0.1313747593977653
"B. Riley Wealth Management, Inc.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
