fund,ticker,r2,alpha,future_quarter,future_pred,prev_quarter,portfolio_weight,internal_benchmark_weight,quarter_end_date,data_avaliable_date,sigma_squared,sigma_squared_scaled,CAPM_market_tilt
ABNER HERRMAN & BROCK LLC,advanced_micro,0.9639158678605418,180.41864093920717,2022(Q1),[28503.358274036633],2021(Q4),0.03187024267640758,0.009399318032267888,2021-12-31,2022-02-16,0.0011425331580660386,0.3598921902049212,0.008087110286109174
ABNER HERRMAN & BROCK LLC,microsoft,0.9276825505044676,100000.0,2022(Q1),[41796.625],2021(Q4),0.06532012840297176,0.009074561860165323,2021-12-31,2022-02-16,0.00046520367951464044,0.042359996034785345,0.0023825619757275357
ADELL HARRIMAN & CARPENTER INC,apple,0.9875731535440928,100000.0,2022(Q1),[111628692.41637233],2021(Q4),0.07441287895400833,0.005229305768621422,2021-12-31,2022-02-16,0.0005454458289718446,0.07997753164916145,0.005533131414036359
ADELL HARRIMAN & CARPENTER INC,microsoft,0.9851893586573954,100000.0,2022(Q1),[62100734.32863332],2021(Q4),0.047537075054641366,0.005381146468617846,2021-12-31,2022-02-16,0.00046520367951464044,0.042359996034785345,0.0017857249677466504
ADELL HARRIMAN & CARPENTER INC,palo_alto,0.9978733441615222,9547.716114208066,2022(Q1),[28431402.14934884],2021(Q4),0.018600209561923705,0.005544631584395911,2021-12-31,2022-02-16,0.0006372225071665971,0.12300245662829011,0.0016058681639381219
ADELL HARRIMAN & CARPENTER INC,salesforce,0.7816834327131081,100000.0,2022(Q1),[14036425.243503416],2021(Q4),0.012296307793034545,0.005580246848626924,2021-12-31,2022-02-16,0.0007207966900040023,0.16218205015357562,0.0010892245329203873
AM INVESTMENT STRATEGIES LLC,amazon,0.9595800941693592,110.9752496412072,2022(Q1),[51939.77602220943],2021(Q4),0.11722566017476836,0.007676298607175927,2021-12-31,2022-02-16,0.0004572433003576114,0.038628168703774196,0.004231691220023717
AM INVESTMENT STRATEGIES LLC,apple,0.9652281653972228,230.04301197729168,2022(Q1),[75361.97035658674],2021(Q4),0.1587702941726305,0.007315040920237995,2021-12-31,2022-02-16,0.0005454458289718446,0.07997753164916145,0.012113017310424985
AMICA MUTUAL INSURANCE CO,apple,0.9004935330040448,100000.0,2022(Q1),[44536.125],2021(Q4),0.04934031406529555,0.009320192999359846,2021-12-31,2022-02-16,0.0005454458289718446,0.07997753164916145,0.003200710499154146
AMICA MUTUAL INSURANCE CO,microsoft,0.9932685525040328,130.49019780144016,2022(Q1),[79343.5244797862],2021(Q4),0.05498256508078236,0.009264876812933507,2021-12-31,2022-02-16,0.00046520367951464044,0.042359996034785345,0.0019366010937456296
APPLETON PARTNERS INC/MA,apple,0.2675812138468326,9547.716114208066,2022(Q1),[66749.596026479],2021(Q4),0.06580090360130737,0.0030232980465977103,2021-12-31,2022-02-16,0.0005454458289718446,0.07997753164916145,0.005020797935110366
APPLETON PARTNERS INC/MA,microsoft,0.9817318012220724,230.04301197729168,2022(Q1),[50725.45528187513],2021(Q4),0.03147850672431729,0.003134373764646222,2021-12-31,2022-02-16,0.00046520367951464044,0.042359996034785345,0.001200657359781095
AR ASSET MANAGEMENT INC,apple,0.3425976178583537,5872.786613189477,2022(Q1),[39850.58185357075],2021(Q4),0.13463085987576442,0.007524949044558571,2021-12-31,2022-02-16,0.0005454458289718446,0.07997753164916145,0.010165617006298259
ASSET PLANNING SERVICES INC /LA/ /ADV,microsoft,0.9746607582399416,102.34114021054528,2022(Q1),[21963.8036516723],2021(Q4),0.100614567567422,0.022484635810814446,2021-12-31,2022-02-16,0.00046520367951464044,0.042359996034785345,0.0033095835994079456
AZZAD ASSET MANAGEMENT INC /ADV,apple,0.9434265882067138,100000.0,2022(Q1),[33132063.327414148],2021(Q4),0.03821908219866152,0.0029412260483221357,2021-12-31,2022-02-16,0.0005454458289718446,0.07997753164916145,0.002821435856778333
AZZAD ASSET MANAGEMENT INC /ADV,microsoft,0.9781633231866672,85044.89341802686,2022(Q1),[24862418.090350572],2021(Q4),0.026890602650057677,0.00297586971666649,2021-12-31,2022-02-16,0.00046520367951464044,0.042359996034785345,0.0010130279922314013
"AllGen Financial Advisors, Inc.",microsoft,0.9976257946550308,27364.39997074672,2022(Q1),[8209356.5241382895],2021(Q4),0.05126250483644096,0.02635381931009886,2021-12-31,2022-02-16,0.00046520367951464044,0.042359996034785345,0.0010551318201275665
Amica Retiree Medical Trust,amazon,0.5255364571968426,230.04301197729168,2022(Q1),[4398.298906885058],2021(Q4),0.0382086610828902,0.00952268652393178,2021-12-31,2022-02-16,0.0004572433003576114,0.038628168703774196,0.0011080866646956203
Amica Retiree Medical Trust,apple,0.2248924211003415,608.0224261649427,2022(Q1),[6391.8181637369935],2021(Q4),0.05832384770900936,0.009323526260306839,2021-12-31,2022-02-16,0.0005454458289718446,0.07997753164916145,0.003918924759482691
Amica Retiree Medical Trust,microsoft,0.6676917280322983,100000.0,2022(Q1),[7599.0],2021(Q4),0.06501758379911995,0.009257251645553268,2021-12-31,2022-02-16,0.00046520367951464044,0.042359996034785345,0.0023620074489233986
