fund,ticker,r2,alpha,future_quarter,future_pred
"A. D. Beadell Investment Counsel, Inc.",apple,0.9619006261912882,608.0224261649427,2022(Q1),[2148.625]
"A. D. Beadell Investment Counsel, Inc.",microsoft,0.9474658712967714,100000.0,2022(Q1),[3360.5]
ABNER HERRMAN & BROCK LLC,advanced_micro,0.9639158678605418,180.41864093920717,2022(Q1),[28503.358274036633]
ABNER HERRMAN & BROCK LLC,microsoft,0.9276825505044675,100000.0,2022(Q1),[41796.625]
ACTIAM N.V.,amazon,0.8074841998329717,3917.1014908092607,2022(Q1),[171448.09038355504]
ADELL HARRIMAN & CARPENTER INC,amazon,0.9790765521097811,100000.0,2022(Q1),[29709406.49634585]
ADELL HARRIMAN & CARPENTER INC,apple,0.9875731535440927,100000.0,2022(Q1),[111628692.41637233]
ADELL HARRIMAN & CARPENTER INC,microsoft,0.9851893586573954,100000.0,2022(Q1),[62100734.32863332]
ADELL HARRIMAN & CARPENTER INC,palo_alto,0.9978733441615222,9547.716114208066,2022(Q1),[28431402.14934884]
ADELL HARRIMAN & CARPENTER INC,salesforce,0.7816834327131081,100000.0,2022(Q1),[14036425.243503416]
AM INVESTMENT STRATEGIES LLC,amazon,0.9595800941693591,110.97524964120721,2022(Q1),[51939.77602220943]
AM INVESTMENT STRATEGIES LLC,apple,0.9652281653972229,230.04301197729168,2022(Q1),[75361.97035658674]
AM INVESTMENT STRATEGIES LLC,microsoft,0.9997908674278458,0.01,2022(Q1),[6377.173703241147]
AMICA MUTUAL INSURANCE CO,apple,0.9004935330040448,100000.0,2022(Q1),[44536.125]
AMICA MUTUAL INSURANCE CO,microsoft,0.9932685525040328,130.49019780144016,2022(Q1),[79343.5244797862]
APPLETON PARTNERS INC/MA,amazon,0.3033192476789687,2409.403560239527,2022(Q1),[31374.896823512812]
APPLETON PARTNERS INC/MA,apple,0.26758121384683264,9547.716114208066,2022(Q1),[66749.596026479]
APPLETON PARTNERS INC/MA,microsoft,0.9817318012220723,230.04301197729168,2022(Q1),[50725.45528187513]
APPLETON PARTNERS INC/MA,palo_alto,0.997922991829702,4.347013158125022,2022(Q1),[13201.990723337878]
APPLETON PARTNERS INC/MA,salesforce,0.5814521054668684,100000.0,2022(Q1),[396.125]
AR ASSET MANAGEMENT INC,apple,0.34259761785835374,5872.786613189477,2022(Q1),[39850.58185357075]
AR ASSET MANAGEMENT INC,microsoft,0.9840819530340533,23.81685551976158,2022(Q1),[6392.025352811142]
ASSET PLANNING SERVICES INC /LA/ /ADV,amazon,0.7719144987236748,141.4991297434576,2022(Q1),[7862.780077437642]
ASSET PLANNING SERVICES INC /LA/ /ADV,microsoft,0.9746607582399416,102.34114021054528,2022(Q1),[21963.8036516723]
AZZAD ASSET MANAGEMENT INC /ADV,apple,0.9434265882067138,100000.0,2022(Q1),[33132063.327414148]
AZZAD ASSET MANAGEMENT INC /ADV,microsoft,0.9781633231866673,85044.89341802686,2022(Q1),[24862418.090350572]
"AllGen Financial Advisors, Inc.",microsoft,0.9976257946550309,27364.39997074672,2022(Q1),[8209356.5241382895]
"AlphaMark Advisors, LLC",amazon,0.2087398526874733,373.9937302478794,2022(Q1),[3549.13494300682]
"AlphaMark Advisors, LLC",apple,0.4898562487126433,230.04301197729168,2022(Q1),[1661.3038254743255]
"AlphaMark Advisors, LLC",microsoft,0.9999913637144757,0.0286606761694825,2022(Q1),[605.3762344901527]
Amica Retiree Medical Trust,amazon,0.5255364571968426,230.04301197729168,2022(Q1),[4398.298906885058]
Amica Retiree Medical Trust,apple,0.22489242110034158,608.0224261649427,2022(Q1),[6391.8181637369935]
Amica Retiree Medical Trust,microsoft,0.6676917280322983,100000.0,2022(Q1),[7599.0]
"Anchor Investment Management, LLC",amazon,0.996972009777418,0.01,2022(Q1),[8417449.350161]
"Anchor Investment Management, LLC",apple,0.9436089097369404,100000.0,2022(Q1),[23799678.829301327]
