Quarter,AAPL,AMD,AMZN,ASML,CRM,GOOGL,META,MSFT,NVDA,PANW,PLTR,SHOP,SNOW,TSLA
2024(Q3),0.13204,0.04603,0.0,0.01339,0.0,0.04576,0.07007,0.07939,0.23799,0.32965,0.0,0.0,0.0,0.04567
2024(Q2),0.38523,0.03053,0.0,0.0,0.0,0.0,0.0,0.0,0.21628,0.32562,0.0,0.0,0.0,0.04233
2023(Q1),0.77714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09952,0.05989,0.0,0.0,0.0,0.06344
2024(Q4),0.29816,0.0,0.0,0.0,0.0,0.03745,0.02139,0.04684,0.19814,0.3612,0.0,0.0,0.0,0.03682
2022(Q1),0.69869,0.0,0.0,0.0,0.06506,0.00599,0.0,0.0,0.12768,0.06111,0.00636,0.0,0.0,0.03512
2023(Q3),0.74186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17331,0.05795,0.0,0.0,0.0,0.02688
2022(Q2),0.71651,0.04108,0.0,0.0,0.0,0.0,0.0,0.0,0.10078,0.11949,0.0,0.0,0.0,0.02213
2022(Q3),0.80032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1078,0.04328,0.0,0.0,0.0,0.0486
2023(Q2),0.55208,0.0,0.0,0.0,0.0,0.0,0.0,0.36872,0.07356,0.0,0.0,0.0,0.0,0.00564
2024(Q1),0.48554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1503,0.33181,0.0,0.0,0.0,0.03235
2022(Q4),0.37272,0.0,0.0,0.0,0.0,0.0,0.0,0.46317,0.08431,0.0441,0.0,0.0,0.0,0.0357
2023(Q4),0.76444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16153,0.04526,0.0,0.0,0.0,0.02878
